BADA3_AIRCRAFT_LIST;;;;;
BADA3_TYPE;NUMBER_OF_ENGINES;ENGINE_TYPE;WTC;AIRCRAFT_MODEL;ENGINE_NAME
A10U__;2;JET;M;A-10A;TF34-GE-100
A124__;4;JET;H;An-124-100;D-18T
A140__;2;TURBOPROP;M;An-140;TV3-117VMA-SBM1
A148__;2;JET;M;An-148-100B;D-436-148
A158__;2;JET;M;An-158;D-436-148
A20N__;2;JET;M;A320-271N;PW1127G
A21N__;2;JET;M;A321-251N;LEAP-1A32
A306__;2;JET;H;A300B4-622;PW4158
A30B__;2;JET;H;A300B4-203;CF6-50C2
A310__;2;JET;H;A310-204;CF6-80C2A2
A318__;2;JET;M;A318-112;CFM56-5B9
A319__;2;JET;M;A319-131;V2522-A5
A320__;2;JET;M;A320-231;V2500-A1
A321__;2;JET;M;A321-111;CFM56-5B
A332__;2;JET;H;A330-243;Trent 772B
A333__;2;JET;H;A330-301;CF6-80E1A2
A339__;2;JET;H;A330-941;Trent 7000-72
A342__;4;JET;H;A340-213;CFM56-5C4
A343__;4;JET;H;A340-313;CFM56-5C4
A345__;4;JET;H;A340-541;Trent 553
A346__;4;JET;H;A340-642;Trent 556
A359__;2;JET;H;A350-941;Trent XWB-84
A35K__;2;JET;H;A350-1041;Trent XWB-97
A388__;4;JET;J;A380-841;Trent 900
A3ST__;2;JET;H;A300B4-608ST;CF6-80C2A8
AJET__;2;JET;M;Alpha Jet;Larzac 04-C5
AN12__;4;TURBOPROP;M;An-12;AI-20K
AN24__;2;TURBOPROP;M;An-24;AI-24 II
AN28__;2;TURBOPROP;L;An-28;TWD-10B
AN30__;2;TURBOPROP;M;An-30;AI-24VT
AN32__;2;TURBOPROP;M;An-32B;AI-20D-5
AN38__;2;TURBOPROP;M;An-38-100;TPE331-14GR-801-E
AT43__;2;TURBOPROP;M;ATR 42-300;PW120
AT45__;2;TURBOPROP;M;ATR 42-500;PW127E
AT72__;2;TURBOPROP;M;ATR 72-200;PW124
AT73__;2;TURBOPROP;M;ATR 72-210;PW127
AT75__;2;TURBOPROP;M;ATR 72-210A;PW127F
AT76__;2;TURBOPROP;M;ATR 72-212A 600;PW127M
ATPU__;2;TURBOPROP;M;ATP;PW126A
B190__;2;TURBOPROP;M;Beech 1900D;PT6A-67D
B350__;2;TURBOPROP;L;Super King Air 350;PT6A-60A
B38M__;2;JET;M;B737-8 MAX;LEAP-1B27
B39M__;2;JET;M;B737-9 MAX;LEAP-1B28
B462__;4;JET;M;BAe 146-200;ALF 502R-5
B463__;4;JET;M;BAe 146-300;ALF 502R-5
B58T__;2;PISTON;L;Baron 58P;TSIO-520-WB
B703__;4;JET;H;B707-300;JT4A-9
B712__;2;JET;M;B717-200;BR700-715A1-30
B722__;3;JET;M;B727-228 Adv;JT8D-15
B732__;2;JET;M;B737-200;JT8D-15
B733__;2;JET;M;B737-300;CFM56-3B2
B734__;2;JET;M;B737-400e;CFM56-5A
B735__;2;JET;M;B737-500;CFM56-3
B736__;2;JET;M;B737-600;CFM56-7B20 DAC
B737__;2;JET;M;B737-700;CFM56-7B24
B738__;2;JET;M;B737-800;CFM56-7B26/27
B739__;2;JET;M;B737-900ER;CFM56-7B27
B742__;4;JET;H;B747-200;JT9D-7J
B743__;4;JET;H;B747-300;CF6-50E2
B744__;4;JET;H;B747-400;CF6-80C2B1F
B748__;4;JET;H;B747-8F;GEnx-2B67
