node 1 = [16.6503, 60.2794]
node 2 = [16.8929, 60.2794]
node 3 = [17.1355, 60.2794]
node 4 = [17.378, 60.2794]
node 5 = [17.6206, 60.2794]
node 6 = [17.8632, 60.2794]
node 7 = [18.1058, 60.2794]
node 8 = [18.3484, 60.2794]
node 9 = [18.5909, 60.2794]
node 10 = [18.8335, 60.2794]
node 11 = [19.0761, 60.2794]
node 12 = [16.6503, 60.1749]
node 13 = [16.8929, 60.1749]
node 14 = [17.1355, 60.1749]
node 15 = [17.378, 60.1749]
node 16 = [17.6206, 60.1749]
node 17 = [17.8632, 60.1749]
node 18 = [18.1058, 60.1749]
node 19 = [18.3484, 60.1749]
node 20 = [18.5909, 60.1749]
node 21 = [18.8335, 60.1749]
node 22 = [19.0761, 60.1749]
node 23 = [16.6503, 60.0703]
node 24 = [16.8929, 60.0703]
node 25 = [17.1355, 60.0703]
node 26 = [17.378, 60.0703]
node 27 = [17.6206, 60.0703]
node 28 = [17.8632, 60.0703]
node 29 = [18.1058, 60.0703]
node 30 = [18.3484, 60.0703]
node 31 = [18.5909, 60.0703]
node 32 = [18.8335, 60.0703]
node 33 = [19.0761, 60.0703]
node 34 = [16.6503, 59.9658]
node 35 = [16.8929, 59.9658]
node 36 = [17.1355, 59.9658]
node 37 = [17.378, 59.9658]
node 38 = [17.6206, 59.9658]
node 39 = [17.8632, 59.9658]
node 40 = [18.1058, 59.9658]
node 41 = [18.3484, 59.9658]
node 42 = [18.5909, 59.9658]
node 43 = [18.8335, 59.9658]
node 44 = [19.0761, 59.9658]
node 45 = [16.6503, 59.8612]
node 46 = [16.8929, 59.8612]
node 47 = [17.1355, 59.8612]
node 48 = [17.378, 59.8612]
node 49 = [17.6206, 59.8612]
node 50 = [17.8632, 59.8612]
node 51 = [18.1058, 59.8612]
node 52 = [18.3484, 59.8612]
node 53 = [18.5909, 59.8612]
node 54 = [18.8335, 59.8612]
node 55 = [19.0761, 59.8612]
node 56 = [16.6503, 59.7567]
node 57 = [16.8929, 59.7567]
node 58 = [17.1355, 59.7567]
node 59 = [17.378, 59.7567]
node 60 = [17.6206, 59.7567]
node 61 = [17.8632, 59.7567]
node 62 = [18.1058, 59.7567]
node 63 = [18.3484, 59.7567]
node 64 = [18.5909, 59.7567]
node 65 = [18.8335, 59.7567]
node 66 = [19.0761, 59.7567]
node 67 = [16.6503, 59.6521]
node 68 = [16.8929, 59.6521]
node 69 = [17.1355, 59.6521]
node 70 = [17.378, 59.6521]
node 71 = [17.6206, 59.6521]
node 72 = [17.8632, 59.6521]
node 73 = [18.1058, 59.6521]
node 74 = [18.3484, 59.6521]
node 75 = [18.5909, 59.6521]
node 76 = [18.8335, 59.6521]
node 77 = [19.0761, 59.6521]
node 78 = [16.6503, 59.5476]
node 79 = [16.8929, 59.5476]
node 80 = [17.1355, 59.5476]
node 81 = [17.378, 59.5476]
node 82 = [17.6206, 59.5476]
node 83 = [17.8632, 59.5476]
node 84 = [18.1058, 59.5476]
node 85 = [18.3484, 59.5476]
node 86 = [18.5909, 59.5476]
node 87 = [18.8335, 59.5476]
node 88 = [19.0761, 59.5476]
node 89 = [16.6503, 59.4431]
node 90 = [16.8929, 59.4431]
node 91 = [17.1355, 59.4431]
node 92 = [17.378, 59.4431]
node 93 = [17.6206, 59.4431]
node 94 = [17.8632, 59.4431]
node 95 = [18.1058, 59.4431]
node 96 = [18.3484, 59.4431]
node 97 = [18.5909, 59.4431]
node 98 = [18.8335, 59.4431]
node 99 = [19.0761, 59.4431]
node 100 = [16.6503, 59.3385]
node 101 = [16.8929, 59.3385]
node 102 = [17.1355, 59.3385]
node 103 = [17.378, 59.3385]
node 104 = [17.6206, 59.3385]
node 105 = [17.8632, 59.3385]
node 106 = [18.1058, 59.3385]
node 107 = [18.3484, 59.3385]
node 108 = [18.5909, 59.3385]
node 109 = [18.8335, 59.3385]
node 110 = [19.0761, 59.3385]
node 111 = [16.6503, 59.234]
node 112 = [16.8929, 59.234]
node 113 = [17.1355, 59.234]
node 114 = [17.378, 59.234]
