BADA3_AIRCRAFT_MAPPING;;;;
BADA3_TYPE;ICAO_CODE;USER_ACFT_ID;AIRFRAME;ENGINE
P38U__;A1;;;
A10U__;A10;;;
BE9L__;A109;;;
TBM8__;A119;;;
A124__;A124;;;
SH36__;A139;;;
A140__;A140;;;
A148__;A148;;;
AT43__;A149;;;
A158__;A158;;;
JS41__;A169;;;
E190__;A178;;;
AT43__;A189;;;
SVNH__;A19;;;
A20N__;A19N;;;
P38U__;A20;;;
P28U__;A205;;;
DIMO__;A20J;;;
A20N__;A20N;;;
EV97__;A21;;;
C162__;A210;;;
SVNH__;A211;;;
A21N__;A21N;;;
DR40__;A22;;;
A124__;A225;;;
SVNH__;A23;;;
C188__;A251;;;
F406__;A270;;;
A10U__;A3;;;
A306__;A306;;;
A30B__;A30B;;;
C172__;A31;;;
A310__;A310;;;
A318__;A318;;;
A319__;A319;;;
A320__;A320;;;
A321__;A321;;;
DIMO__;A32P;;;
C150__;A33;;;
A332__;A332;;;
A333__;A333;;;
B788__;A337;;;
A339__;A338;;;
A339__;A339;;;
SF25__;A33P;;;
A342__;A342;;;
A343__;A343;;;
A345__;A345;;;
A346__;A346;;;
P28A__;A35;;;
A359__;A358;;;
A359__;A359;;;
A35K__;A35K;;;
L39U__;A37;;;
A388__;A388;;;
A3ST__;A3ST;;;
HAWK__;A4;;;
IL76__;A400;;;
P28A__;A411;;;
MAGC__;A5;;;
IL76__;A50;;;
B58T__;A500;;;
A10U__;A6;;;
AN28__;A660;;;
F16U__;A7;;;
C510__;A700;;;
A158__;A743;;;
F27U__;A748;;;
C188__;A9;;;
RV8U__;A900;;;
C162__;AA1;;;
P28A__;AA5;;;
C162__;AAT3;;;
C162__;AAT4;;;
C162__;AC10;;;
M20T__;AC11;;;
MAGC__;AC4;;;
DA62__;AC50;;;
DA62__;AC52;;;
C340__;AC56;;;
C182__;AC5A;;;
C421__;AC68;;;
C414__;AC6L;;;
C421__;AC72;;;
BE99__;AC80;;;
PAY2__;AC90;;;
PAY3__;AC95;;;
DR40__;ACAM;;;
DV20__;ACAR;;;
DR40__;ACR2;;;
DR40__;ACRD;;;
DV20__;ADVE;;;
C82S__;AE45;;;
SVNH__;AERK;;;
BE58__;AEST;;;
SVNH__;AFOX;;;
SVNH__;AG04;;;
P28A__;AG10;;;
EV97__;AG14;;;
ATPU__;AG60;;;
DV20__;AIGT;;;
EV97__;AIRL;;;
A148__;AJ27;;;
AJET__;AJET;;;
Q9UU__;AKNC;;;
RV14__;AKRO;;;
SVNH__;ALC1;;;
C150__;ALGR;;;
E300__;ALIG;;;
JS41__;ALIZ;;;
T206__;ALPI;;;
EV97__;ALSL;;;
C162__;ALTO;;;
AJET__;AMX;;;
AN12__;AN12;;;
C188__;AN2;;;
AN12__;AN22;;;
AN24__;AN24;;;
AN30__;AN26;;;
AN28__;AN28;;;
Q9UU__;AN3;;;
AN30__;AN30;;;
AN32__;AN32;;;
AN38__;AN38;;;
C130__;AN70;;;
F28U__;AN72;;;
AN32__;AN8;;;
EV97__;ANDR;;;
DA50__;ANGL;;;
C402__;ANKA;;;
C182__;ANSN;;;
SVNH__;AP20;;;
EV97__;AP22;;;
SVNH__;AP24;;;
MAGC__;AP26;;;
DV20__;AP28;;;
C162__;AP32;;;
C152__;AP36;;;
C150__;APM2;;;
C150__;APM3;;;
P28A__;APM4;;;
MAGC__;APUP;;;
MAGC__;AR11;;;
DV20__;AR15;;;
SVNH__;AR50;;;
SVNH__;AR5T;;;
SVNH__;AR65;;;
SVNH__;AR6T;;;
DIMO__;ARCP;;;
EA50__;ARES;;;
SVNH__;ARV1;;;
DHC6__;ARVA;;;
DR40__;AS02;;;
SF25__;AS14;;;
DIMO__;AS16;;;
DIMO__;AS20;;;
DIMO__;AS21;;;
SF25__;AS22;;;
SF25__;AS24;;;
DIMO__;AS25;;;
DIMO__;AS26;;;
DIMO__;AS28;;;
DIMO__;AS29;;;
E500__;AS2T;;;
DIMO__;AS30;;;
DIMO__;AS31;;;
E120__;AS32;;;
E120__;AS3B;;;
TBM8__;AS50;;;
TBM8__;AS55;;;
BE99__;AS65;;;
C150__;ASDR;;;
EV97__;ASO5;;;
RV14__;ASOX;;;
C162__;ASTO;;;
G150__;ASTR;;;
SVNH__;AT1;;;
C188__;AT2P;;;
AJET__;AT3;;;
C188__;AT3P;;;
DHC6__;AT3T;;;
AT43__;AT43;;;
AT45__;AT44;;;
AT45__;AT45;;;
AT45__;AT46;;;
DHC6__;AT5T;;;
DHC6__;AT6T;;;
AT72__;AT72;;;
AT73__;AT73;;;
AT75__;AT75;;;
AT76__;AT76;;;
PC12__;AT8T;;;
RV8U__;ATAC;;;
LJ25__;ATG1;;;
C150__;ATL;;;
C160__;ATLA;;;
ATPU__;ATP;;;
SVNH__;AUJ2;;;
C162__;AURA;;;
DV20__;AUS3;;;
DV20__;AUS4;;;
DV20__;AUS5;;;
DV20__;AUS6;;;
DV20__;AUS7;;;
DR40__;AUS9;;;
DIMO__;AV68;;;
EV97__;AVID;;;
HDJT__;AVK4;;;
P750__;AVLN;;;
SVNH__;AVTR;;;
E500__;B06;;;
FGTL__;B1;;;
C188__;B103;;;
BE9L__;B105;;;
DIMO__;B13;;;
DA40__;B14A;;;
TB21__;B14B;;;
TB21__;B14C;;;
P38U__;B17;;;
BE9L__;B18T;;;
B190__;B190;;;
FGTL__;B2;;;
DR40__;B209;;;
F15U__;B21;;;
SW4U__;B212;;;
TBM8__;B214;;;
AN30__;B222;;;
P38U__;B23;;;
BE9L__;B230;;;
P38U__;B24;;;
P38U__;B25;;;
S2PU__;B26;;;
S2PU__;B26M;;;
P38U__;B29;;;
B350__;B350;;;
E500__;B36T;;;
B38M__;B37M;;;
B38M__;B38M;;;
B39M__;B39M;;;
B39M__;B3XM;;;
P46T__;B407;;;
SW4U__;B412;;;
BE99__;B427;;;
MU2U__;B429;;;
BE99__;B430;;;
B462__;B461;;;
B462__;B462;;;
B463__;B463;;;
P46T__;B505;;;
FGTL__;B52;;;
B58T__;B58T;;;
DR40__;B60;;;
JS32__;B609;;;
TBM7__;B60T;;;
B703__;B701;;;
B703__;B703;;;
B712__;B712;;;
B752__;B720;;;
B722__;B721;;;
B722__;B722;;;
T134__;B731;;;
B732__;B732;;;
B733__;B733;;;
B734__;B734;;;
B735__;B735;;;
B736__;B736;;;
B737__;B737;;;
B738__;B738;;;
B739__;B739;;;
B742__;B741;;;
B742__;B742;;;
B743__;B743;;;
B744__;B744;;;
B748__;B748;;;
B743__;B74D;;;
B742__;B74R;;;
B742__;B74S;;;
B752__;B752;;;
B753__;B753;;;
B762__;B762;;;
B763__;B763;;;
B764__;B764;;;
B772__;B772;;;
B773__;B773;;;
B77W__;B778;;;
B77W__;B779;;;
B77L__;B77L;;;
B77W__;B77W;;;
B788__;B788;;;
B789__;B789;;;
B78X__;B78X;;;
BA11__;BA11;;;
C414__;BASS;;;
B736__;BCS1;;;
A318__;BCS3;;;
L39U__;BD10;;;
EV97__;BD17;;;
RV14__;BD4;;;
SF50__;BD5J;;;
RV8U__;BD5T;;;
DR40__;BDOG;;;
F406__;BE10;;;
C27J__;BE12;;;
TB21__;BE17;;;
DA62__;BE18;;;
P28A__;BE19;;;
BE20__;BE20;;;
BE9L__;BE22;;;
C172__;BE23;;;
P06T__;BE24;;;
BE30__;BE30;;;
AN38__;BE32;;;
C210__;BE33;;;
C210__;BE35;;;
BE36__;BE36;;;
BE40__;BE40;;;
