filename;model;ICAO;type;n_eng;engine;MTOW [kg];hmo [ft];description;last_modif
A300B4-203;A300B4-203;A30B;JET;2;CF6-50C2R;165000;40000;;4.2
A300B4-601;A300B4-601;A306;JET;2;CF6-80C2A1;165000;40000;;4.2
A300B4-608ST;A300B4-608ST;A3ST;JET;2;CF6-80C2A8;153000;35000;;4.2
A300B4-622;A300B4-622;A306;JET;2;PW4158;171700;40000;;4.2
A310-204;A310-204;A310;JET;2;CF6-80C2A2;150000;41100;;4.2
A310-222;A310-222;A310;JET;2;JT9D-7R4E1 (AI600);138600;41100;;4.2
A310-308;A310-308;A310;JET;2;CF6-80C2A8;170000;41100;;4.2
A310-322;A310-322;A310;JET;2;JT9D-7R4E1 (AI500);150000;41100;;4.2
A310-324;A310-324;A310;JET;2;PW4152;150000;41100;;4.2
A318-112;A318-112;A318;JET;2;CFM56-5B9;68000;39800;;4.2
A319-114;A319-114;A319;JET;2;CFM56-5A5;70000;39800;;4.2
A319-131;A319-131;A319;JET;2;IAE V2522-A5;70000;39800;;4.2
A320-212;A320-212;A320;JET;2;CFM56-5A3;77000;39800;;4.2
A320-214;A320-214;A320;JET;2;CFM56-5B4/P SAC;77000;41100;;4.2
A320-231;A320-231;A320;JET;2;IAE V2500-A1;77000;39800;;4.2
A320-232;A320-232;A320;JET;2;IAE V2527-A5;78000;41100;;4.2
A320-271N;A320-271N;A320;JET;2;PW1127G;79000;41100;;4.2.1
A321-111;A321-111;A321;JET;2;CFM56-5B;83000;39800;;4.2
A321-131;A321-131;A321;JET;2;IAE V2530-A5;83000;39800;;4.2
A330-203;A330-203;A332;JET;2;CF6-80E1A3;233000;41500;;4.2
A330-223;A330-223;A332;JET;2;PW4168A;230000;41500;;4.2
A330-243;A330-243;A332;JET;2;RR TRENT 772B;230000;41500;;4.2
A330-301;A330-301;A333;JET;2;CF6-80E1A2;212000;41500;;4.2
A330-321;A330-321;A333;JET;2;PW4164;212000;41500;;4.2
A330-341;A330-341;A333;JET;2;RR TRENT 768;212000;41100;;4.2
