callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
THY4CK,4bb215,,B738W26,183.43,300.0,13.6,26.0,5
SWE41B,4acac5,PC24,EMB-505,160.32,720.0,71.2,172.0,12
SAS58E,4cad91,A20N,A320-271N,263.24,600.0,30.3,38.0,10
SAS51N,4cad95,,B738W26,77.57,120.0,4.1,9.0,2
RYR9BR,48e9f2,,B738W26,734.56,840.0,86.7,165.0,14
KLM78W,484cb4,,B738W26,716.8,900.0,91.4,177.0,15
FIN7Z,461fa9,A321,A321-131,74.57,120.0,13.9,390.0,2
FIN3EJ,461fa2,,B738W26,472.67,780.0,49.8,57.0,13
BLX587F,406d6f,,B738W26,458.75,720.0,61.4,134.0,12
ABF10,4632af,,B738W26,236.82,480.0,33.3,250.0,8
SAS41K,4cae75,,B738W26,798.15,780.0,87.7,163.0,13
FRO933,459a62,,B738W26,424.31,900.0,71.1,310.0,15
BAW770,4081a1,,B738W26,564.62,780.0,60.6,79.0,13
NSZ8KC,4aca95,,B738W26,627.59,1140.0,76.5,106.0,19
SAS864,4cadda,,B738W26,535.73,840.0,60.4,74.0,14
NSZ4505,4acb04,B738,B738W26,425.74,540.0,48.2,99.0,9
SAS80A,4cafd6,,B738W26,608.48,1020.0,70.6,82.0,17
FIN2JA,4601f3,,B738W26,508.86,1020.0,68.2,210.0,17
BCY042P,4caee0,CRJ9,EMB-175STD,223.33,420.0,37.5,130.0,7
SAS45H,4ab566,AT76,ATR72-600,0.0,960.0,59.0,102.0,16
RYR4618,4d2262,B738,B738W26,150.13,240.0,17.4,70.0,4
PTN61E,3ce18f,,B738W26,73.81,120.0,10.7,167.0,2
SAS073,4ca1cc,,B738W26,67.62,60.0,7.6,203.0,1
