callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
NSZ2771,B38M,B738W26,80.13,1195.7,1115.57,93.3,558,55.3
FIN8JD,A321,A321-131,77.25,933.77,856.52,91.7,515,50.5
TVF73RQ,A20N,A320-271N,55.54,474.94,419.4,88.3,495,46.8
SAS1410,A20N,A320-271N,59.16,440.85,381.69,86.6,538,53.0
JTD760,B738,B738W26,80.43,496.05,415.62,83.8,560,55.1
UPS291,B763,B763ERGE61,15.06,100.35,85.29,85.0,63,3.4
RYR4636,B738,B738W26,70.96,231.93,160.97,69.4,441,34.5
RYR8LW,B738,B738W26,80.15,247.27,167.12,67.6,558,54.9
SAS1488,A20N,A320-271N,54.83,253.89,199.06,78.4,486,47.0
EWG4BW,C207,B738W26,80.43,565.26,484.83,85.8,560,55.0
SAS86L,A20N,A320-271N,59.37,379.57,320.2,84.4,540,53.1
LOT6AD,B38M,B738W26,79.37,414.78,335.41,80.9,549,54.5
BAW778F,A21N,A321-131,72.97,461.15,388.18,84.2,480,45.2
VKG4509,A21N,A321-131,65.41,223.75,158.34,70.8,391,29.9
RYR1YC,B38M,B738W26,65.67,154.26,88.59,57.4,403,30.0
RHH058,LJ45,B738W26,84.19,264.87,180.68,68.2,601,61.9
