callsign,icao24,actype,bada_model,time,lat,lon,baro_alt_m,true_track,velocity_ms,vertical_rate_ms,on_ground,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg
SAS2690,4ac9ed,,B738W26,1776892320,59.333884,17.805086,1722.1,10.3,122.53,-6.019,False,113.18,0.3336,0.16482,0.165
SAS2690,4ac9ed,,B738W26,1776892321,59.334968,17.805473,1716.1,10.3,122.48,-6.017,False,113.18,0.3335,0.16489,0.33
SAS2690,4ac9ed,,B738W26,1776892322,59.336051,17.805859,1710.1,10.3,122.44,-6.015,False,113.18,0.3334,0.16495,0.495
SAS2690,4ac9ed,,B738W26,1776892323,59.337134,17.806245,1704.1,10.3,122.4,-6.012,False,113.18,0.3333,0.16502,0.66
SAS2690,4ac9ed,,B738W26,1776892324,59.33823,17.806635,1698.1,10.3,123.8,-6.081,False,113.18,0.334,0.16416,0.824
SAS2690,4ac9ed,,B738W26,1776892325,59.339325,17.807025,1692.0,10.3,123.75,-6.079,False,113.18,0.3339,0.16423,0.988
SAS2690,4ac9ed,,B738W26,1776892326,59.34042,17.807415,1685.9,10.3,123.71,-6.077,False,113.18,0.3338,0.16429,1.152
SAS2690,4ac9ed,,B738W26,1776892327,59.341514,17.807805,1679.8,10.3,123.66,-6.075,False,113.18,0.3336,0.16436,1.316
SAS2690,4ac9ed,,B738W26,1776892328,59.342608,17.808195,1673.7,10.3,123.62,-6.072,False,113.18,0.3335,0.16442,1.48
SAS2690,4ac9ed,,B738W26,1776892329,59.343701,17.808585,1667.7,10.3,123.58,-6.07,False,113.18,0.3334,0.16449,1.644
SAS2690,4ac9ed,,B738W26,1776892330,59.344794,17.808974,1661.6,10.3,123.53,-6.068,False,113.18,0.3333,0.16455,1.809
SAS2690,4ac9ed,,B738W26,1776892331,59.345887,17.809364,1655.5,10.3,123.49,-6.066,False,113.18,0.3332,0.16462,1.974
SAS2690,4ac9ed,,B738W26,1776892332,59.346979,17.809753,1649.5,10.3,123.44,-6.064,False,113.18,0.333,0.16468,2.139
SAS2690,4ac9ed,,B738W26,1776892333,59.348071,17.810142,1643.4,10.3,123.4,-6.062,False,113.18,0.3329,0.16474,2.304
SAS2690,4ac9ed,,B738W26,1776892334,59.349163,17.810531,1637.3,10.3,123.36,-6.06,False,113.18,0.3328,0.16481,2.469
SAS2690,4ac9ed,,B738W26,1776892335,59.350254,17.81092,1631.3,10.3,123.31,-6.057,False,113.18,0.3327,0.16487,2.634
SAS2690,4ac9ed,,B738W26,1776892336,59.351344,17.811308,1625.2,10.3,123.27,-6.055,False,113.18,0.3326,0.16494,2.799
SAS2690,4ac9ed,,B738W26,1776892337,59.352435,17.811697,1619.2,10.3,123.22,-6.053,False,113.18,0.3324,0.165,2.964
SAS2690,4ac9ed,,B738W26,1776892338,59.353525,17.812085,1613.1,10.3,123.18,-6.051,False,113.18,0.3323,0.16506,3.129
SAS2690,4ac9ed,,B738W26,1776892339,59.354614,17.812474,1607.1,10.3,123.14,-6.049,False,113.18,0.3322,0.16513,3.294
SAS2690,4ac9ed,,B738W26,1776892340,59.355704,17.812862,1601.0,10.3,123.09,-6.047,False,113.18,0.3321,0.16519,3.459
SAS2690,4ac9ed,,B738W26,1776892341,59.356792,17.81325,1595.0,10.3,123.05,-6.044,False,113.18,0.332,0.16526,3.624
SAS2690,4ac9ed,,B738W26,1776892342,59.357881,17.813638,1588.9,10.3,123.01,-6.042,False,113.18,0.3318,0.16532,3.789
SAS2690,4ac9ed,,B738W26,1776892343,59.358969,17.814025,1582.9,10.3,122.96,-6.04,False,113.18,0.3317,0.16538,3.954
SAS2690,4ac9ed,,B738W26,1776892344,59.360056,17.814413,1576.8,10.3,122.92,-6.038,False,113.18,0.3316,0.16545,4.119
SAS2690,4ac9ed,,B738W26,1776892345,59.361144,17.8148,1570.8,10.3,122.88,-6.036,False,113.18,0.3315,0.16551,4.285
SAS2690,4ac9ed,,B738W26,1776892346,59.362231,17.815188,1564.8,10.3,122.83,-6.034,False,113.18,0.3314,0.16558,4.451
SAS2690,4ac9ed,,B738W26,1776892347,59.363317,17.815575,1558.7,10.3,122.79,-6.032,False,113.18,0.3312,0.16564,4.617
SAS2690,4ac9ed,,B738W26,1776892348,59.364403,17.815962,1552.7,10.3,122.74,-6.03,False,113.18,0.3311,0.1657,4.783
SAS2690,4ac9ed,,B738W26,1776892349,59.365489,17.816349,1546.7,10.3,122.7,-6.027,False,113.18,0.331,0.16577,4.949
SAS2690,4ac9ed,,B738W26,1776892350,59.366574,17.816736,1540.6,10.3,122.66,-6.025,False,113.18,0.3309,0.16583,5.115
SAS2690,4ac9ed,,B738W26,1776892351,59.367659,17.817122,1534.6,10.3,122.61,-6.023,False,113.18,0.3308,0.16589,5.281
SAS2690,4ac9ed,,B738W26,1776892352,59.368744,17.817509,1528.6,10.3,122.57,-6.021,False,113.18,0.3307,0.16596,5.447
SAS2690,4ac9ed,,B738W26,1776892353,59.369828,17.817895,1522.6,10.3,122.53,-6.019,False,113.18,0.3305,0.16602,5.613
SAS2690,4ac9ed,,B738W26,1776892354,59.370912,17.818281,1516.6,10.3,122.49,-6.017,False,113.18,0.3304,0.16608,5.779
SAS2690,4ac9ed,,B738W26,1776892355,59.371995,17.818668,1510.5,10.3,122.44,-6.015,False,113.18,0.3303,0.16615,5.945
SAS2690,4ac9ed,,B738W26,1776892356,59.373078,17.819053,1504.5,10.3,122.4,-6.013,False,113.18,0.3302,0.16621,6.111
SAS2690,4ac9ed,,B738W26,1776892357,59.374161,17.819439,1498.5,10.3,122.36,-6.01,False,113.18,0.3301,0.16627,6.277
SAS2690,4ac9ed,,B738W26,1776892358,59.375243,17.819825,1492.5,10.3,122.31,-6.008,False,113.18,0.3299,0.16634,6.443
SAS2690,4ac9ed,,B738W26,1776892359,59.376324,17.82021,1486.5,10.3,122.1,-5.998,False,113.18,0.3298,0.16645,6.609
SAS2690,4ac9ed,,B738W26,1776892360,59.377404,17.820595,1480.5,10.3,122.05,-5.996,False,113.18,0.3297,0.16652,6.776
SAS2690,4ac9ed,,B738W26,1776892361,59.378483,17.82098,1474.5,10.3,122.01,-5.993,False,113.18,0.3295,0.16658,6.943
SAS2690,4ac9ed,,B738W26,1776892362,59.379562,17.821364,1468.5,10.3,121.97,-5.991,False,113.18,0.3294,0.16664,7.11
SAS2690,4ac9ed,,B738W26,1776892363,59.380641,17.821749,1462.5,10.3,121.92,-5.989,False,113.18,0.3293,0.16671,7.277
SAS2690,4ac9ed,,B738W26,1776892364,59.38172,17.822133,1456.5,10.3,121.88,-5.987,False,113.18,0.3292,0.16677,7.444
SAS2690,4ac9ed,,B738W26,1776892365,59.382798,17.822517,1450.5,10.3,121.84,-5.985,False,113.18,0.3291,0.16683,7.611
SAS2690,4ac9ed,,B738W26,1776892366,59.383876,17.822901,1444.6,10.3,121.8,-5.983,False,113.18,0.329,0.16689,7.778
SAS2690,4ac9ed,,B738W26,1776892367,59.384953,17.823285,1438.6,10.3,121.75,-5.981,False,113.18,0.3288,0.16696,7.945
SAS2690,4ac9ed,,B738W26,1776892368,59.38603,17.823669,1432.6,10.3,121.71,-5.979,False,113.18,0.3287,0.16702,8.112
SAS2690,4ac9ed,,B738W26,1776892369,59.387106,17.824053,1426.6,10.3,121.67,-5.977,False,113.18,0.3286,0.16708,8.279
SAS2690,4ac9ed,,B738W26,1776892370,59.388183,17.824436,1420.6,10.3,121.63,-5.975,False,113.18,0.3285,0.16714,8.446
SAS2690,4ac9ed,,B738W26,1776892371,59.389258,17.824819,1414.7,10.3,121.58,-5.972,False,113.18,0.3284,0.16721,8.613
SAS2690,4ac9ed,,B738W26,1776892372,59.390334,17.825203,1408.7,10.3,121.54,-5.97,False,113.18,0.3283,0.16727,8.78
SAS2690,4ac9ed,,B738W26,1776892373,59.391409,17.825586,1402.7,10.3,121.5,-5.968,False,113.18,0.3281,0.16733,8.947
SAS2690,4ac9ed,,B738W26,1776892374,59.392484,17.825969,1396.8,10.3,121.46,-5.966,False,113.18,0.328,0.16739,9.114
SAS2690,4ac9ed,,B738W26,1776892375,59.393558,17.826352,1390.8,10.3,121.41,-5.964,False,113.18,0.3279,0.16746,9.281
SAS2690,4ac9ed,,B738W26,1776892376,59.394632,17.826734,1384.8,10.3,121.37,-5.962,False,113.18,0.3278,0.16752,9.449
SAS2690,4ac9ed,,B738W26,1776892377,59.395706,17.827117,1378.9,10.3,121.33,-5.96,False,113.18,0.3277,0.16758,9.617
SAS2690,4ac9ed,,B738W26,1776892378,59.396779,17.827497,1372.9,10.2,121.29,-5.958,False,113.18,0.3276,0.16764,9.785
SAS2690,4ac9ed,,B738W26,1776892379,59.397853,17.827869,1366.9,10.0,121.24,-5.956,False,113.18,0.3274,0.1677,9.953
SAS2690,4ac9ed,,B738W26,1776892380,59.398926,17.828241,1361.0,10.0,121.19,-5.953,False,113.18,0.3273,0.16777,10.121
SAS2690,4ac9ed,,B738W26,1776892381,59.399999,17.828612,1355.0,10.0,121.15,-5.951,False,113.18,0.3272,0.16783,10.289
SAS2690,4ac9ed,,B738W26,1776892382,59.401072,17.828984,1349.1,10.0,121.11,-5.949,False,113.18,0.3271,0.16789,10.457
SAS2690,4ac9ed,,B738W26,1776892383,59.402144,17.829356,1343.1,10.0,121.07,-5.947,False,113.18,0.327,0.16795,10.625
SAS2690,4ac9ed,,B738W26,1776892384,59.403216,17.829727,1337.2,10.0,121.03,-5.945,False,113.18,0.3269,0.16801,10.793
SAS2690,4ac9ed,,B738W26,1776892385,59.404288,17.830098,1331.2,10.0,120.98,-5.943,False,113.18,0.3268,0.16808,10.961
SAS2690,4ac9ed,,B738W26,1776892386,59.405359,17.83047,1325.3,10.0,120.94,-5.941,False,113.18,0.3266,0.16814,11.129
SAS2690,4ac9ed,,B738W26,1776892387,59.406429,17.830841,1319.4,10.0,120.9,-5.939,False,113.18,0.3265,0.1682,11.297
SAS2690,4ac9ed,,B738W26,1776892388,59.4075,17.831211,1313.4,10.0,120.86,-5.937,False,113.18,0.3264,0.16826,11.465
SAS2690,4ac9ed,,B738W26,1776892389,59.40857,17.831582,1307.5,10.0,120.82,-5.935,False,113.18,0.3263,0.16832,11.633
SAS2690,4ac9ed,,B738W26,1776892390,59.40964,17.831953,1301.5,10.0,120.77,-5.933,False,113.18,0.3262,0.16838,11.801
SAS2690,4ac9ed,,B738W26,1776892391,59.410709,17.832323,1295.6,10.0,120.73,-5.931,False,113.18,0.3261,0.16844,11.969
SAS2690,4ac9ed,,B738W26,1776892392,59.411778,17.832694,1289.7,10.0,120.69,-5.929,False,113.18,0.326,0.16851,12.138
SAS2690,4ac9ed,,B738W26,1776892393,59.412846,17.833064,1283.8,10.0,120.65,-5.927,False,113.18,0.3258,0.16857,12.307
