icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms
780bf7,CCA856,,,1776901380,58.8606,18.0938,10058.4,68.58,0,228.23,0.0
780bf7,CCA856,,,1776901440,58.9052,18.3143,10058.4,68.78,0,227.37,0.0
780bf7,CCA856,,,1776901500,58.9494,18.5356,10058.4,68.97,0,226.52,0.0
780bf7,CCA856,,,1776901560,58.9931,18.7564,10058.4,69.04,0,228.63,0.0
780bf7,CCA856,,,1776901620,59.0366,18.9792,10058.4,69.25,0,229.41,0.0
780bf7,CCA856,,,1776901680,59.0803,19.2053,10058.4,69.58,0,230.01,0.0
780bf7,CCA856,,,1776901740,59.1233,19.4304,10058.4,69.62,0,230.49,0.0
780bf7,CCA856,,,1776901800,59.1657,19.6546,10058.4,69.9,0,228.99,0.0
780bf7,CCA856,,,1776901860,59.2078,19.8804,10058.4,70.14,0,228.64,0.0
4ac9ed,MAINT,,,1776902340,59.6546,17.9375,0.0,0.0,0,0.0,0.0
4ac9ed,MAINT,,,1776902400,59.6546,17.9375,0.0,0.0,0,0.0,0.0
4ac9ed,MAINT,,,1776902460,59.6546,17.9375,0.0,0.0,0,0.0,0.0
4ac9ed,MAINT,,,1776902520,59.6546,17.9375,0.0,0.0,0,0.0,0.0
4ac9ed,MAINT,,,1776902580,59.6546,17.9375,0.0,0.0,0,0.0,0.0
