icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
461f9b,FIN50A,,,1779170280,59.391258,17.872656,2303.5,349.1,False,126.01,-7.09,111.59,0.3408,0.16867,0.169,0.068
461f9b,FIN50A,,,1779170281,59.392378,17.87234,2296.4,351.8,False,125.95,-7.088,111.59,0.3407,0.16877,0.337,0.136
461f9b,FIN50A,,,1779170282,59.393506,17.872132,2289.4,354.6,False,125.9,-7.085,111.59,0.3405,0.16886,0.506,0.204
461f9b,FIN50A,,,1779170283,59.394634,17.871958,2282.3,355.5,False,125.85,-7.083,111.59,0.3404,0.16896,0.675,0.272
461f9b,FIN50A,,,1779170284,59.395762,17.871802,2275.2,356.0,False,125.8,-7.08,111.59,0.3403,0.16905,0.844,0.34
461f9b,FIN50A,,,1779170285,59.396892,17.871728,2268.1,358.1,False,125.74,-7.078,111.59,0.3401,0.16915,1.013,0.408
461f9b,FIN50A,,,1779170286,59.398022,17.871731,2261.0,0.1,False,125.69,-7.075,111.59,0.34,0.16924,1.183,0.476
461f9b,FIN50A,,,1779170287,59.399152,17.871777,2254.0,1.2,False,125.64,-7.073,111.59,0.3398,0.16934,1.352,0.544
461f9b,FIN50A,,,1779170288,59.40028,17.871868,2246.9,2.4,False,125.58,-7.07,111.59,0.3397,0.16944,1.521,0.611
461f9b,FIN50A,,,1779170289,59.401408,17.871963,2239.8,2.4,False,125.53,-7.068,111.59,0.3395,0.16953,1.691,0.679
461f9b,FIN50A,,,1779170290,59.402532,17.872156,2232.8,5.0,False,125.48,-7.065,111.59,0.3394,0.16963,1.861,0.747
461f9b,FIN50A,,,1779170291,59.403656,17.872326,2225.7,4.4,False,125.43,-7.062,111.59,0.3392,0.16973,2.03,0.815
461f9b,FIN50A,,,1779170292,59.40478,17.872511,2218.6,4.8,False,125.37,-7.06,111.59,0.3391,0.16982,2.2,0.882
461f9b,FIN50A,,,1779170293,59.4059,17.872746,2211.6,6.1,False,125.32,-7.057,111.59,0.3389,0.16992,2.37,0.95
461f9b,FIN50A,,,1779170294,59.407018,17.873031,2204.5,7.4,False,125.27,-7.055,111.59,0.3388,0.17002,2.54,1.018
461f9b,FIN50A,,,1779170295,59.408149,17.873313,2197.4,7.2,False,126.87,-7.08,111.59,0.3393,0.16927,2.709,1.086
461f9b,FIN50A,,,1779170296,59.409277,17.873634,2190.4,8.3,False,126.82,-7.077,111.59,0.3392,0.16937,2.879,1.155
461f9b,FIN50A,,,1779170297,59.410407,17.873928,2183.3,7.5,False,126.76,-7.074,111.59,0.339,0.16946,3.048,1.223
461f9b,FIN50A,,,1779170298,59.411539,17.874191,2176.2,6.7,False,126.71,-7.072,111.59,0.3389,0.16956,3.218,1.291
461f9b,FIN50A,,,1779170299,59.412667,17.874496,2169.2,7.8,False,126.66,-7.069,111.59,0.3387,0.16965,3.387,1.36
461f9b,FIN50A,,,1779170300,59.413793,17.874825,2162.1,8.5,False,126.58,-7.069,111.59,0.3386,0.16969,3.557,1.428
461f9b,FIN50A,,,1779170301,59.414915,17.875202,2155.0,9.7,False,126.53,-7.066,111.59,0.3385,0.16979,3.727,1.496
