callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
LOT6AD,E195,EMB-195STD,71.16,741.19,670.03,90.4,560,60.5
SAS2690,A20N,A320-271N,73.36,946.43,873.07,92.2,688,72.9
TVF73RQ,A20N,A320-271N,70.92,1142.7,1071.78,93.8,660,65.9
SAS62F,A20N,A320-271N,73.56,616.59,543.03,88.1,690,69.6
SAS2934,A20N,A320-271N,72.46,866.98,794.52,91.6,677,72.1
NSZ4508,B38M,B738W26,99.14,1118.05,1018.91,91.1,719,76.6
EWG89W,A319,A319-131,97.9,775.75,677.85,87.4,690,69.6
RYR5SJ,B38M,B738W26,6.93,11.83,4.9,41.4,41,2.3
AUA96J,A320,A320-232,93.51,938.43,844.92,90.0,711,75.1
SAS1488,A320,A320-232,75.48,216.9,141.42,65.2,534,42.0
RYR58DF,B738,B738W26,32.19,68.89,36.7,53.3,194,12.5
RYR6099,B738,B738W26,61.34,154.06,92.72,60.2,382,28.2
