icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
4ca247,BCS9CG,,,1741235940,58.677718,17.9132,7459.4,0.0,False,291.07,-31.439,207.21,0.82,0.19111,0.191,0.157
4ca247,BCS9CG,,,1741235941,58.680335,17.9132,7427.8,0.0,False,291.07,-31.555,207.64,0.82,0.19032,0.381,0.314
4ca247,BCS9CG,,,1741235942,58.682953,17.9132,7396.2,0.0,False,291.07,-31.672,208.07,0.82,0.18951,0.571,0.471
4ca247,BCS9CG,,,1741235943,58.685573,17.9132,7364.3,0.0,False,291.29,-31.814,208.67,0.82,0.18867,0.76,0.629
4ca247,BCS9CG,,,1741235944,58.688187,17.9132,7332.5,0.0,False,290.75,-31.79,208.67,0.8191,0.18777,0.947,0.786
4ca247,BCS9CG,,,1741235945,58.690797,17.9132,7300.8,0.0,False,290.21,-31.711,208.67,0.8176,0.18684,1.134,0.942
4ca247,BCS9CG,,,1741235946,58.693402,17.9132,7269.2,0.0,False,289.67,-31.631,208.67,0.816,0.18592,1.32,1.099
4ca247,BCS9CG,,,1741235947,58.696003,17.9132,7237.7,0.0,False,289.13,-31.55,208.67,0.8145,0.18501,1.505,1.255
4ca247,BCS9CG,,,1741235948,58.698598,17.9132,7206.2,0.0,False,288.6,-31.47,208.67,0.813,0.18411,1.689,1.411
4ca247,BCS9CG,,,1741235949,58.701189,17.9132,7174.8,0.0,False,288.07,-31.389,208.67,0.8115,0.18321,1.872,1.566
4ca247,BCS9CG,,,1741235950,58.703775,17.9132,7143.5,0.0,False,287.54,-31.307,208.67,0.81,0.18233,2.055,1.722
4ca247,BCS9CG,,,1741235951,58.706356,17.9132,7112.3,0.0,False,287.01,-31.226,208.67,0.8085,0.18145,2.236,1.877
4ca247,BCS9CG,,,1741235952,58.708932,17.9132,7081.1,0.0,False,286.49,-31.145,208.67,0.8071,0.18058,2.417,2.031
4ca247,BCS9CG,,,1741235953,58.711504,17.9132,7050.1,0.0,False,285.97,-31.064,208.67,0.8056,0.17971,2.597,2.186
4ca247,BCS9CG,,,1741235954,58.714071,17.9132,7019.1,0.0,False,285.45,-30.983,208.67,0.8041,0.17886,2.775,2.34
4ca247,BCS9CG,,,1741235955,58.716633,17.9132,6988.2,0.0,False,284.93,-30.902,208.67,0.8027,0.17801,2.953,2.494
4ca247,BCS9CG,,,1741235956,58.719191,17.9132,6957.4,0.0,False,284.42,-30.821,208.67,0.8012,0.17717,3.131,2.647
4ca247,BCS9CG,,,1741235957,58.721745,17.9132,6926.6,0.0,False,283.91,-30.741,208.67,0.7998,0.17635,3.307,2.801
4ca247,BCS9CG,,,1741235958,58.724293,17.9132,6896.0,0.0,False,283.4,-30.661,208.67,0.7983,0.17552,3.482,2.954
4ca247,BCS9CG,,,1741235959,58.726837,17.9132,6865.4,0.0,False,282.89,-30.581,208.67,0.7969,0.17471,3.657,3.106
4ca247,BCS9CG,,,1741235960,58.729377,17.9132,6834.9,0.0,False,282.39,-30.502,208.67,0.7955,0.17391,3.831,3.259
4ca247,BCS9CG,,,1741235961,58.731912,17.9132,6804.4,0.0,False,281.88,-30.423,208.67,0.7941,0.17311,4.004,3.411
4ca247,BCS9CG,,,1741235962,58.734442,17.9132,6774.1,0.0,False,281.39,-30.344,208.67,0.7926,0.17232,4.177,3.563
4ca247,BCS9CG,,,1741235963,58.737016,17.9132,6743.6,0.0,False,286.14,-30.484,208.67,0.7964,0.17659,4.353,3.717
4ca247,BCS9CG,,,1741235964,58.739584,17.9132,6713.2,0.0,False,285.63,-30.405,208.67,0.795,0.17581,4.529,3.872
4ca247,BCS9CG,,,1741235965,58.742149,17.9132,6682.9,0.0,False,285.13,-30.326,208.67,0.7935,0.17504,4.704,4.026
4ca247,BCS9CG,,,1741235966,58.744708,17.9132,6652.6,0.0,False,284.63,-30.248,208.67,0.7921,0.17427,4.878,4.179
4ca247,BCS9CG,,,1741235967,58.747264,17.9132,6622.5,0.0,False,284.13,-30.17,208.67,0.7907,0.17351,5.052,4.333
4ca247,BCS9CG,,,1741235968,58.749814,17.9132,6592.4,0.0,False,283.63,-30.093,208.67,0.7893,0.17276,5.225,4.486
4ca247,BCS9CG,,,1741235969,58.752361,17.9132,6562.4,0.0,False,283.14,-30.016,208.67,0.788,0.17202,5.397,4.639
4ca247,BCS9CG,,,1741235970,58.754903,17.9132,6532.4,0.0,False,282.65,-29.94,208.67,0.7866,0.17129,5.568,4.791
4ca247,BCS9CG,,,1741235971,58.75744,17.9132,6502.6,0.0,False,282.16,-29.865,208.67,0.7852,0.17057,5.738,4.944
4ca247,BCS9CG,,,1741235972,58.759973,17.9132,6472.8,0.0,False,281.67,-29.79,208.67,0.7838,0.16985,5.908,5.096
4ca247,BCS9CG,,,1741235973,58.762502,17.9132,6443.0,0.0,False,281.19,-29.715,208.67,0.7825,0.16914,6.077,5.248
4ca247,BCS9CG,,,1741235974,58.765027,17.9132,6413.4,0.0,False,280.7,-29.641,208.67,0.7811,0.16844,6.246,5.399
4ca247,BCS9CG,,,1741235975,58.767547,17.9132,6383.8,0.0,False,280.22,-29.568,208.67,0.7798,0.16775,6.414,5.551
