icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
39a201,FPO7RB,,,1741236000,59.718868,16.704089,11740.0,0.0,False,279.62,-23.597,160.06,0.82,0.08816,0.088,0.151
39a201,FPO7RB,,,1741236001,59.717236,16.707877,11716.3,130.5,False,279.62,-23.663,160.34,0.82,0.08825,0.176,0.302
39a201,FPO7RB,,,1741236002,59.715604,16.711666,11692.6,130.5,False,279.62,-23.73,160.62,0.82,0.08833,0.265,0.453
39a201,FPO7RB,,,1741236003,59.713972,16.715454,11668.8,130.5,False,279.62,-23.797,160.91,0.82,0.08841,0.353,0.604
39a201,FPO7RB,,,1741236004,59.712341,16.719243,11644.9,130.5,False,279.62,-23.865,161.2,0.82,0.08849,0.442,0.755
39a201,FPO7RB,,,1741236005,59.710709,16.723031,11621.0,130.5,False,279.62,-23.934,161.49,0.82,0.08858,0.53,0.906
39a201,FPO7RB,,,1741236006,59.709077,16.72682,11597.0,130.5,False,279.62,-24.004,161.78,0.82,0.08866,0.619,1.057
39a201,FPO7RB,,,1741236007,59.707445,16.730608,11572.9,130.5,False,279.62,-24.074,162.07,0.82,0.08875,0.708,1.208
39a201,FPO7RB,,,1741236008,59.705813,16.734397,11548.8,130.5,False,279.62,-24.145,162.36,0.82,0.08884,0.796,1.359
39a201,FPO7RB,,,1741236009,59.704181,16.738185,11524.5,130.5,False,279.62,-24.217,162.65,0.82,0.08892,0.885,1.51
39a201,FPO7RB,,,1741236010,59.702549,16.741974,11500.2,130.5,False,279.62,-24.289,162.95,0.82,0.08901,0.974,1.661
39a201,FPO7RB,,,1741236011,59.700917,16.745762,11475.9,130.5,False,279.62,-24.363,163.24,0.82,0.0891,1.064,1.812
39a201,FPO7RB,,,1741236012,59.699285,16.749551,11451.4,130.5,False,279.62,-24.437,163.54,0.82,0.08919,1.153,1.963
39a201,FPO7RB,,,1741236013,59.697653,16.753339,11426.9,130.5,False,279.62,-24.512,163.84,0.82,0.08929,1.242,2.114
39a201,FPO7RB,,,1741236014,59.696022,16.757128,11402.4,130.5,False,279.62,-24.587,164.14,0.82,0.08938,1.331,2.265
39a201,FPO7RB,,,1741236015,59.69439,16.760916,11377.7,130.5,False,279.62,-24.664,164.44,0.82,0.08947,1.421,2.416
39a201,FPO7RB,,,1741236016,59.692758,16.764705,11352.9,130.5,False,279.62,-24.741,164.75,0.82,0.08957,1.51,2.567
39a201,FPO7RB,,,1741236017,59.691126,16.768493,11328.1,130.5,False,279.62,-24.819,165.05,0.82,0.08966,1.6,2.718
39a201,FPO7RB,,,1741236018,59.689494,16.772282,11303.2,130.5,False,279.62,-24.898,165.36,0.82,0.08976,1.69,2.869
39a201,FPO7RB,,,1741236019,59.687862,16.77607,11278.3,130.5,False,279.62,-24.977,165.67,0.82,0.08986,1.78,3.02
39a201,FPO7RB,,,1741236020,59.68623,16.779859,11253.2,130.5,False,279.62,-25.057,165.98,0.82,0.08995,1.87,3.171
39a201,FPO7RB,,,1741236021,59.684598,16.783647,11228.1,130.5,False,279.62,-25.139,166.29,0.82,0.09005,1.96,3.322
39a201,FPO7RB,,,1741236022,59.682966,16.787436,11202.8,130.5,False,279.62,-25.221,166.6,0.82,0.09016,2.05,3.473
39a201,FPO7RB,,,1741236023,59.681334,16.791224,11177.5,130.5,False,279.62,-25.304,166.91,0.82,0.09026,2.14,3.624
39a201,FPO7RB,,,1741236024,59.679703,16.795013,11152.1,130.5,False,279.62,-25.387,167.23,0.82,0.09036,2.23,3.775
39a201,FPO7RB,,,1741236025,59.678071,16.798801,11126.7,130.5,False,279.62,-25.472,167.55,0.82,0.09046,2.321,3.926
39a201,FPO7RB,,,1741236026,59.676439,16.80259,11101.1,130.5,False,279.62,-25.557,167.87,0.82,0.09057,2.411,4.076
39a201,FPO7RB,,,1741236027,59.674807,16.806378,11075.5,130.5,False,279.62,-25.644,168.19,0.82,0.09068,2.502,4.227
39a201,FPO7RB,,,1741236028,59.673175,16.810167,11049.7,130.5,False,279.62,-25.731,168.51,0.82,0.09078,2.593,4.378
39a201,FPO7RB,,,1741236029,59.671522,16.814005,11024.6,130.5,False,283.3,-25.109,166.48,0.82,0.08965,2.683,4.531
39a201,FPO7RB,,,1741236030,59.669868,16.817844,10999.4,130.5,False,283.3,-25.189,166.8,0.82,0.08974,2.772,4.684
39a201,FPO7RB,,,1741236031,59.668215,16.821682,10974.2,130.5,False,283.3,-25.271,167.11,0.82,0.08984,2.862,4.837
39a201,FPO7RB,,,1741236032,59.666561,16.82552,10948.8,130.5,False,283.3,-25.353,167.43,0.82,0.08994,2.952,4.99
39a201,FPO7RB,,,1741236033,59.664908,16.829359,10923.4,130.5,False,283.3,-25.436,167.74,0.82,0.09004,3.042,5.143
39a201,FPO7RB,,,1741236034,59.663254,16.833197,10897.9,130.5,False,283.3,-25.519,168.06,0.82,0.09014,3.132,5.296
39a201,FPO7RB,,,1741236035,59.661601,16.837036,10872.3,130.5,False,283.3,-25.604,168.38,0.82,0.09025,3.223,5.449
39a201,FPO7RB,,,1741236036,59.659948,16.840874,10846.6,130.5,False,283.3,-25.689,168.7,0.82,0.09035,3.313,5.602
39a201,FPO7RB,,,1741236037,59.658294,16.844713,10820.8,130.5,False,283.3,-25.775,169.02,0.82,0.09046,3.403,5.755
39a201,FPO7RB,,,1741236038,59.656641,16.848551,10794.9,130.5,False,283.3,-25.862,169.35,0.82,0.09056,3.494,5.908
39a201,FPO7RB,,,1741236039,59.654987,16.85239,10769.0,130.5,False,283.3,-25.95,169.67,0.82,0.09067,3.585,6.061
39a201,FPO7RB,,,1741236040,59.653334,16.856228,10742.9,130.4,False,283.3,-26.039,170.0,0.82,0.09078,3.675,6.214
39a201,FPO7RB,,,1741236041,59.65168,16.860067,10716.8,130.4,False,283.3,-26.128,170.32,0.82,0.09089,3.766,6.367
39a201,FPO7RB,,,1741236042,59.650027,16.863905,10690.6,130.4,False,283.3,-26.218,170.65,0.82,0.091,3.857,6.52
39a201,FPO7RB,,,1741236043,59.648374,16.867744,10664.3,130.4,False,283.3,-26.309,170.98,0.82,0.09111,3.948,6.673
39a201,FPO7RB,,,1741236044,59.64672,16.871582,10637.9,130.4,False,283.3,-26.401,171.31,0.82,0.09122,4.04,6.826
39a201,FPO7RB,,,1741236045,59.645064,16.875427,10611.4,130.4,False,283.8,-26.494,171.65,0.82,0.09133,4.131,6.979
39a201,FPO7RB,,,1741236046,59.643408,16.879273,10584.8,130.4,False,283.8,-26.587,171.98,0.82,0.09145,4.222,7.132
39a201,FPO7RB,,,1741236047,59.641751,16.883118,10558.1,130.4,False,283.8,-26.682,172.32,0.82,0.09157,4.314,7.286
