icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
a00034,EJM721,,,1772963520,59.845065,16.703399,8491.9,0.0,False,228.22,-16.664,155.18
a00034,EJM721,,,1772963521,59.84373,16.706498,8475.2,130.6,False,228.22,-16.694,155.36
a00034,EJM721,,,1772963522,59.842396,16.709597,8458.5,130.6,False,228.22,-16.724,155.54
a00034,EJM721,,,1772963523,59.841061,16.712695,8441.8,130.6,False,228.22,-16.754,155.72
a00034,EJM721,,,1772963524,59.839726,16.715794,8425.0,130.6,False,228.22,-16.785,155.9
a00034,EJM721,,,1772963525,59.838391,16.718893,8408.2,130.6,False,228.22,-16.815,156.09
a00034,EJM721,,,1772963526,59.837056,16.721992,8391.3,130.6,False,228.22,-16.846,156.27
a00034,EJM721,,,1772963527,59.835721,16.725091,8374.4,130.6,False,228.22,-16.877,156.45
a00034,EJM721,,,1772963528,59.834387,16.72819,8357.5,130.6,False,228.22,-16.908,156.64
a00034,EJM721,,,1772963529,59.833052,16.731288,8340.6,130.6,False,228.22,-16.939,156.82
a00034,EJM721,,,1772963530,59.831717,16.734387,8323.6,130.6,False,228.22,-16.971,157.01
a00034,EJM721,,,1772963531,59.830382,16.737486,8306.6,130.6,False,228.22,-17.002,157.19
a00034,EJM721,,,1772963532,59.829047,16.740585,8289.6,130.6,False,228.22,-17.034,157.38
a00034,EJM721,,,1772963533,59.827712,16.743684,8272.5,130.6,False,228.22,-17.066,157.56
a00034,EJM721,,,1772963534,59.826378,16.746783,8255.4,130.6,False,228.22,-17.097,157.75
a00034,EJM721,,,1772963535,59.825043,16.749882,8238.3,130.6,False,228.22,-17.13,157.94
a00034,EJM721,,,1772963536,59.823708,16.75298,8221.1,130.6,False,228.22,-17.162,158.12
a00034,EJM721,,,1772963537,59.822373,16.756079,8203.9,130.6,False,228.22,-17.194,158.31
a00034,EJM721,,,1772963538,59.821038,16.759178,8186.7,130.6,False,228.22,-17.227,158.5
