icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4867c4,KLM59U,,,1772961720,59.844754,16.704121,10048.2,0.0,False,281.43,-29.002,179.93
4867c4,KLM59U,,,1772961721,59.843108,16.707943,10019.1,130.6,False,281.43,-29.12,180.31
4867c4,KLM59U,,,1772961722,59.841462,16.711764,9989.8,130.6,False,281.43,-29.238,180.69
4867c4,KLM59U,,,1772961723,59.839816,16.715585,9960.5,130.6,False,281.43,-29.358,181.07
4867c4,KLM59U,,,1772961724,59.83817,16.719407,9931.0,130.6,False,281.43,-29.479,181.45
4867c4,KLM59U,,,1772961725,59.836524,16.723228,9901.4,130.6,False,281.43,-29.601,181.83
4867c4,KLM59U,,,1772961726,59.834878,16.727049,9871.7,130.6,False,281.43,-29.724,182.22
4867c4,KLM59U,,,1772961727,59.833232,16.730871,9841.8,130.6,False,281.43,-29.848,182.61
4867c4,KLM59U,,,1772961728,59.831586,16.734692,9811.9,130.6,False,281.43,-29.973,183.0
4867c4,KLM59U,,,1772961729,59.82994,16.738514,9781.8,130.6,False,281.43,-30.1,183.39
4867c4,KLM59U,,,1772961730,59.828293,16.742335,9751.5,130.6,False,281.43,-30.228,183.78
4867c4,KLM59U,,,1772961731,59.826653,16.746143,9721.9,130.6,False,280.45,-29.621,182.26
4867c4,KLM59U,,,1772961732,59.825013,16.749951,9692.2,130.6,False,280.45,-29.744,182.65
4867c4,KLM59U,,,1772961733,59.823372,16.753759,9662.3,130.6,False,280.45,-29.867,183.03
4867c4,KLM59U,,,1772961734,59.821732,16.757567,9632.3,130.6,False,280.45,-29.991,183.42
4867c4,KLM59U,,,1772961735,59.820092,16.761375,9602.2,130.6,False,280.45,-30.117,183.81
4867c4,KLM59U,,,1772961736,59.818451,16.765183,9571.9,130.6,False,280.45,-30.244,184.21
4867c4,KLM59U,,,1772961737,59.816811,16.768992,9541.6,130.6,False,280.45,-30.372,184.6
4867c4,KLM59U,,,1772961738,59.815171,16.7728,9511.1,130.6,False,280.45,-30.501,185.0
4867c4,KLM59U,,,1772961739,59.81353,16.776608,9480.4,130.6,False,280.45,-30.631,185.4
