icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4aca08,NSZ2ES,,,1774609800,59.844856,16.703885,8443.1,0.0,False,264.05,-21.156,170.11
4aca08,NSZ2ES,,,1774609801,59.843311,16.707471,8421.8,130.6,False,264.05,-21.21,170.36
4aca08,NSZ2ES,,,1774609802,59.841767,16.711056,8400.6,130.6,False,264.05,-21.265,170.61
4aca08,NSZ2ES,,,1774609803,59.840222,16.714642,8379.3,130.6,False,264.05,-21.32,170.86
4aca08,NSZ2ES,,,1774609804,59.838678,16.718227,8357.9,130.6,False,264.05,-21.375,171.12
4aca08,NSZ2ES,,,1774609805,59.837134,16.721812,8336.5,130.6,False,264.05,-21.431,171.37
4aca08,NSZ2ES,,,1774609806,59.835589,16.725398,8315.0,130.6,False,264.05,-21.487,171.62
4aca08,NSZ2ES,,,1774609807,59.834045,16.728983,8293.4,130.6,False,264.05,-21.543,171.87
4aca08,NSZ2ES,,,1774609808,59.8325,16.732569,8271.8,130.6,False,264.05,-21.6,172.13
4aca08,NSZ2ES,,,1774609809,59.830956,16.736154,8250.2,130.6,False,264.05,-21.656,172.39
4aca08,NSZ2ES,,,1774609810,59.829411,16.739739,8228.5,130.6,False,264.05,-21.714,172.64
4aca08,NSZ2ES,,,1774609811,59.827867,16.743325,8206.7,130.6,False,264.05,-21.771,172.9
4aca08,NSZ2ES,,,1774609812,59.826323,16.74691,8184.9,130.6,False,264.05,-21.83,173.16
4aca08,NSZ2ES,,,1774609813,59.824778,16.750496,8163.0,130.6,False,264.05,-21.888,173.42
4aca08,NSZ2ES,,,1774609814,59.823234,16.754081,8141.0,130.6,False,264.05,-21.947,173.68
4aca08,NSZ2ES,,,1774609815,59.821689,16.757666,8119.0,130.6,False,264.05,-22.006,173.94
4aca08,NSZ2ES,,,1774609816,59.820145,16.761252,8096.9,130.6,False,264.05,-22.065,174.2
4aca08,NSZ2ES,,,1774609817,59.818601,16.764837,8074.8,130.6,False,264.05,-22.125,174.46
4aca08,NSZ2ES,,,1774609818,59.817056,16.768422,8052.6,130.6,False,264.05,-22.185,174.73
4aca08,NSZ2ES,,,1774609819,59.815512,16.772008,8030.4,130.6,False,264.05,-22.246,174.99
4aca08,NSZ2ES,,,1774609820,59.813967,16.775593,8008.1,130.6,False,264.05,-22.307,175.25
4aca08,NSZ2ES,,,1774609821,59.812423,16.779179,7985.7,130.6,False,264.05,-22.368,175.52
4aca08,NSZ2ES,,,1774609822,59.810879,16.782764,7963.3,130.6,False,264.05,-22.43,175.79
4aca08,NSZ2ES,,,1774609823,59.809334,16.786349,7940.8,130.6,False,264.05,-22.492,176.06
4aca08,NSZ2ES,,,1774609824,59.80779,16.789935,7918.2,130.6,False,264.05,-22.554,176.33
4aca08,NSZ2ES,,,1774609825,59.806245,16.79352,7895.6,130.6,False,264.05,-22.617,176.6
4aca08,NSZ2ES,,,1774609826,59.804701,16.797106,7872.9,130.6,False,264.05,-22.681,176.87
