icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4d226a,RYR552M,,,1774607100,58.801,17.908915,10816.9,0.0,False,246.79,-14.559,136.96
4d226a,RYR552M,,,1774607101,58.801,17.904631,10802.3,270.0,False,246.79,-14.577,137.11
4d226a,RYR552M,,,1774607102,58.801,17.900346,10787.7,270.0,False,246.79,-14.596,137.26
4d226a,RYR552M,,,1774607103,58.801,17.896062,10773.1,270.0,False,246.79,-14.614,137.41
4d226a,RYR552M,,,1774607104,58.801,17.891777,10758.4,270.0,False,246.79,-14.633,137.56
4d226a,RYR552M,,,1774607105,58.801,17.887493,10743.8,270.0,False,246.79,-14.652,137.71
4d226a,RYR552M,,,1774607106,58.801,17.883208,10729.1,270.0,False,246.79,-14.67,137.87
4d226a,RYR552M,,,1774607107,58.801,17.878924,10714.4,270.0,False,246.79,-14.689,138.02
4d226a,RYR552M,,,1774607108,58.801,17.874629,10699.7,270.0,False,247.36,-14.708,138.17
4d226a,RYR552M,,,1774607109,58.801,17.870335,10685.0,270.0,False,247.36,-14.728,138.32
4d226a,RYR552M,,,1774607110,58.801,17.866041,10670.2,270.0,False,247.36,-14.747,138.48
4d226a,RYR552M,,,1774607111,58.801,17.861746,10655.5,270.0,False,247.36,-14.766,138.63
4d226a,RYR552M,,,1774607112,58.801,17.857452,10640.7,270.0,False,247.36,-14.786,138.78
4d226a,RYR552M,,,1774607113,58.801,17.853157,10625.9,270.0,False,247.36,-14.806,138.94
4d226a,RYR552M,,,1774607114,58.801,17.848863,10611.1,270.0,False,247.36,-14.826,139.09
4d226a,RYR552M,,,1774607115,58.801,17.844568,10596.2,270.0,False,247.36,-14.845,139.25
4d226a,RYR552M,,,1774607116,58.801,17.840274,10581.4,270.0,False,247.36,-14.866,139.4
4d226a,RYR552M,,,1774607117,58.801,17.83598,10566.5,270.0,False,247.36,-14.886,139.56
4d226a,RYR552M,,,1774607118,58.801,17.831685,10551.6,270.0,False,247.36,-14.906,139.71
4d226a,RYR552M,,,1774607119,58.801,17.827391,10536.6,270.0,False,247.36,-14.926,139.87
4d226a,RYR552M,,,1774607120,58.801,17.823096,10521.7,270.0,False,247.36,-14.947,140.02
4d226a,RYR552M,,,1774607121,58.801,17.818802,10506.7,270.0,False,247.36,-14.968,140.18
4d226a,RYR552M,,,1774607122,58.801,17.814508,10491.7,270.0,False,247.36,-14.988,140.34
4d226a,RYR552M,,,1774607123,58.801,17.810213,10476.7,270.0,False,247.36,-15.009,140.49
4d226a,RYR552M,,,1774607124,58.801,17.805919,10461.7,270.0,False,247.36,-15.03,140.65
4d226a,RYR552M,,,1774607125,58.801,17.801624,10446.6,270.0,False,247.36,-15.051,140.81
4d226a,RYR552M,,,1774607126,58.801,17.79733,10431.6,270.0,False,247.36,-15.073,140.97
4d226a,RYR552M,,,1774607127,58.801,17.793035,10416.5,270.0,False,247.36,-15.094,141.12
4d226a,RYR552M,,,1774607128,58.801,17.788741,10401.4,270.0,False,247.36,-15.116,141.28
4d226a,RYR552M,,,1774607129,58.801,17.784447,10386.2,270.0,False,247.36,-15.137,141.44
