icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4cae55,RYR691N,,,1774608480,59.844834,16.703935,8418.9,0.0,False,267.72,-22.203,173.14
4cae55,RYR691N,,,1774608481,59.843268,16.707571,8396.6,130.6,False,267.72,-22.264,173.41
4cae55,RYR691N,,,1774608482,59.841702,16.711206,8374.3,130.6,False,267.72,-22.326,173.67
4cae55,RYR691N,,,1774608483,59.840136,16.714841,8351.9,130.6,False,267.72,-22.387,173.94
4cae55,RYR691N,,,1774608484,59.838571,16.718476,8329.5,130.6,False,267.72,-22.449,174.21
4cae55,RYR691N,,,1774608485,59.837005,16.722112,8306.9,130.6,False,267.72,-22.512,174.48
4cae55,RYR691N,,,1774608486,59.835439,16.725747,8284.4,130.6,False,267.72,-22.575,174.75
4cae55,RYR691N,,,1774608487,59.833873,16.729382,8261.7,130.6,False,267.72,-22.638,175.02
4cae55,RYR691N,,,1774608488,59.832307,16.733018,8239.0,130.6,False,267.72,-22.702,175.29
4cae55,RYR691N,,,1774608489,59.830741,16.736653,8216.3,130.6,False,267.72,-22.766,175.56
4cae55,RYR691N,,,1774608490,59.829175,16.740288,8193.4,130.6,False,267.72,-22.83,175.84
4cae55,RYR691N,,,1774608491,59.827609,16.743923,8170.5,130.6,False,267.72,-22.895,176.11
4cae55,RYR691N,,,1774608492,59.826043,16.747559,8147.6,130.6,False,267.72,-22.961,176.39
4cae55,RYR691N,,,1774608493,59.824477,16.751194,8124.6,130.6,False,267.72,-23.026,176.66
4cae55,RYR691N,,,1774608494,59.822912,16.754829,8101.5,130.6,False,267.72,-23.093,176.94
4cae55,RYR691N,,,1774608495,59.821346,16.758464,8078.3,130.6,False,267.72,-23.159,177.22
4cae55,RYR691N,,,1774608496,59.81978,16.7621,8055.1,130.6,False,267.72,-23.226,177.5
4cae55,RYR691N,,,1774608497,59.818214,16.765735,8031.8,130.6,False,267.72,-23.294,177.78
4cae55,RYR691N,,,1774608498,59.816648,16.769371,8008.4,130.6,False,267.74,-23.367,178.08
