icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4d236b,RYR71TM,,,1774610040,58.801,17.908664,11347.1,0.0,False,261.25,-16.283,141.28
4d236b,RYR71TM,,,1774610041,58.801,17.904129,11330.8,270.0,False,261.25,-16.308,141.46
4d236b,RYR71TM,,,1774610042,58.801,17.899593,11314.4,270.0,False,261.25,-16.333,141.63
4d236b,RYR71TM,,,1774610043,58.801,17.895058,11298.1,270.0,False,261.25,-16.358,141.81
4d236b,RYR71TM,,,1774610044,58.801,17.890522,11281.7,270.0,False,261.25,-16.384,141.98
4d236b,RYR71TM,,,1774610045,58.801,17.885986,11265.3,270.0,False,261.25,-16.409,142.16
4d236b,RYR71TM,,,1774610046,58.801,17.881451,11248.8,270.0,False,261.25,-16.435,142.34
4d236b,RYR71TM,,,1774610047,58.801,17.876915,11232.4,270.0,False,261.25,-16.461,142.51
4d236b,RYR71TM,,,1774610048,58.801,17.872375,11215.9,270.0,False,261.49,-16.49,142.71
4d236b,RYR71TM,,,1774610049,58.801,17.867836,11199.4,270.0,False,261.49,-16.516,142.89
4d236b,RYR71TM,,,1774610050,58.801,17.863296,11182.8,270.0,False,261.49,-16.543,143.06
4d236b,RYR71TM,,,1774610051,58.801,17.858756,11166.3,270.0,False,261.49,-16.57,143.24
4d236b,RYR71TM,,,1774610052,58.801,17.854216,11149.7,270.0,False,261.49,-16.597,143.42
4d236b,RYR71TM,,,1774610053,58.801,17.849677,11133.0,270.0,False,261.49,-16.624,143.6
4d236b,RYR71TM,,,1774610054,58.801,17.845137,11116.4,270.0,False,261.49,-16.651,143.78
4d236b,RYR71TM,,,1774610055,58.801,17.840597,11099.7,270.0,False,261.49,-16.679,143.97
4d236b,RYR71TM,,,1774610056,58.801,17.836058,11083.0,270.0,False,261.49,-16.706,144.15
4d236b,RYR71TM,,,1774610057,58.801,17.831518,11066.3,270.0,False,261.49,-16.734,144.33
4d236b,RYR71TM,,,1774610058,58.801,17.826978,11049.5,270.0,False,261.49,-16.763,144.51
4d236b,RYR71TM,,,1774610059,58.801,17.822402,11032.7,270.0,False,263.59,-16.847,145.04
4d236b,RYR71TM,,,1774610060,58.801,17.817826,11015.8,270.0,False,263.59,-16.876,145.23
4d236b,RYR71TM,,,1774610061,58.801,17.81325,10998.9,270.0,False,263.59,-16.905,145.41
4d236b,RYR71TM,,,1774610062,58.801,17.808673,10981.9,270.0,False,263.59,-16.935,145.6
4d236b,RYR71TM,,,1774610063,58.801,17.804097,10965.0,270.0,False,263.59,-16.964,145.78
4d236b,RYR71TM,,,1774610064,58.801,17.799521,10948.0,270.0,False,263.59,-16.994,145.97
4d236b,RYR71TM,,,1774610065,58.801,17.794945,10931.0,270.0,False,263.59,-17.024,146.16
