icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
47bb0a,SAS57J,,,1774607940,60.2646,18.636894,13429.2,0.0,False,220.94,-14.297,100.0
47bb0a,SAS57J,,,1774607941,60.2646,18.632888,13415.0,270.0,False,220.94,-14.261,100.11
47bb0a,SAS57J,,,1774607942,60.2646,18.628882,13400.8,270.0,False,220.94,-14.225,100.22
47bb0a,SAS57J,,,1774607943,60.2646,18.624873,13386.6,270.0,False,221.1,-14.189,100.33
47bb0a,SAS57J,,,1774607944,60.2646,18.620864,13372.4,270.0,False,221.1,-14.155,100.44
47bb0a,SAS57J,,,1774607945,60.2646,18.616855,13358.3,270.0,False,221.1,-14.121,100.55
47bb0a,SAS57J,,,1774607946,60.2646,18.612846,13344.2,270.0,False,221.1,-14.088,100.66
47bb0a,SAS57J,,,1774607947,60.2646,18.608838,13330.2,270.0,False,221.1,-14.056,100.77
47bb0a,SAS57J,,,1774607948,60.2646,18.604829,13316.1,270.0,False,221.1,-14.024,100.88
47bb0a,SAS57J,,,1774607949,60.2646,18.60082,13302.1,270.0,False,221.1,-13.992,100.99
47bb0a,SAS57J,,,1774607950,60.2646,18.596811,13288.2,270.0,False,221.1,-13.961,101.1
47bb0a,SAS57J,,,1774607951,60.2646,18.592802,13274.2,270.0,False,221.1,-13.931,101.21
47bb0a,SAS57J,,,1774607952,60.2646,18.588793,13260.3,270.0,False,221.1,-13.901,101.32
47bb0a,SAS57J,,,1774607953,60.2646,18.584784,13246.5,270.0,False,221.1,-13.871,101.42
47bb0a,SAS57J,,,1774607954,60.2646,18.580776,13232.6,270.0,False,221.1,-13.842,101.53
47bb0a,SAS57J,,,1774607955,60.2646,18.576767,13218.8,270.0,False,221.1,-13.814,101.64
47bb0a,SAS57J,,,1774607956,60.2646,18.572758,13205.0,270.0,False,221.1,-13.786,101.75
47bb0a,SAS57J,,,1774607957,60.2646,18.568749,13191.3,270.0,False,221.1,-13.758,101.86
47bb0a,SAS57J,,,1774607958,60.2646,18.56474,13177.5,270.0,False,221.1,-13.731,101.96
47bb0a,SAS57J,,,1774607959,60.2646,18.560731,13163.8,270.0,False,221.1,-13.705,102.07
47bb0a,SAS57J,,,1774607960,60.2646,18.556722,13150.2,270.0,False,221.1,-13.678,102.18
47bb0a,SAS57J,,,1774607961,60.2646,18.552714,13136.5,270.0,False,221.1,-13.653,102.29
47bb0a,SAS57J,,,1774607962,60.2646,18.548705,13122.9,270.0,False,221.1,-13.627,102.4
47bb0a,SAS57J,,,1774607963,60.2646,18.544696,13109.3,270.0,False,221.1,-13.602,102.5
47bb0a,SAS57J,,,1774607964,60.2646,18.540687,13095.7,270.0,False,221.1,-13.578,102.61
47bb0a,SAS57J,,,1774607965,60.2646,18.536678,13082.1,270.0,False,221.1,-13.554,102.72
47bb0a,SAS57J,,,1774607966,60.2646,18.532669,13068.6,270.0,False,221.1,-13.53,102.82
47bb0a,SAS57J,,,1774607967,60.2646,18.52866,13055.1,270.0,False,221.1,-13.506,102.93
47bb0a,SAS57J,,,1774607968,60.2646,18.524652,13041.6,270.0,False,221.1,-13.484,103.04
47bb0a,SAS57J,,,1774607969,60.2646,18.520643,13028.2,270.0,False,221.1,-13.461,103.15
47bb0a,SAS57J,,,1774607970,60.2646,18.516634,13014.7,270.0,False,221.1,-13.439,103.25
47bb0a,SAS57J,,,1774607971,60.2646,18.512625,13001.3,270.0,False,221.1,-13.417,103.36
47bb0a,SAS57J,,,1774607972,60.2646,18.508616,12987.9,270.0,False,221.1,-13.396,103.47
47bb0a,SAS57J,,,1774607973,60.2646,18.504607,12974.5,270.0,False,221.1,-13.374,103.57
47bb0a,SAS57J,,,1774607974,60.2646,18.500599,12961.2,270.0,False,221.1,-13.354,103.68
47bb0a,SAS57J,,,1774607975,60.2646,18.49659,12947.9,270.0,False,221.1,-13.333,103.79
47bb0a,SAS57J,,,1774607976,60.2646,18.492581,12934.5,270.0,False,221.1,-13.313,103.89
47bb0a,SAS57J,,,1774607977,60.2646,18.488572,12921.2,270.0,False,221.1,-13.294,104.0
47bb0a,SAS57J,,,1774607978,60.2646,18.484563,12908.0,270.0,False,221.1,-13.274,104.11
