icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4631cd,ABF2,,,1775906760,59.740495,19.122841,9525.2,0.0,False,240.52,-18.057,156.28
4631cd,ABF2,,,1775906761,59.73909,19.119583,9507.1,229.5,False,240.52,-18.094,156.48
4631cd,ABF2,,,1775906762,59.737685,19.116324,9489.0,229.5,False,240.52,-18.132,156.68
4631cd,ABF2,,,1775906763,59.73628,19.113065,9470.8,229.5,False,240.52,-18.169,156.89
4631cd,ABF2,,,1775906764,59.734875,19.109807,9452.6,229.5,False,240.52,-18.207,157.09
4631cd,ABF2,,,1775906765,59.73347,19.106548,9434.4,229.5,False,240.52,-18.245,157.3
4631cd,ABF2,,,1775906766,59.732065,19.103289,9416.1,229.5,False,240.52,-18.283,157.5
4631cd,ABF2,,,1775906767,59.73066,19.100031,9397.8,229.5,False,240.52,-18.321,157.71
4631cd,ABF2,,,1775906768,59.729255,19.096772,9379.4,229.5,False,240.52,-18.36,157.92
4631cd,ABF2,,,1775906769,59.72785,19.093513,9361.0,229.5,False,240.52,-18.399,158.13
4631cd,ABF2,,,1775906770,59.726445,19.090255,9342.6,229.5,False,240.52,-18.438,158.33
4631cd,ABF2,,,1775906771,59.72504,19.086996,9324.1,229.5,False,240.52,-18.477,158.54
4631cd,ABF2,,,1775906772,59.723635,19.083737,9305.6,229.5,False,240.52,-18.516,158.75
4631cd,ABF2,,,1775906773,59.72223,19.080479,9287.0,229.5,False,240.52,-18.556,158.96
4631cd,ABF2,,,1775906774,59.720825,19.07722,9268.4,229.5,False,240.52,-18.596,159.17
4631cd,ABF2,,,1775906775,59.71942,19.073961,9249.8,229.5,False,240.52,-18.636,159.38
4631cd,ABF2,,,1775906776,59.718015,19.070703,9231.1,229.5,False,240.52,-18.676,159.59
4631cd,ABF2,,,1775906777,59.71661,19.067444,9212.4,229.5,False,240.52,-18.717,159.81
4631cd,ABF2,,,1775906778,59.715205,19.064185,9193.6,229.5,False,240.52,-18.758,160.02
4631cd,ABF2,,,1775906779,59.7138,19.060926,9174.8,229.5,False,240.52,-18.799,160.23
4631cd,ABF2,,,1775906780,59.712395,19.057668,9156.0,229.5,False,240.52,-18.84,160.45
4631cd,ABF2,,,1775906781,59.71099,19.054409,9137.1,229.5,False,240.52,-18.881,160.66
4631cd,ABF2,,,1775906782,59.709585,19.05115,9118.2,229.5,False,240.52,-18.923,160.88
4631cd,ABF2,,,1775906783,59.70818,19.047892,9099.2,229.5,False,240.52,-18.965,161.09
4631cd,ABF2,,,1775906784,59.706775,19.044633,9080.2,229.5,False,240.52,-19.007,161.31
4631cd,ABF2,,,1775906785,59.70537,19.041374,9061.2,229.5,False,240.52,-19.049,161.53
4631cd,ABF2,,,1775906786,59.703964,19.038116,9042.1,229.5,False,240.52,-19.092,161.74
4631cd,ABF2,,,1775906787,59.702559,19.034857,9022.9,229.5,False,240.52,-19.135,161.96
4631cd,ABF2,,,1775906788,59.701154,19.031598,9003.8,229.5,False,240.52,-19.178,162.18
4631cd,ABF2,,,1775906789,59.699749,19.02834,8984.5,229.5,False,240.52,-19.221,162.4
4631cd,ABF2,,,1775906790,59.698344,19.025081,8965.3,229.5,False,240.52,-19.265,162.62
4631cd,ABF2,,,1775906791,59.696939,19.021822,8946.0,229.5,False,240.52,-19.309,162.84
4631cd,ABF2,,,1775906792,59.695534,19.018564,8926.6,229.5,False,240.52,-19.353,163.06
4631cd,ABF2,,,1775906793,59.694129,19.015305,8907.2,229.5,False,240.52,-19.397,163.29
4631cd,ABF2,,,1775906794,59.692724,19.012046,8887.8,229.5,False,240.52,-19.441,163.51
4631cd,ABF2,,,1775906795,59.691319,19.008788,8868.3,229.5,False,240.52,-19.486,163.73
4631cd,ABF2,,,1775906796,59.689914,19.005529,8848.8,229.5,False,240.52,-19.531,163.96
4631cd,ABF2,,,1775906797,59.688509,19.00227,8829.2,229.5,False,240.52,-19.577,164.18
4631cd,ABF2,,,1775906798,59.687104,18.999012,8809.6,229.5,False,240.52,-19.622,164.41
4631cd,ABF2,,,1775906799,59.685699,18.995753,8789.9,229.5,False,240.52,-19.668,164.63
4631cd,ABF2,,,1775906800,59.684294,18.992494,8770.2,229.5,False,240.52,-19.714,164.86
4631cd,ABF2,,,1775906801,59.682889,18.989236,8750.4,229.5,False,240.52,-19.76,165.09
4631cd,ABF2,,,1775906802,59.681484,18.985977,8730.6,229.5,False,240.52,-19.807,165.32
4631cd,ABF2,,,1775906803,59.680079,18.982718,8710.8,229.5,False,240.52,-19.854,165.54
4631cd,ABF2,,,1775906804,59.678674,18.97946,8690.8,229.5,False,240.52,-19.901,165.77
4631cd,ABF2,,,1775906805,59.677269,18.976201,8670.9,229.5,False,240.52,-19.948,166.01
4631cd,ABF2,,,1775906806,59.675864,18.972942,8650.9,229.5,False,240.52,-19.996,166.24
4631cd,ABF2,,,1775906807,59.674459,18.969684,8630.9,229.5,False,240.52,-20.044,166.47
4631cd,ABF2,,,1775906808,59.673046,18.966406,8611.1,229.5,False,241.92,-19.761,165.34
4631cd,ABF2,,,1775906809,59.671633,18.963128,8591.3,229.5,False,241.92,-19.807,165.57
4631cd,ABF2,,,1775906810,59.67022,18.959851,8571.4,229.5,False,241.92,-19.853,165.8
4631cd,ABF2,,,1775906811,59.668806,18.956573,8551.5,229.5,False,241.92,-19.9,166.03
4631cd,ABF2,,,1775906812,59.667393,18.953295,8531.6,229.5,False,241.92,-19.947,166.26
4631cd,ABF2,,,1775906813,59.66598,18.950018,8511.6,229.5,False,241.92,-19.994,166.49
4631cd,ABF2,,,1775906814,59.664567,18.94674,8491.6,229.5,False,241.92,-20.042,166.72
