icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
46788b,FNF238,,,1776234120,60.2646,18.645409,13318.3,0.0,False,248.7,-14.097,119.88
46788b,FNF238,,,1776234121,60.2646,18.649919,13304.2,90.0,False,248.7,-14.098,120.01
46788b,FNF238,,,1776234122,60.2646,18.654428,13290.1,90.0,False,248.7,-14.099,120.14
46788b,FNF238,,,1776234123,60.2646,18.658937,13276.0,90.0,False,248.7,-14.101,120.27
46788b,FNF238,,,1776234124,60.2646,18.663446,13261.9,90.0,False,248.7,-14.102,120.4
46788b,FNF238,,,1776234125,60.2646,18.667956,13247.8,90.0,False,248.7,-14.104,120.53
46788b,FNF238,,,1776234126,60.2646,18.672465,13233.6,90.0,False,248.7,-14.106,120.66
46788b,FNF238,,,1776234127,60.2646,18.676974,13219.5,90.0,False,248.7,-14.108,120.79
46788b,FNF238,,,1776234128,60.2646,18.681484,13205.4,90.0,False,248.7,-14.111,120.92
46788b,FNF238,,,1776234129,60.2646,18.685993,13191.3,90.0,False,248.7,-14.113,121.05
46788b,FNF238,,,1776234130,60.2646,18.690502,13177.2,90.0,False,248.7,-14.116,121.18
46788b,FNF238,,,1776234131,60.2646,18.695012,13163.1,90.0,False,248.7,-14.119,121.31
46788b,FNF238,,,1776234132,60.2646,18.699521,13149.0,90.0,False,248.7,-14.122,121.44
46788b,FNF238,,,1776234133,60.2646,18.70403,13134.8,90.0,False,248.7,-14.125,121.57
46788b,FNF238,,,1776234134,60.2646,18.708539,13120.7,90.0,False,248.7,-14.128,121.7
46788b,FNF238,,,1776234135,60.2646,18.713049,13106.6,90.0,False,248.7,-14.132,121.83
46788b,FNF238,,,1776234136,60.2646,18.717558,13092.4,90.0,False,248.7,-14.136,121.97
46788b,FNF238,,,1776234137,60.2646,18.722067,13078.3,90.0,False,248.7,-14.14,122.1
46788b,FNF238,,,1776234138,60.2646,18.726577,13064.2,90.0,False,248.7,-14.144,122.23
46788b,FNF238,,,1776234139,60.2646,18.731086,13050.0,90.0,False,248.7,-14.148,122.36
46788b,FNF238,,,1776234140,60.2646,18.735595,13035.9,90.0,False,248.7,-14.153,122.49
46788b,FNF238,,,1776234141,60.2646,18.740105,13021.7,90.0,False,248.7,-14.157,122.63
46788b,FNF238,,,1776234142,60.2646,18.744614,13007.5,90.0,False,248.7,-14.162,122.76
46788b,FNF238,,,1776234143,60.2646,18.749123,12993.4,90.0,False,248.7,-14.167,122.89
46788b,FNF238,,,1776234144,60.2646,18.753632,12979.2,90.0,False,248.7,-14.172,123.03
46788b,FNF238,,,1776234145,60.2646,18.758142,12965.0,90.0,False,248.7,-14.178,123.16
46788b,FNF238,,,1776234146,60.2646,18.762651,12950.8,90.0,False,248.7,-14.183,123.29
46788b,FNF238,,,1776234147,60.2646,18.76716,12936.6,90.0,False,248.7,-14.189,123.43
46788b,FNF238,,,1776234148,60.2646,18.77167,12922.4,90.0,False,248.7,-14.195,123.56
46788b,FNF238,,,1776234149,60.2646,18.776179,12908.2,90.0,False,248.7,-14.201,123.69
46788b,FNF238,,,1776234150,60.2646,18.780688,12894.0,90.0,False,248.7,-14.207,123.83
46788b,FNF238,,,1776234151,60.2646,18.785198,12879.8,90.0,False,248.7,-14.213,123.96
