icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4aca4f,NSZ3LW,,,1776230760,60.2646,18.64512,12691.0,0.0,False,232.76,-12.921,116.78
4aca4f,NSZ3LW,,,1776230761,60.2646,18.649341,12678.0,90.0,False,232.76,-12.92,116.9
4aca4f,NSZ3LW,,,1776230762,60.2646,18.653561,12665.1,90.0,False,232.76,-12.919,117.01
4aca4f,NSZ3LW,,,1776230763,60.2646,18.657782,12652.2,90.0,False,232.76,-12.918,117.13
4aca4f,NSZ3LW,,,1776230764,60.2646,18.662002,12639.3,90.0,False,232.76,-12.918,117.24
4aca4f,NSZ3LW,,,1776230765,60.2646,18.666222,12626.4,90.0,False,232.76,-12.917,117.36
4aca4f,NSZ3LW,,,1776230766,60.2646,18.670443,12613.5,90.0,False,232.76,-12.917,117.48
4aca4f,NSZ3LW,,,1776230767,60.2646,18.674663,12600.5,90.0,False,232.76,-12.916,117.59
4aca4f,NSZ3LW,,,1776230768,60.2646,18.678883,12587.6,90.0,False,232.76,-12.916,117.71
4aca4f,NSZ3LW,,,1776230769,60.2646,18.683104,12574.7,90.0,False,232.76,-12.916,117.83
4aca4f,NSZ3LW,,,1776230770,60.2646,18.687324,12561.8,90.0,False,232.76,-12.917,117.94
4aca4f,NSZ3LW,,,1776230771,60.2646,18.691545,12548.9,90.0,False,232.76,-12.917,118.06
4aca4f,NSZ3LW,,,1776230772,60.2646,18.695765,12536.0,90.0,False,232.76,-12.918,118.18
4aca4f,NSZ3LW,,,1776230773,60.2646,18.699985,12523.0,90.0,False,232.76,-12.918,118.29
4aca4f,NSZ3LW,,,1776230774,60.2646,18.704206,12510.1,90.0,False,232.76,-12.919,118.41
4aca4f,NSZ3LW,,,1776230775,60.2646,18.708426,12497.2,90.0,False,232.76,-12.92,118.53
4aca4f,NSZ3LW,,,1776230776,60.2646,18.712647,12484.3,90.0,False,232.76,-12.921,118.64
4aca4f,NSZ3LW,,,1776230777,60.2646,18.716867,12471.4,90.0,False,232.76,-12.922,118.76
4aca4f,NSZ3LW,,,1776230778,60.2646,18.721087,12458.4,90.0,False,232.76,-12.924,118.88
4aca4f,NSZ3LW,,,1776230779,60.2646,18.725308,12445.5,90.0,False,232.76,-12.925,119.0
4aca4f,NSZ3LW,,,1776230780,60.2646,18.729528,12432.6,90.0,False,232.76,-12.927,119.11
4aca4f,NSZ3LW,,,1776230781,60.2646,18.733748,12419.7,90.0,False,232.76,-12.929,119.23
4aca4f,NSZ3LW,,,1776230782,60.2646,18.737969,12406.7,90.0,False,232.76,-12.931,119.35
4aca4f,NSZ3LW,,,1776230783,60.2646,18.742189,12393.8,90.0,False,232.76,-12.933,119.47
4aca4f,NSZ3LW,,,1776230784,60.2646,18.74641,12380.9,90.0,False,232.76,-12.935,119.59
4aca4f,NSZ3LW,,,1776230785,60.2646,18.75063,12367.9,90.0,False,232.76,-12.938,119.7
4aca4f,NSZ3LW,,,1776230786,60.2646,18.75485,12355.0,90.0,False,232.76,-12.94,119.82
4aca4f,NSZ3LW,,,1776230787,60.2646,18.759071,12342.0,90.0,False,232.76,-12.943,119.94
4aca4f,NSZ3LW,,,1776230788,60.2646,18.763291,12329.1,90.0,False,232.76,-12.946,120.06
4aca4f,NSZ3LW,,,1776230789,60.2646,18.767512,12316.1,90.0,False,232.76,-12.949,120.18
4aca4f,NSZ3LW,,,1776230790,60.2646,18.771732,12303.2,90.0,False,232.76,-12.952,120.3
4aca4f,NSZ3LW,,,1776230791,60.2646,18.775952,12290.2,90.0,False,232.76,-12.955,120.42
4aca4f,NSZ3LW,,,1776230792,60.2646,18.780173,12277.3,90.0,False,232.76,-12.958,120.54
4aca4f,NSZ3LW,,,1776230793,60.2646,18.784393,12264.3,90.0,False,232.76,-12.962,120.66
4aca4f,NSZ3LW,,,1776230794,60.2646,18.788613,12251.3,90.0,False,232.76,-12.966,120.78
4aca4f,NSZ3LW,,,1776230795,60.2646,18.792834,12238.4,90.0,False,232.76,-12.969,120.9
4aca4f,NSZ3LW,,,1776230796,60.2646,18.797054,12225.4,90.0,False,232.76,-12.973,121.02
4aca4f,NSZ3LW,,,1776230797,60.2646,18.801275,12212.4,90.0,False,232.76,-12.977,121.14
4aca4f,NSZ3LW,,,1776230798,60.2646,18.805495,12199.4,90.0,False,232.76,-12.981,121.26
4aca4f,NSZ3LW,,,1776230799,60.2646,18.809715,12186.5,90.0,False,232.76,-12.986,121.38
4aca4f,NSZ3LW,,,1776230800,60.2646,18.813936,12173.5,90.0,False,232.76,-12.99,121.5
