icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
44022d,AUA96F,,,1776236340,58.80321,17.9132,9143.6,0.0,False,245.75,-21.516,165.3
44022d,AUA96F,,,1776236341,58.80542,17.9132,9122.0,0.0,False,245.75,-21.585,165.55
44022d,AUA96F,,,1776236342,58.80763,17.9132,9100.4,0.0,False,245.75,-21.654,165.8
44022d,AUA96F,,,1776236343,58.80984,17.9132,9078.7,0.0,False,245.75,-21.723,166.06
44022d,AUA96F,,,1776236344,58.81205,17.9132,9056.9,0.0,False,245.75,-21.793,166.31
44022d,AUA96F,,,1776236345,58.81426,17.9132,9035.0,0.0,False,245.75,-21.864,166.57
44022d,AUA96F,,,1776236346,58.81647,17.9132,9013.1,0.0,False,245.75,-21.935,166.83
44022d,AUA96F,,,1776236347,58.81868,17.9132,8991.1,0.0,False,245.75,-22.006,167.08
44022d,AUA96F,,,1776236348,58.82089,17.9132,8969.0,0.0,False,245.75,-22.078,167.34
44022d,AUA96F,,,1776236349,58.8231,17.9132,8946.8,0.0,False,245.75,-22.151,167.6
44022d,AUA96F,,,1776236350,58.82531,17.9132,8924.6,0.0,False,245.75,-22.224,167.86
44022d,AUA96F,,,1776236351,58.82752,17.9132,8902.3,0.0,False,245.75,-22.298,168.13
44022d,AUA96F,,,1776236352,58.829731,17.9132,8879.9,0.0,False,245.75,-22.372,168.39
44022d,AUA96F,,,1776236353,58.831941,17.9132,8857.5,0.0,False,245.75,-22.447,168.65
44022d,AUA96F,,,1776236354,58.834151,17.9132,8835.0,0.0,False,245.75,-22.522,168.92
44022d,AUA96F,,,1776236355,58.836361,17.9132,8812.4,0.0,False,245.75,-22.598,169.19
44022d,AUA96F,,,1776236356,58.838571,17.9132,8789.7,0.0,False,245.75,-22.675,169.45
44022d,AUA96F,,,1776236357,58.840781,17.9132,8766.9,0.0,False,245.75,-22.752,169.72
44022d,AUA96F,,,1776236358,58.842991,17.9132,8744.1,0.0,False,245.75,-22.829,169.99
44022d,AUA96F,,,1776236359,58.845201,17.9132,8721.2,0.0,False,245.75,-22.908,170.26
44022d,AUA96F,,,1776236360,58.847411,17.9132,8698.2,0.0,False,245.75,-22.987,170.54
44022d,AUA96F,,,1776236361,58.849621,17.9132,8675.2,0.0,False,245.75,-23.066,170.81
44022d,AUA96F,,,1776236362,58.851831,17.9132,8652.0,0.0,False,245.75,-23.146,171.08
44022d,AUA96F,,,1776236363,58.854041,17.9132,8628.8,0.0,False,245.75,-23.227,171.36
44022d,AUA96F,,,1776236364,58.856244,17.9132,8605.9,0.0,False,244.96,-22.926,170.62
