callsign,icao24,entry,node,lat,lon,alt_m,velocity_ms,heading,vertrate,dist_to_entry_nm,crossing_time
SAS31A,4acb58,N,9,60.26499938964844,18.43742633688039,3802.38,161.6214068381795,189.34239401161017,-4.8768,6.059409373889555,1776356521.27265
NSZ2616,4aca83,E,66,59.666656494140625,19.127288818359375,4511.04,193.2036889499214,254.55755339993044,-11.05408,4.517797981372605,1776353233.4053466
SAS739,4cafd7,E,66,59.19694286281779,19.129849137931036,5242.56,205.62320888160303,292.9727213308287,-15.93088,32.71967544917401,1776355329.9425135
SAS80D,4cafcd,S,160,58.80469370696504,17.876678466796875,4732.02,152.33797866480168,20.14841414028783,-8.45312,1.1572688900743155,1776355742.0
SAS2114,4cac7a,S,160,58.804962158203125,17.86864249936996,4290.06,155.07649646854674,37.85831336366837,-9.7536,1.406005143079816,1776356145.0
SAS1408,4ac9e7,S,160,58.80409240722656,17.863060735887096,4541.52,164.9312598804234,42.59827345797847,-5.20192,1.5703607529062007,1776354833.0
TAP782,4951d4,S,160,58.80408852787341,17.791259765625,4655.820000000001,177.60913680674312,12.546808267627165,-11.704320000000001,3.7969080470684125,1776353879.0
SAS094,4ab561,S,160,58.80400085449219,18.140642719884074,3467.1000000000004,136.46736188433917,2.5927546402003396,-4.55168,7.0758361249092845,1776355675.0
FRO684,459a65,S,160,58.80500793457031,17.324907856602824,4198.62,166.94718425957225,34.32666110194328,-7.80288,18.297342112934547,1776356088.0
THY8WZ,4bab22,S,160,59.327894307799255,17.843406940328663,1699.26,110.71069150346577,9.900020183153908,-6.502400000000001,31.708229618679002,1776353220.0
SERMT,4ac9b4,S,160,58.847991943359375,16.6981201171875,3962.4,179.65810488098376,36.14799590061057,0.0,37.870154459023624,1776353722.9920888
BLX983P,4ac9c6,W,45,59.68127234507415,16.699881718076508,4267.2,159.69737194672504,45.39153681759074,-9.10336,9.914347955781016,1776356778.2007482
SAS884,4ac9e5,W,45,59.66340637207031,16.699951171875,3977.6400000000003,154.80320059881083,110.42233302472344,-9.10336,10.987026141262934,1776353747.1402206
JON53,4ab555,W,45,59.62239074707031,16.899810791015625,3108.96,135.86094957378415,109.464103627228,-4.55168,14.742515287706157,1776353220.0
