icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
459a65,FRO684,,,1776356220,58.801,17.912509,-13474.7,0.0,False,39.82,10.693,73.89
459a65,FRO684,,,1776356221,58.801,17.911817,-13464.0,270.0,False,39.83,10.687,73.89
459a65,FRO684,,,1776356222,58.801,17.911125,-13453.3,270.0,False,39.85,10.681,73.89
459a65,FRO684,,,1776356223,58.801,17.910433,-13442.7,270.0,False,39.87,10.675,73.89
459a65,FRO684,,,1776356224,58.801,17.909741,-13432.0,270.0,False,39.89,10.669,73.89
459a65,FRO684,,,1776356225,58.801,17.909048,-13421.3,270.0,False,39.9,10.663,73.89
459a65,FRO684,,,1776356226,58.801,17.908355,-13410.7,270.0,False,39.92,10.657,73.89
459a65,FRO684,,,1776356227,58.801,17.907661,-13400.0,270.0,False,39.94,10.651,73.89
459a65,FRO684,,,1776356228,58.801,17.906968,-13389.4,270.0,False,39.96,10.645,73.89
459a65,FRO684,,,1776356229,58.801,17.906274,-13378.7,270.0,False,39.97,10.639,73.89
459a65,FRO684,,,1776356230,58.801,17.905579,-13368.1,270.0,False,39.99,10.633,73.89
459a65,FRO684,,,1776356231,58.801,17.904885,-13357.5,270.0,False,40.01,10.628,73.89
459a65,FRO684,,,1776356232,58.801,17.90419,-13346.9,270.0,False,40.03,10.622,73.89
459a65,FRO684,,,1776356233,58.801,17.903495,-13336.2,270.0,False,40.05,10.616,73.89
459a65,FRO684,,,1776356234,58.801,17.902799,-13325.6,270.0,False,40.06,10.61,73.89
459a65,FRO684,,,1776356235,58.801,17.902103,-13315.0,270.0,False,40.08,10.604,73.89
459a65,FRO684,,,1776356236,58.801,17.901407,-13304.4,270.0,False,40.1,10.598,73.89
459a65,FRO684,,,1776356237,58.801,17.900711,-13293.8,270.0,False,40.12,10.592,73.89
459a65,FRO684,,,1776356238,58.801,17.900014,-13283.3,270.0,False,40.13,10.586,73.89
459a65,FRO684,,,1776356239,58.801,17.899317,-13272.7,270.0,False,40.15,10.581,73.89
459a65,FRO684,,,1776356240,58.801,17.898619,-13262.1,270.0,False,40.17,10.575,73.89
459a65,FRO684,,,1776356241,58.801,17.897922,-13251.5,270.0,False,40.19,10.569,73.89
459a65,FRO684,,,1776356242,58.801,17.897224,-13241.0,270.0,False,40.2,10.563,73.89
459a65,FRO684,,,1776356243,58.801,17.896525,-13230.4,270.0,False,40.22,10.557,73.89
459a65,FRO684,,,1776356244,58.801,17.895827,-13219.9,270.0,False,40.24,10.551,73.89
459a65,FRO684,,,1776356245,58.801,17.895128,-13209.3,270.0,False,40.26,10.546,73.89
459a65,FRO684,,,1776356246,58.801,17.894429,-13198.8,270.0,False,40.28,10.54,73.89
459a65,FRO684,,,1776356247,58.801,17.893729,-13188.2,270.0,False,40.29,10.534,73.89
459a65,FRO684,,,1776356248,58.801,17.893029,-13177.7,270.0,False,40.31,10.528,73.89
459a65,FRO684,,,1776356249,58.801,17.892329,-13167.2,270.0,False,40.33,10.522,73.89
459a65,FRO684,,,1776356250,58.801,17.891629,-13156.7,270.0,False,40.35,10.517,73.89
459a65,FRO684,,,1776356251,58.801,17.890928,-13146.2,270.0,False,40.36,10.511,73.89
459a65,FRO684,,,1776356252,58.801,17.890227,-13135.7,270.0,False,40.38,10.505,73.89
459a65,FRO684,,,1776356253,58.801,17.889526,-13125.2,270.0,False,40.4,10.499,73.89
459a65,FRO684,,,1776356254,58.801,17.888824,-13114.7,270.0,False,40.42,10.493,73.89
459a65,FRO684,,,1776356255,58.801,17.888122,-13104.2,270.0,False,40.43,10.488,73.89
459a65,FRO684,,,1776356256,58.801,17.88742,-13093.7,270.0,False,40.45,10.482,73.89
459a65,FRO684,,,1776356257,58.801,17.886717,-13083.2,270.0,False,40.47,10.476,73.89
459a65,FRO684,,,1776356258,58.801,17.886014,-13072.7,270.0,False,40.49,10.47,73.89
459a65,FRO684,,,1776356259,58.801,17.885311,-13062.3,270.0,False,40.51,10.464,73.89
459a65,FRO684,,,1776356260,58.801,17.884607,-13051.8,270.0,False,40.52,10.459,73.89
459a65,FRO684,,,1776356261,58.801,17.883904,-13041.4,270.0,False,40.54,10.453,73.89
459a65,FRO684,,,1776356262,58.801,17.883199,-13030.9,270.0,False,40.56,10.447,73.89
459a65,FRO684,,,1776356263,58.801,17.882495,-13020.5,270.0,False,40.58,10.441,73.89
459a65,FRO684,,,1776356264,58.801,17.88179,-13010.0,270.0,False,40.59,10.436,73.89
459a65,FRO684,,,1776356265,58.801,17.881085,-12999.6,270.0,False,40.61,10.43,73.89
459a65,FRO684,,,1776356266,58.801,17.88038,-12989.2,270.0,False,40.63,10.424,73.89
459a65,FRO684,,,1776356267,58.801,17.879674,-12978.8,270.0,False,40.65,10.418,73.89
459a65,FRO684,,,1776356268,58.801,17.878968,-12968.4,270.0,False,40.67,10.413,73.89
459a65,FRO684,,,1776356269,58.801,17.878262,-12958.0,270.0,False,40.68,10.407,73.89
459a65,FRO684,,,1776356270,58.801,17.877555,-12947.6,270.0,False,40.7,10.401,73.89
459a65,FRO684,,,1776356271,58.801,17.876848,-12937.2,270.0,False,40.72,10.395,73.89
459a65,FRO684,,,1776356272,58.801,17.876141,-12926.8,270.0,False,40.74,10.39,73.89
459a65,FRO684,,,1776356273,58.801,17.875444,-12916.4,270.0,False,40.14,10.387,73.89
459a65,FRO684,,,1776356274,58.801,17.874747,-12906.0,270.0,False,40.16,10.381,73.89
459a65,FRO684,,,1776356275,58.801,17.87405,-12895.6,270.0,False,40.17,10.375,73.89
459a65,FRO684,,,1776356276,58.801,17.873352,-12885.3,270.0,False,40.19,10.37,73.89
459a65,FRO684,,,1776356277,58.801,17.872654,-12874.9,270.0,False,40.21,10.364,73.89
459a65,FRO684,,,1776356278,58.801,17.871955,-12864.5,270.0,False,40.23,10.358,73.89
459a65,FRO684,,,1776356279,58.801,17.871257,-12854.2,270.0,False,40.25,10.353,73.89
459a65,FRO684,,,1776356280,58.801,17.870558,-12843.8,270.0,False,40.26,10.347,73.89
459a65,FRO684,,,1776356281,58.801,17.869858,-12833.5,270.0,False,40.28,10.341,73.89
459a65,FRO684,,,1776356282,58.801,17.869159,-12823.2,270.0,False,40.3,10.336,73.89
459a65,FRO684,,,1776356283,58.801,17.868459,-12812.8,270.0,False,40.32,10.33,73.89
459a65,FRO684,,,1776356284,58.801,17.867758,-12802.5,270.0,False,40.33,10.324,73.89
459a65,FRO684,,,1776356285,58.801,17.867058,-12792.2,270.0,False,40.35,10.319,73.89
459a65,FRO684,,,1776356286,58.801,17.866357,-12781.9,270.0,False,40.37,10.313,73.89
459a65,FRO684,,,1776356287,58.801,17.865656,-12771.6,270.0,False,40.39,10.307,73.89
