icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4ab555,JON53,,,1776353160,59.845465,16.70247,6797.3,0.0,False,159.84,-9.376,122.64
4ab555,JON53,,,1776353161,59.84453,16.704641,6788.0,130.6,False,159.84,-9.379,122.72
4ab555,JON53,,,1776353162,59.843595,16.706811,6778.6,130.6,False,159.84,-9.382,122.8
4ab555,JON53,,,1776353163,59.84266,16.708981,6769.2,130.6,False,159.84,-9.385,122.88
4ab555,JON53,,,1776353164,59.841726,16.711152,6759.8,130.6,False,159.84,-9.388,122.96
4ab555,JON53,,,1776353165,59.840768,16.713376,6750.4,130.6,False,163.8,-9.398,122.23
4ab555,JON53,,,1776353166,59.839809,16.7156,6741.0,130.6,False,163.8,-9.4,122.31
4ab555,JON53,,,1776353167,59.838851,16.717824,6731.6,130.6,False,163.8,-9.403,122.39
4ab555,JON53,,,1776353168,59.837893,16.720049,6722.2,130.6,False,163.8,-9.405,122.47
4ab555,JON53,,,1776353169,59.836935,16.722273,6712.8,130.6,False,163.8,-9.408,122.54
4ab555,JON53,,,1776353170,59.835977,16.724497,6703.4,130.6,False,163.8,-9.41,122.62
4ab555,JON53,,,1776353171,59.835019,16.726721,6694.0,130.6,False,163.8,-9.413,122.7
4ab555,JON53,,,1776353172,59.834061,16.728945,6684.6,130.6,False,163.8,-9.416,122.78
4ab555,JON53,,,1776353173,59.833103,16.731169,6675.1,130.6,False,163.8,-9.418,122.86
4ab555,JON53,,,1776353174,59.832145,16.733394,6665.7,130.6,False,163.8,-9.421,122.93
4ab555,JON53,,,1776353175,59.831187,16.735618,6656.3,130.6,False,163.8,-9.424,123.01
4ab555,JON53,,,1776353176,59.830229,16.737842,6646.9,130.6,False,163.8,-9.427,123.09
4ab555,JON53,,,1776353177,59.829271,16.740066,6637.4,130.6,False,163.8,-9.429,123.17
4ab555,JON53,,,1776353178,59.828313,16.74229,6628.0,130.6,False,163.8,-9.432,123.25
4ab555,JON53,,,1776353179,59.827355,16.744514,6618.6,130.6,False,163.8,-9.435,123.33
4ab555,JON53,,,1776353180,59.826397,16.746739,6609.1,130.6,False,163.8,-9.438,123.4
4ab555,JON53,,,1776353181,59.825438,16.748963,6599.7,130.6,False,163.8,-9.441,123.48
4ab555,JON53,,,1776353182,59.82448,16.751187,6590.3,130.6,False,163.8,-9.443,123.56
4ab555,JON53,,,1776353183,59.823522,16.753411,6580.8,130.6,False,163.8,-9.446,123.64
4ab555,JON53,,,1776353184,59.822564,16.755635,6571.4,130.6,False,163.8,-9.449,123.72
4ab555,JON53,,,1776353185,59.821606,16.75786,6561.9,130.6,False,163.8,-9.452,123.8
4ab555,JON53,,,1776353186,59.820648,16.760084,6552.5,130.6,False,163.8,-9.455,123.88
4ab555,JON53,,,1776353187,59.81969,16.762308,6543.0,130.6,False,163.8,-9.458,123.96
4ab555,JON53,,,1776353188,59.818732,16.764532,6533.5,130.6,False,163.8,-9.461,124.03
4ab555,JON53,,,1776353189,59.817774,16.766756,6524.1,130.6,False,163.8,-9.464,124.11
4ab555,JON53,,,1776353190,59.816816,16.76898,6514.6,130.6,False,163.8,-9.467,124.19
4ab555,JON53,,,1776353191,59.815858,16.771205,6505.1,130.6,False,163.8,-9.47,124.27
4ab555,JON53,,,1776353192,59.8149,16.773429,6495.7,130.6,False,163.8,-9.473,124.35
4ab555,JON53,,,1776353193,59.813942,16.775653,6486.2,130.6,False,163.8,-9.476,124.43
4ab555,JON53,,,1776353194,59.812984,16.777877,6476.7,130.6,False,163.8,-9.479,124.51
4ab555,JON53,,,1776353195,59.812026,16.780101,6467.2,130.6,False,163.8,-9.483,124.59
4ab555,JON53,,,1776353196,59.811067,16.782326,6457.7,130.6,False,163.8,-9.486,124.67
4ab555,JON53,,,1776353197,59.810109,16.78455,6448.2,130.6,False,163.8,-9.489,124.75
4ab555,JON53,,,1776353198,59.809151,16.786774,6438.8,130.6,False,163.8,-9.492,124.83
4ab555,JON53,,,1776353199,59.808193,16.788998,6429.3,130.6,False,163.8,-9.495,124.91
4ab555,JON53,,,1776353200,59.807235,16.791222,6419.8,130.6,False,163.8,-9.498,124.99
4ab555,JON53,,,1776353201,59.806277,16.793446,6410.3,130.6,False,163.8,-9.502,125.07
4ab555,JON53,,,1776353202,59.805319,16.795671,6400.8,130.6,False,163.8,-9.505,125.15
4ab555,JON53,,,1776353203,59.804361,16.797895,6391.2,130.6,False,163.8,-9.508,125.23
4ab555,JON53,,,1776353204,59.803403,16.800119,6381.7,130.6,False,163.8,-9.512,125.31
4ab555,JON53,,,1776353205,59.802445,16.802343,6372.2,130.6,False,163.8,-9.515,125.39
4ab555,JON53,,,1776353206,59.801487,16.804567,6362.7,130.6,False,163.8,-9.518,125.47
4ab555,JON53,,,1776353207,59.800529,16.806791,6353.2,130.6,False,163.8,-9.522,125.55
4ab555,JON53,,,1776353208,59.799571,16.809016,6343.7,130.6,False,163.8,-9.525,125.63
4ab555,JON53,,,1776353209,59.798613,16.81124,6334.1,130.6,False,163.8,-9.528,125.71
4ab555,JON53,,,1776353210,59.797655,16.813464,6324.6,130.6,False,163.8,-9.532,125.79
4ab555,JON53,,,1776353211,59.796697,16.815688,6315.1,130.6,False,163.8,-9.535,125.87
4ab555,JON53,,,1776353212,59.795738,16.817912,6305.5,130.6,False,163.8,-9.539,125.95
4ab555,JON53,,,1776353213,59.79478,16.820137,6296.0,130.6,False,163.8,-9.542,126.03
4ab555,JON53,,,1776353214,59.793822,16.822361,6286.4,130.6,False,163.8,-9.546,126.11
4ab555,JON53,,,1776353215,59.792864,16.824585,6276.9,130.6,False,163.8,-9.549,126.19
4ab555,JON53,,,1776353216,59.791906,16.826809,6267.3,130.6,False,163.8,-9.553,126.27
4ab555,JON53,,,1776353217,59.790948,16.829033,6257.8,130.6,False,163.8,-9.556,126.35
4ab555,JON53,,,1776353218,59.78999,16.831257,6248.2,130.6,False,163.8,-9.56,126.43
4ab555,JON53,,,1776353219,59.789032,16.833482,6238.6,130.6,False,163.8,-9.564,126.51
4ab555,JON53,,,1776353220,59.788074,16.835706,6229.1,130.6,False,163.8,-9.567,126.59
4ab555,JON53,,,1776353221,59.787116,16.83793,6219.5,130.6,False,163.8,-9.571,126.67
4ab555,JON53,,,1776353222,59.786158,16.840154,6209.9,130.6,False,163.8,-9.575,126.75
4ab555,JON53,,,1776353223,59.7852,16.842378,6200.4,130.6,False,163.8,-9.578,126.83
4ab555,JON53,,,1776353224,59.784242,16.844602,6190.8,130.6,False,163.8,-9.582,126.91
4ab555,JON53,,,1776353225,59.783284,16.846827,6181.2,130.6,False,163.8,-9.586,127.0
4ab555,JON53,,,1776353226,59.782326,16.849051,6171.6,130.6,False,163.8,-9.589,127.08
4ab555,JON53,,,1776353227,59.781367,16.851275,6162.0,130.6,False,163.8,-9.593,127.16
4ab555,JON53,,,1776353228,59.780409,16.853499,6152.4,130.6,False,163.8,-9.597,127.24
4ab555,JON53,,,1776353229,59.779451,16.855723,6142.8,130.6,False,163.8,-9.601,127.32
4ab555,JON53,,,1776353230,59.778493,16.857948,6133.2,130.6,False,163.8,-9.605,127.4
4ab555,JON53,,,1776353231,59.777535,16.860172,6123.6,130.6,False,163.8,-9.609,127.48
4ab555,JON53,,,1776353232,59.776577,16.862396,6114.0,130.6,False,163.8,-9.612,127.56
4ab555,JON53,,,1776353233,59.775619,16.86462,6104.4,130.6,False,163.8,-9.616,127.65
4ab555,JON53,,,1776353234,59.774661,16.866844,6094.7,130.6,False,163.8,-9.62,127.73
4ab555,JON53,,,1776353235,59.773703,16.869068,6085.1,130.6,False,163.8,-9.624,127.81
4ab555,JON53,,,1776353236,59.772745,16.871293,6075.5,130.6,False,163.8,-9.628,127.89
4ab555,JON53,,,1776353237,59.771787,16.873517,6065.9,130.5,False,163.8,-9.632,127.97
4ab555,JON53,,,1776353238,59.77083,16.875737,6056.2,130.5,False,163.53,-9.636,128.05
4ab555,JON53,,,1776353239,59.769874,16.877958,6046.6,130.5,False,163.53,-9.64,128.13
4ab555,JON53,,,1776353240,59.768917,16.880178,6036.9,130.5,False,163.53,-9.644,128.21
4ab555,JON53,,,1776353241,59.767961,16.882399,6027.3,130.5,False,163.53,-9.648,128.29
4ab555,JON53,,,1776353242,59.767004,16.88462,6017.6,130.5,False,163.53,-9.652,128.37
4ab555,JON53,,,1776353243,59.766048,16.88684,6008.0,130.5,False,163.53,-9.656,128.46
4ab555,JON53,,,1776353244,59.765091,16.889061,5998.3,130.5,False,163.53,-9.66,128.54
4ab555,JON53,,,1776353245,59.764135,16.891281,5988.7,130.5,False,163.53,-9.664,128.62
4ab555,JON53,,,1776353246,59.763178,16.893502,5979.0,130.5,False,163.53,-9.669,128.7
4ab555,JON53,,,1776353247,59.762222,16.895722,5969.3,130.5,False,163.53,-9.673,128.79
4ab555,JON53,,,1776353248,59.761265,16.897943,5959.6,130.5,False,163.53,-9.677,128.87
4ab555,JON53,,,1776353249,59.760292,16.900202,5950.0,130.5,False,166.41,-9.666,128.2
4ab555,JON53,,,1776353250,59.759319,16.902462,5940.3,130.5,False,166.41,-9.67,128.28
4ab555,JON53,,,1776353251,59.758345,16.904722,5930.6,130.5,False,166.41,-9.674,128.36
4ab555,JON53,,,1776353252,59.757372,16.906981,5921.0,130.5,False,166.41,-9.678,128.44
4ab555,JON53,,,1776353253,59.756399,16.909241,5911.3,130.5,False,166.41,-9.682,128.53
4ab555,JON53,,,1776353254,59.755425,16.911501,5901.6,130.5,False,166.41,-9.686,128.61
4ab555,JON53,,,1776353255,59.754452,16.91376,5891.9,130.5,False,166.41,-9.69,128.69
4ab555,JON53,,,1776353256,59.753479,16.91602,5882.2,130.5,False,166.41,-9.694,128.77
4ab555,JON53,,,1776353257,59.752505,16.91828,5872.5,130.5,False,166.41,-9.698,128.85
4ab555,JON53,,,1776353258,59.751532,16.920539,5862.8,130.5,False,166.41,-9.702,128.94
4ab555,JON53,,,1776353259,59.750559,16.922799,5853.1,130.5,False,166.41,-9.707,129.02
4ab555,JON53,,,1776353260,59.749585,16.925059,5843.4,130.5,False,166.41,-9.711,129.1
4ab555,JON53,,,1776353261,59.748612,16.927318,5833.7,130.5,False,166.41,-9.715,129.18
4ab555,JON53,,,1776353262,59.747639,16.929578,5823.9,130.5,False,166.41,-9.719,129.27
4ab555,JON53,,,1776353263,59.746665,16.931838,5814.2,130.5,False,166.41,-9.723,129.35
4ab555,JON53,,,1776353264,59.745692,16.934097,5804.5,130.5,False,166.41,-9.727,129.43
4ab555,JON53,,,1776353265,59.744718,16.936357,5794.8,130.5,False,166.41,-9.732,129.52
4ab555,JON53,,,1776353266,59.743745,16.938616,5785.0,130.5,False,166.41,-9.736,129.6
4ab555,JON53,,,1776353267,59.742772,16.940876,5775.3,130.5,False,166.41,-9.74,129.68
4ab555,JON53,,,1776353268,59.741799,16.943135,5765.5,130.5,False,166.41,-9.744,129.77
4ab555,JON53,,,1776353269,59.740826,16.94539,5755.8,130.6,False,166.41,-9.749,129.85
4ab555,JON53,,,1776353270,59.739854,16.947645,5746.0,130.5,False,166.41,-9.753,129.93
4ab555,JON53,,,1776353271,59.738882,16.949899,5736.3,130.5,False,166.41,-9.757,130.02
4ab555,JON53,,,1776353272,59.73791,16.952154,5726.5,130.5,False,166.41,-9.762,130.1
4ab555,JON53,,,1776353273,59.736938,16.954409,5716.8,130.5,False,166.41,-9.766,130.18
4ab555,JON53,,,1776353274,59.735966,16.956663,5707.0,130.5,False,166.41,-9.77,130.27
4ab555,JON53,,,1776353275,59.734994,16.958918,5697.2,130.5,False,166.41,-9.775,130.35
4ab555,JON53,,,1776353276,59.734022,16.961173,5687.4,130.5,False,166.41,-9.779,130.43
4ab555,JON53,,,1776353277,59.733049,16.963427,5677.7,130.5,False,166.41,-9.784,130.52
4ab555,JON53,,,1776353278,59.732077,16.965682,5667.9,130.5,False,166.41,-9.788,130.6
4ab555,JON53,,,1776353279,59.731105,16.967937,5658.1,130.5,False,166.41,-9.793,130.68
4ab555,JON53,,,1776353280,59.730133,16.970191,5648.3,130.5,False,166.41,-9.797,130.77
4ab555,JON53,,,1776353281,59.729161,16.972446,5638.5,130.5,False,166.41,-9.802,130.85
4ab555,JON53,,,1776353282,59.728189,16.9747,5628.7,130.5,False,166.41,-9.806,130.94
4ab555,JON53,,,1776353283,59.727217,16.976955,5618.9,130.5,False,166.41,-9.811,131.02
4ab555,JON53,,,1776353284,59.726245,16.97921,5609.0,130.5,False,166.41,-9.816,131.1
4ab555,JON53,,,1776353285,59.725272,16.981464,5599.2,130.5,False,166.41,-9.82,131.19
4ab555,JON53,,,1776353286,59.7243,16.983719,5589.4,130.5,False,166.41,-9.825,131.27
4ab555,JON53,,,1776353287,59.723328,16.985974,5579.6,130.5,False,166.41,-9.83,131.36
4ab555,JON53,,,1776353288,59.722356,16.988228,5569.7,130.5,False,166.41,-9.834,131.44
4ab555,JON53,,,1776353289,59.721384,16.990483,5559.9,130.5,False,166.41,-9.839,131.53
4ab555,JON53,,,1776353290,59.720412,16.992738,5550.0,130.5,False,166.41,-9.844,131.61
4ab555,JON53,,,1776353291,59.71944,16.994992,5540.2,130.5,False,166.41,-9.849,131.7
4ab555,JON53,,,1776353292,59.718468,16.997247,5530.3,130.5,False,166.41,-9.853,131.78
4ab555,JON53,,,1776353293,59.717495,16.999502,5520.5,130.5,False,166.41,-9.858,131.87
4ab555,JON53,,,1776353294,59.716523,17.001756,5510.6,130.5,False,166.41,-9.863,131.95
4ab555,JON53,,,1776353295,59.715551,17.004011,5500.8,130.5,False,166.41,-9.868,132.04
4ab555,JON53,,,1776353296,59.714579,17.006266,5490.9,130.5,False,166.41,-9.873,132.12
4ab555,JON53,,,1776353297,59.713607,17.00852,5481.0,130.5,False,166.41,-9.878,132.21
4ab555,JON53,,,1776353298,59.712635,17.010775,5471.1,130.5,False,166.41,-9.882,132.29
4ab555,JON53,,,1776353299,59.711663,17.01303,5461.2,130.5,False,166.41,-9.887,132.38
4ab555,JON53,,,1776353300,59.710691,17.015284,5451.3,130.5,False,166.41,-9.892,132.46
4ab555,JON53,,,1776353301,59.709718,17.017539,5441.4,130.5,False,166.41,-9.897,132.55
4ab555,JON53,,,1776353302,59.708746,17.019794,5431.5,130.5,False,166.41,-9.902,132.63
