callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
BR301,4aec63,B738,B738W26,99.2,3600.0,16.3,39.0,229
ASL82Y,502d79,BCS3,A319-131,431.54,788.0,88.5,369.0,787
RYR8743,4ca92b,B38M,B738W26,582.32,1298.0,142.0,347.0,1297
NSZ5DM,4ab825,B738,B738W26,1183.8,2108.0,236.8,327.0,2107
FIN1336,461fa3,A321,A321-131,1064.71,1516.0,174.9,370.0,1515
RYR736K,48c226,B738,B738W26,809.73,2256.0,197.2,236.0,2119
RYR89YN,4d2220,B738,B738W26,383.01,3600.0,85.3,114.0,1031
WZZ1ZG,471d5c,B738,B738W26,695.05,1451.0,155.8,297.0,1450
EWG6DK,4d2412,A319,A319-131,220.18,752.0,54.0,82.0,751
SAS184,4ab5d5,B738,B738W26,1463.27,3448.0,211.2,160.0,3291
SVF634,4a822a,GLF5,B738W26,1093.87,1837.0,213.6,317.0,1836
NSZ6FY,4aca15,B738,B738W26,913.64,2235.0,207.9,254.0,2090
SWE42B,4acac3,PC24,EMB-505,112.91,1158.0,86.2,189.0,995
YLEVA,502cdc,P208,B738W26,236.78,1950.0,7.8,18.0,335
SAS488,4cad94,A20N,A320-271N,495.69,1717.0,146.6,188.0,1569
LOT4CE,48ada3,E195,EMB-195STD,334.18,1351.0,84.0,114.0,1191
FNF136,46788d,LJ35,B738W26,87.71,357.0,20.7,42.0,287
BEL4DQ,44ce79,A319,A319-131,118.17,740.0,21.1,38.0,348
NOZ8WQ,47a31a,B738,B738W26,1835.52,2319.0,217.9,178.0,2179
NSZ5352,4aca05,B738,B738W26,1219.8,2714.0,253.7,257.0,2573
SAS461,45ac50,A319,A319-131,1130.09,1839.0,212.7,309.0,1839
SAS31A,4acaa3,A20N,A320-271N,836.32,2140.0,231.8,245.0,1990
SAS80D,4cacb4,A20N,A320-271N,327.45,1482.0,106.8,157.0,1334
SVR167,152047,A321,A321-131,1232.41,1718.0,223.3,334.0,1718
4ac82a,4ac82a,HA4T,B738W26,223.33,402.0,23.4,25.0,301
SAS410,4ac9f0,A20N,A320-271N,1234.06,2737.0,252.7,259.0,2589
BTI658,502d43,BCS3,A319-131,150.83,931.0,30.8,54.0,509
SAS739,4ca14e,B738,B738W26,192.64,897.0,57.4,90.0,749
SAS366,4acb43,B738,B738W26,3.91,18.0,1.6,118.0,18
DLH6VX,3c6595,A319,A319-131,171.15,741.0,35.9,59.0,589
SAS029,4ca660,CRJ9,EMB-190LR,461.13,1563.0,124.8,117.0,1421
NSZ2616,4aca88,B38M,B738W26,773.09,1967.0,174.5,201.0,1822
LNYNS,47c4e6,TL30,B738W26,48.8,242.0,1.7,16.0,70
