icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4ae152,SEXJR,,,1776870720,59.845592,16.7003,4923.2,0.0,False,89.87,-2.786,55.97
4ae152,SEXJR,,,1776870721,59.844784,16.7003,4920.4,180.0,False,89.87,-2.787,55.98
4ae152,SEXJR,,,1776870722,59.843975,16.7003,4917.7,180.0,False,89.87,-2.789,55.99
4ae152,SEXJR,,,1776870723,59.843167,16.7003,4914.9,180.0,False,89.87,-2.79,56.0
4ae152,SEXJR,,,1776870724,59.842359,16.7003,4912.1,180.0,False,89.87,-2.791,56.01
4ae152,SEXJR,,,1776870725,59.841551,16.7003,4909.3,180.0,False,89.87,-2.793,56.02
4ae152,SEXJR,,,1776870726,59.840742,16.7003,4906.5,180.0,False,89.87,-2.794,56.03
4ae152,SEXJR,,,1776870727,59.839934,16.7003,4903.7,180.0,False,89.87,-2.795,56.04
4ae152,SEXJR,,,1776870728,59.839126,16.7003,4900.9,180.0,False,89.87,-2.797,56.05
4ae152,SEXJR,,,1776870729,59.838318,16.7003,4898.1,180.0,False,89.87,-2.798,56.06
4ae152,SEXJR,,,1776870730,59.837509,16.7003,4895.3,180.0,False,89.87,-2.799,56.07
4ae152,SEXJR,,,1776870731,59.836701,16.7003,4892.5,180.0,False,89.87,-2.801,56.08
4ae152,SEXJR,,,1776870732,59.835893,16.7003,4889.7,180.0,False,89.87,-2.802,56.09
4ae152,SEXJR,,,1776870733,59.835085,16.7003,4886.9,180.0,False,89.87,-2.803,56.1
4ae152,SEXJR,,,1776870734,59.834276,16.7003,4884.1,180.0,False,89.87,-2.805,56.11
4ae152,SEXJR,,,1776870735,59.833468,16.7003,4881.3,180.0,False,89.87,-2.806,56.12
4ae152,SEXJR,,,1776870736,59.83266,16.7003,4878.5,180.0,False,89.87,-2.807,56.13
4ae152,SEXJR,,,1776870737,59.831852,16.7003,4875.7,180.0,False,89.87,-2.809,56.14
4ae152,SEXJR,,,1776870738,59.831043,16.7003,4872.9,180.0,False,89.87,-2.81,56.15
4ae152,SEXJR,,,1776870739,59.830235,16.7003,4870.0,180.0,False,89.87,-2.811,56.16
4ae152,SEXJR,,,1776870740,59.829427,16.7003,4867.2,180.0,False,89.87,-2.813,56.17
4ae152,SEXJR,,,1776870741,59.828619,16.7003,4864.4,180.0,False,89.87,-2.814,56.18
4ae152,SEXJR,,,1776870742,59.82781,16.7003,4861.6,180.0,False,89.87,-2.815,56.19
4ae152,SEXJR,,,1776870743,59.827002,16.7003,4858.8,180.0,False,89.87,-2.817,56.2
4ae152,SEXJR,,,1776870744,59.826194,16.7003,4856.0,180.0,False,89.87,-2.818,56.22
4ae152,SEXJR,,,1776870745,59.825386,16.7003,4853.1,180.0,False,89.87,-2.819,56.23
4ae152,SEXJR,,,1776870746,59.824577,16.7003,4850.3,180.0,False,89.87,-2.821,56.24
4ae152,SEXJR,,,1776870747,59.823769,16.7003,4847.5,180.0,False,89.87,-2.822,56.25
