callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS46C,A20N,A320-271N,77.58,412.98,335.4,81.2,716,77.1
SAS035,A20N,A320-271N,79.53,358.71,279.18,77.8,731,77.0
NSZ44L,B738,B738W26,101.03,477.13,376.11,78.8,709,77.1
NSZ12U,B738,B738W26,106.32,431.01,324.69,75.3,738,77.1
SAS1017,A20N,A320-271N,83.33,415.51,332.18,79.9,762,77.0
NSZ4110,B738,B738W26,95.68,265.71,170.03,64.0,630,58.8
SEXJR,B738,B738W26,250.53,0.0,-250.53,0.0,1660,58.7
FIN5LQ,A321,A321-131,90.97,237.25,146.28,61.7,568,52.5
CCA911,A359,A350-941,175.8,87.82,-87.98,-100.2,619,52.5
RYR82,B738,B738W26,84.37,333.19,248.82,74.7,549,52.5
THY8WZ,B738,B738W26,100.79,480.2,379.41,79.0,683,68.2
BLX248,B788,B788RR70,144.42,303.89,159.47,52.5,737,68.2
DLH2PM,A320,A320-232,103.85,197.72,93.87,47.5,739,68.2
EWG6RY,B738,B738W26,107.28,302.6,195.32,64.5,722,68.2
