callsign,orig_fuel_kg,cdo_fuel_kg,saving_kg,saving_pct,duration_s,distance_nm
SAS46C,412.98,77.58,335.4,81.2,716,77.1
SAS035,358.71,79.53,279.18,77.8,731,77.0
NSZ44L,477.13,101.03,376.11,78.8,709,77.1
NSZ12U,431.01,106.32,324.69,75.3,738,77.1
SAS1017,415.51,83.33,332.18,79.9,762,77.0
NSZ4110,265.71,95.68,170.03,64.0,630,58.8
SEXJR,0.0,250.53,-250.53,0.0,1660,58.7
FIN5LQ,237.25,90.97,146.28,61.7,568,52.5
CCA911,87.82,175.8,-87.98,-100.2,619,52.5
RYR82,333.19,84.37,248.82,74.7,549,52.5
THY8WZ,480.2,100.79,379.41,79.0,683,68.2
BLX248,303.89,144.42,159.47,52.5,737,68.2
DLH2PM,197.72,103.85,93.87,47.5,739,68.2
EWG6RY,302.6,107.28,195.32,64.5,722,68.2
