icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
47947c,NSZ3DA,,,1777280880,58.803617,17.9132,6567.4,0.0,False,290.98,-26.828,192.44
47947c,NSZ3DA,,,1777280881,58.80623,17.9132,6540.6,0.0,False,290.56,-26.775,192.44
47947c,NSZ3DA,,,1777280882,58.808839,17.9132,6513.9,0.0,False,290.15,-26.723,192.44
47947c,NSZ3DA,,,1777280883,58.811445,17.9132,6487.2,0.0,False,289.74,-26.671,192.44
47947c,NSZ3DA,,,1777280884,58.814047,17.9132,6460.6,0.0,False,289.34,-26.62,192.44
47947c,NSZ3DA,,,1777280885,58.816646,17.9132,6434.0,0.0,False,288.93,-26.569,192.44
47947c,NSZ3DA,,,1777280886,58.81924,17.9132,6407.5,0.0,False,288.53,-26.519,192.44
47947c,NSZ3DA,,,1777280887,58.821832,17.9132,6381.0,0.0,False,288.12,-26.469,192.44
47947c,NSZ3DA,,,1777280888,58.824419,17.9132,6354.6,0.0,False,287.72,-26.419,192.44
47947c,NSZ3DA,,,1777280889,58.827003,17.9132,6328.2,0.0,False,287.32,-26.37,192.44
47947c,NSZ3DA,,,1777280890,58.829583,17.9132,6301.9,0.0,False,286.93,-26.321,192.44
47947c,NSZ3DA,,,1777280891,58.83216,17.9132,6275.6,0.0,False,286.53,-26.273,192.44
47947c,NSZ3DA,,,1777280892,58.834734,17.9132,6249.4,0.0,False,286.13,-26.225,192.44
47947c,NSZ3DA,,,1777280893,58.837303,17.9132,6223.2,0.0,False,285.74,-26.177,192.44
47947c,NSZ3DA,,,1777280894,58.839869,17.9132,6197.1,0.0,False,285.35,-26.13,192.44
47947c,NSZ3DA,,,1777280895,58.842432,17.9132,6171.0,0.0,False,284.96,-26.083,192.44
47947c,NSZ3DA,,,1777280896,58.844991,17.9132,6145.0,0.0,False,284.57,-26.036,192.44
47947c,NSZ3DA,,,1777280897,58.847547,17.9132,6119.0,0.0,False,284.18,-25.99,192.44
47947c,NSZ3DA,,,1777280898,58.850099,17.9132,6093.0,0.0,False,283.79,-25.944,192.44
47947c,NSZ3DA,,,1777280899,58.852648,17.9132,6067.1,0.0,False,283.41,-25.899,192.44
47947c,NSZ3DA,,,1777280900,58.855193,17.9132,6041.3,0.0,False,283.02,-25.854,192.44
47947c,NSZ3DA,,,1777280901,58.857735,17.9132,6015.5,0.0,False,282.64,-25.809,192.44
47947c,NSZ3DA,,,1777280902,58.860273,17.9132,5989.7,0.0,False,282.26,-25.764,192.44
47947c,NSZ3DA,,,1777280903,58.862808,17.9132,5964.0,0.0,False,281.88,-25.72,192.44
47947c,NSZ3DA,,,1777280904,58.865349,17.9132,5938.2,0.0,False,282.51,-25.753,192.44
47947c,NSZ3DA,,,1777280905,58.867886,17.9132,5912.5,0.0,False,282.13,-25.708,192.44
47947c,NSZ3DA,,,1777280906,58.87042,17.9132,5886.9,0.0,False,281.75,-25.664,192.44
47947c,NSZ3DA,,,1777280907,58.87295,17.9132,5861.2,0.0,False,281.37,-25.621,192.44
47947c,NSZ3DA,,,1777280908,58.875479,17.9132,5835.7,0.0,False,281.15,-25.572,192.44
47947c,NSZ3DA,,,1777280909,58.878004,17.9132,5810.1,0.0,False,280.77,-25.529,192.44
47947c,NSZ3DA,,,1777280910,58.880526,17.9132,5784.7,0.0,False,280.39,-25.486,192.44
47947c,NSZ3DA,,,1777280911,58.883044,17.9132,5759.2,0.0,False,280.02,-25.444,192.44
47947c,NSZ3DA,,,1777280912,58.885559,17.9132,5733.8,0.0,False,279.65,-25.401,192.44
47947c,NSZ3DA,,,1777280913,58.88807,17.9132,5708.5,0.0,False,279.28,-25.359,192.44
47947c,NSZ3DA,,,1777280914,58.890579,17.9132,5683.1,0.0,False,278.91,-25.318,192.44
47947c,NSZ3DA,,,1777280915,58.893084,17.9132,5657.9,0.0,False,278.54,-25.276,192.44
47947c,NSZ3DA,,,1777280916,58.895585,17.9132,5632.6,0.0,False,278.17,-25.235,192.44
47947c,NSZ3DA,,,1777280917,58.898083,17.9132,5607.4,0.0,False,277.8,-25.194,192.44
47947c,NSZ3DA,,,1777280918,58.900579,17.9132,5582.3,0.0,False,277.44,-25.153,192.44
47947c,NSZ3DA,,,1777280919,58.90307,17.9132,5557.2,0.0,False,277.07,-25.113,192.44
47947c,NSZ3DA,,,1777280920,58.905559,17.9132,5532.1,0.0,False,276.71,-25.073,192.44
47947c,NSZ3DA,,,1777280921,58.908044,17.9132,5507.1,0.0,False,276.35,-25.033,192.44
47947c,NSZ3DA,,,1777280922,58.910526,17.9132,5482.1,0.0,False,275.99,-24.993,192.44
47947c,NSZ3DA,,,1777280923,58.913005,17.9132,5457.1,0.0,False,275.63,-24.953,192.44
47947c,NSZ3DA,,,1777280924,58.91548,17.9132,5432.2,0.0,False,275.27,-24.914,192.44
47947c,NSZ3DA,,,1777280925,58.917953,17.9132,5407.3,0.0,False,274.91,-24.875,192.44
47947c,NSZ3DA,,,1777280926,58.920422,17.9132,5382.5,0.0,False,274.56,-24.836,192.44
47947c,NSZ3DA,,,1777280927,58.922888,17.9132,5357.7,0.0,False,274.2,-24.797,192.44
47947c,NSZ3DA,,,1777280928,58.925351,17.9132,5332.9,0.0,False,273.85,-24.759,192.44
47947c,NSZ3DA,,,1777280929,58.92781,17.9132,5308.2,0.0,False,273.5,-24.721,192.44
47947c,NSZ3DA,,,1777280930,58.930267,17.9132,5283.5,0.0,False,273.15,-24.683,192.44
47947c,NSZ3DA,,,1777280931,58.93272,17.9132,5258.9,0.0,False,272.8,-24.645,192.44
47947c,NSZ3DA,,,1777280932,58.93517,17.9132,5234.3,0.0,False,272.45,-24.608,192.44
47947c,NSZ3DA,,,1777280933,58.937596,17.9132,5209.7,0.0,False,269.76,-24.61,192.44
47947c,NSZ3DA,,,1777280934,58.940019,17.9132,5185.1,0.0,False,269.41,-24.573,192.44
47947c,NSZ3DA,,,1777280935,58.942439,17.9132,5160.6,0.0,False,269.06,-24.535,192.44
47947c,NSZ3DA,,,1777280936,58.944855,17.9132,5136.1,0.0,False,268.71,-24.498,192.44
47947c,NSZ3DA,,,1777280937,58.947269,17.9132,5111.6,0.0,False,268.37,-24.461,192.44
47947c,NSZ3DA,,,1777280938,58.949679,17.9132,5087.2,0.0,False,268.02,-24.424,192.44
47947c,NSZ3DA,,,1777280939,58.952087,17.9132,5062.8,0.0,False,267.68,-24.388,192.44
47947c,NSZ3DA,,,1777280940,58.954491,17.9132,5038.4,0.0,False,267.33,-24.351,192.44
47947c,NSZ3DA,,,1777280941,58.956892,17.9132,5014.1,0.0,False,266.99,-24.315,192.44
47947c,NSZ3DA,,,1777280942,58.95929,17.9132,4989.8,0.0,False,266.65,-24.279,192.44
47947c,NSZ3DA,,,1777280943,58.961685,17.9132,4965.6,0.0,False,266.31,-24.243,192.44
47947c,NSZ3DA,,,1777280944,58.964077,17.9132,4941.4,0.0,False,265.98,-24.207,192.44
47947c,NSZ3DA,,,1777280945,58.966466,17.9132,4917.2,0.0,False,265.64,-24.172,192.44
47947c,NSZ3DA,,,1777280946,58.968852,17.9132,4893.1,0.0,False,265.3,-24.136,192.44
47947c,NSZ3DA,,,1777280947,58.971235,17.9132,4869.0,0.0,False,264.97,-24.101,192.44
47947c,NSZ3DA,,,1777280948,58.97362,17.9132,4844.7,0.0,False,265.19,-24.241,192.92
47947c,NSZ3DA,,,1777280949,58.975996,17.9132,4820.7,0.0,False,264.25,-24.017,192.4
47947c,NSZ3DA,,,1777280950,58.978364,17.9132,4796.9,0.0,False,263.32,-23.795,191.89
47947c,NSZ3DA,,,1777280951,58.980724,17.9132,4773.4,0.0,False,262.4,-23.575,191.37
47947c,NSZ3DA,,,1777280952,58.983076,17.9132,4750.0,0.0,False,261.48,-23.358,190.86
47947c,NSZ3DA,,,1777280953,58.985419,17.9132,4726.9,0.0,False,260.57,-23.143,190.34
47947c,NSZ3DA,,,1777280954,58.987754,17.9132,4703.9,0.0,False,259.66,-22.93,189.83
47947c,NSZ3DA,,,1777280955,58.990081,17.9132,4681.2,0.0,False,258.75,-22.72,189.32
47947c,NSZ3DA,,,1777280956,58.9924,17.9132,4658.7,0.0,False,257.85,-22.511,188.8
47947c,NSZ3DA,,,1777280957,58.994711,17.9132,4636.4,0.0,False,256.95,-22.304,188.29
47947c,NSZ3DA,,,1777280958,58.997014,17.9132,4614.3,0.0,False,256.06,-22.1,187.77
47947c,NSZ3DA,,,1777280959,58.999308,17.9132,4592.4,0.0,False,255.17,-21.897,187.26
47947c,NSZ3DA,,,1777280960,59.001595,17.9132,4570.7,0.0,False,254.29,-21.697,186.74
47947c,NSZ3DA,,,1777280961,59.003874,17.9132,4549.2,0.0,False,253.41,-21.498,186.23
47947c,NSZ3DA,,,1777280962,59.006107,17.9132,4527.9,0.0,False,248.31,-21.321,185.71
47947c,NSZ3DA,,,1777280963,59.008333,17.9132,4506.8,0.0,False,247.44,-21.126,185.2
47947c,NSZ3DA,,,1777280964,59.01055,17.9132,4485.8,0.0,False,246.56,-20.932,184.69
47947c,NSZ3DA,,,1777280965,59.01276,17.9132,4465.1,0.0,False,245.7,-20.74,184.17
47947c,NSZ3DA,,,1777280966,59.014961,17.9132,4444.5,0.0,False,244.83,-20.551,183.66
47947c,NSZ3DA,,,1777280967,59.017155,17.9132,4424.2,0.0,False,243.97,-20.362,183.14
47947c,NSZ3DA,,,1777280968,59.019342,17.9132,4404.0,0.0,False,243.11,-20.176,182.63
47947c,NSZ3DA,,,1777280969,59.021521,17.9132,4384.0,0.0,False,242.26,-19.991,182.11
47947c,NSZ3DA,,,1777280970,59.023692,17.9132,4364.2,0.0,False,241.41,-19.808,181.6
47947c,NSZ3DA,,,1777280971,59.025855,17.9132,4344.6,0.0,False,240.57,-19.626,181.08
47947c,NSZ3DA,,,1777280972,59.028011,17.9132,4325.1,0.0,False,239.72,-19.447,180.57
47947c,NSZ3DA,,,1777280973,59.030159,17.9132,4305.9,0.0,False,238.88,-19.268,180.06
47947c,NSZ3DA,,,1777280974,59.0323,17.9132,4286.8,0.0,False,238.05,-19.092,179.54
47947c,NSZ3DA,,,1777280975,59.034434,17.9132,4267.8,0.0,False,237.22,-18.916,179.03
