icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4aca05,NSZ3LZ,,,1777278360,58.803085,17.9132,5710.7,0.0,False,231.89,-13.875,153.86
4aca05,NSZ3LZ,,,1777278361,58.805169,17.9132,5696.8,0.0,False,231.72,-13.862,153.86
4aca05,NSZ3LZ,,,1777278362,58.807252,17.9132,5682.9,0.0,False,231.54,-13.85,153.86
4aca05,NSZ3LZ,,,1777278363,58.809332,17.9132,5669.1,0.0,False,231.37,-13.837,153.86
4aca05,NSZ3LZ,,,1777278364,58.811412,17.9132,5655.3,0.0,False,231.2,-13.825,153.86
4aca05,NSZ3LZ,,,1777278365,58.813489,17.9132,5641.5,0.0,False,231.03,-13.812,153.86
4aca05,NSZ3LZ,,,1777278366,58.815566,17.9132,5627.7,0.0,False,230.86,-13.8,153.86
4aca05,NSZ3LZ,,,1777278367,58.81764,17.9132,5613.9,0.0,False,230.69,-13.787,153.86
4aca05,NSZ3LZ,,,1777278368,58.819713,17.9132,5600.1,0.0,False,230.52,-13.775,153.86
4aca05,NSZ3LZ,,,1777278369,58.821785,17.9132,5586.4,0.0,False,230.35,-13.762,153.86
4aca05,NSZ3LZ,,,1777278370,58.823855,17.9132,5572.6,0.0,False,230.19,-13.75,153.86
4aca05,NSZ3LZ,,,1777278371,58.825924,17.9132,5558.9,0.0,False,230.02,-13.738,153.86
4aca05,NSZ3LZ,,,1777278372,58.827991,17.9132,5545.1,0.0,False,229.85,-13.725,153.86
4aca05,NSZ3LZ,,,1777278373,58.830056,17.9132,5531.4,0.0,False,229.68,-13.713,153.86
4aca05,NSZ3LZ,,,1777278374,58.83212,17.9132,5517.7,0.0,False,229.51,-13.701,153.86
4aca05,NSZ3LZ,,,1777278375,58.834183,17.9132,5504.0,0.0,False,229.35,-13.688,153.86
4aca05,NSZ3LZ,,,1777278376,58.836244,17.9132,5490.4,0.0,False,229.18,-13.676,153.86
4aca05,NSZ3LZ,,,1777278377,58.838304,17.9132,5476.7,0.0,False,229.01,-13.664,153.86
4aca05,NSZ3LZ,,,1777278378,58.840362,17.9132,5463.0,0.0,False,228.85,-13.652,153.86
4aca05,NSZ3LZ,,,1777278379,58.842418,17.9132,5449.4,0.0,False,228.68,-13.639,153.86
4aca05,NSZ3LZ,,,1777278380,58.844473,17.9132,5435.8,0.0,False,228.52,-13.627,153.86
4aca05,NSZ3LZ,,,1777278381,58.846527,17.9132,5422.2,0.0,False,228.35,-13.615,153.86
4aca05,NSZ3LZ,,,1777278382,58.848579,17.9132,5408.6,0.0,False,228.19,-13.603,153.86
4aca05,NSZ3LZ,,,1777278383,58.85063,17.9132,5395.0,0.0,False,228.02,-13.591,153.86
4aca05,NSZ3LZ,,,1777278384,58.852679,17.9132,5381.4,0.0,False,227.86,-13.578,153.86
4aca05,NSZ3LZ,,,1777278385,58.854727,17.9132,5367.8,0.0,False,227.69,-13.566,153.86
4aca05,NSZ3LZ,,,1777278386,58.856773,17.9132,5354.3,0.0,False,227.53,-13.554,153.86
4aca05,NSZ3LZ,,,1777278387,58.858818,17.9132,5340.7,0.0,False,227.37,-13.542,153.86
4aca05,NSZ3LZ,,,1777278388,58.860861,17.9132,5327.2,0.0,False,227.21,-13.53,153.86
4aca05,NSZ3LZ,,,1777278389,58.862903,17.9132,5313.7,0.0,False,227.04,-13.518,153.86
4aca05,NSZ3LZ,,,1777278390,58.864943,17.9132,5300.2,0.0,False,226.88,-13.506,153.86
4aca05,NSZ3LZ,,,1777278391,58.866982,17.9132,5286.7,0.0,False,226.72,-13.494,153.86
4aca05,NSZ3LZ,,,1777278392,58.86902,17.9132,5273.2,0.0,False,226.56,-13.482,153.86
4aca05,NSZ3LZ,,,1777278393,58.871056,17.9132,5259.7,0.0,False,226.4,-13.47,153.86
4aca05,NSZ3LZ,,,1777278394,58.87309,17.9132,5246.3,0.0,False,226.23,-13.458,153.86
4aca05,NSZ3LZ,,,1777278395,58.875125,17.9132,5232.8,0.0,False,226.27,-13.442,153.86
4aca05,NSZ3LZ,,,1777278396,58.877158,17.9132,5219.4,0.0,False,226.11,-13.43,153.86
4aca05,NSZ3LZ,,,1777278397,58.879167,17.9132,5205.9,0.0,False,223.3,-13.457,153.86
4aca05,NSZ3LZ,,,1777278398,58.881173,17.9132,5192.5,0.0,False,223.14,-13.445,153.86
4aca05,NSZ3LZ,,,1777278399,58.883179,17.9132,5179.1,0.0,False,222.97,-13.433,153.86
4aca05,NSZ3LZ,,,1777278400,58.885182,17.9132,5165.6,0.0,False,222.81,-13.421,153.86
4aca05,NSZ3LZ,,,1777278401,58.887185,17.9132,5152.2,0.0,False,222.65,-13.409,153.86
4aca05,NSZ3LZ,,,1777278402,58.889186,17.9132,5138.8,0.0,False,222.49,-13.397,153.86
4aca05,NSZ3LZ,,,1777278403,58.891185,17.9132,5125.5,0.0,False,222.33,-13.385,153.86
4aca05,NSZ3LZ,,,1777278404,58.893183,17.9132,5112.1,0.0,False,222.18,-13.373,153.86
4aca05,NSZ3LZ,,,1777278405,58.89518,17.9132,5098.7,0.0,False,222.02,-13.362,153.86
4aca05,NSZ3LZ,,,1777278406,58.897175,17.9132,5085.4,0.0,False,221.86,-13.35,153.86
4aca05,NSZ3LZ,,,1777278407,58.899169,17.9132,5072.0,0.0,False,221.7,-13.338,153.86
4aca05,NSZ3LZ,,,1777278408,58.901161,17.9132,5058.7,0.0,False,221.54,-13.326,153.86
4aca05,NSZ3LZ,,,1777278409,58.903152,17.9132,5045.4,0.0,False,221.38,-13.314,153.86
4aca05,NSZ3LZ,,,1777278410,58.905142,17.9132,5032.1,0.0,False,221.23,-13.303,153.86
4aca05,NSZ3LZ,,,1777278411,58.90713,17.9132,5018.8,0.0,False,221.07,-13.291,153.86
4aca05,NSZ3LZ,,,1777278412,58.909117,17.9132,5005.5,0.0,False,220.91,-13.279,153.86
4aca05,NSZ3LZ,,,1777278413,58.911102,17.9132,4992.2,0.0,False,220.76,-13.268,153.86
4aca05,NSZ3LZ,,,1777278414,58.913086,17.9132,4979.0,0.0,False,220.6,-13.256,153.86
4aca05,NSZ3LZ,,,1777278415,58.915068,17.9132,4965.7,0.0,False,220.44,-13.244,153.86
4aca05,NSZ3LZ,,,1777278416,58.917049,17.9132,4952.5,0.0,False,220.29,-13.233,153.86
4aca05,NSZ3LZ,,,1777278417,58.919029,17.9132,4939.3,0.0,False,220.13,-13.221,153.86
4aca05,NSZ3LZ,,,1777278418,58.921007,17.9132,4926.1,0.0,False,219.98,-13.209,153.86
4aca05,NSZ3LZ,,,1777278419,58.922984,17.9132,4912.9,0.0,False,219.82,-13.198,153.86
