icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms
baw778f,BAW778F,,,1778194440,59.8464,16.7003,8930.64,180.0,0,180.0,0.0
baw778f,BAW778F,,,1778194500,59.7419,16.7003,8930.64,113.32,0,180.0,0.0
baw778f,BAW778F,,,1778194560,59.6373,16.9429,8930.64,113.3,0,180.0,0.0
baw778f,BAW778F,,,1778194620,59.5328,17.1855,8930.64,113.31,0,180.0,0.0
baw778f,BAW778F,,,1778194680,59.4283,17.428,8930.64,90.0,0,180.0,0.0
baw778f,BAW778F,,,1778194740,59.4283,17.6706,8930.64,66.7,0,180.0,0.0
baw778f,BAW778F,,,1778194800,59.5328,17.9132,8930.64,0.0,0,180.0,0.0
baw778f,BAW778F,,,1778194860,59.6373,17.9132,8930.64,0.0,0,180.0,0.0
dlh6vp,DLH6VP,,,1778194380,58.801,17.9132,1661.16,0.0,0,95.7,0.0
dlh6vp,DLH6VP,,,1778194500,58.9055,17.9132,1661.16,0.0,0,95.7,0.0
dlh6vp,DLH6VP,,,1778194620,59.0101,17.9132,1661.16,0.0,0,95.7,0.0
dlh6vp,DLH6VP,,,1778194740,59.1146,17.9132,1661.16,0.0,0,95.7,0.0
dlh6vp,DLH6VP,,,1778194860,59.2192,17.9132,1661.16,0.0,0,95.7,0.0
dlh6vp,DLH6VP,,,1778194980,59.3237,17.9132,1661.16,0.0,0,95.7,0.0
dlh6vp,DLH6VP,,,1778195100,59.4283,17.9132,1661.16,0.0,0,95.7,0.0
dlh6vp,DLH6VP,,,1778195220,59.5328,17.9132,1661.16,0.0,0,95.7,0.0
dlh6vp,DLH6VP,,,1778195340,59.6373,17.9132,1661.16,0.0,0,95.7,0.0
fin40t,FIN40T,,,1778194680,59.7419,19.1261,1524.0,246.68,0,87.91,0.0
fin40t,FIN40T,,,1778194800,59.6373,18.8835,1524.0,246.7,0,87.91,0.0
fin40t,FIN40T,,,1778194920,59.5328,18.6409,1524.0,180.0,0,87.91,0.0
fin40t,FIN40T,,,1778195040,59.4283,18.6409,1524.0,246.67,0,87.91,0.0
fin40t,FIN40T,,,1778195160,59.3237,18.3984,1524.0,270.0,0,87.91,0.0
fin40t,FIN40T,,,1778195280,59.3237,18.1558,1524.0,293.32,0,87.91,0.0
fin40t,FIN40T,,,1778195400,59.4283,17.9132,1524.0,0.0,0,87.91,0.0
fin40t,FIN40T,,,1778195520,59.5328,17.9132,1524.0,0.0,0,87.91,0.0
fin40t,FIN40T,,,1778195640,59.6373,17.9132,1524.0,0.0,0,87.91,0.0
nsz4352,NSZ4352,,,1778194500,58.801,17.9132,1524.0,0.0,0,102.61,0.0
nsz4352,NSZ4352,,,1778194620,58.9055,17.9132,1524.0,0.0,0,102.61,0.0
