icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
461e1e,FIN5LA,,,1777485300,59.7419,19.121381,8528.2,0.0,False,264.41,-18.268,148.33
461e1e,FIN5LA,,,1777485301,59.7419,19.116662,8509.9,270.0,False,264.41,-18.305,148.52
461e1e,FIN5LA,,,1777485302,59.7419,19.111943,8491.5,270.0,False,264.41,-18.341,148.71
461e1e,FIN5LA,,,1777485303,59.7419,19.107224,8473.2,270.0,False,264.41,-18.378,148.9
461e1e,FIN5LA,,,1777485304,59.7419,19.102505,8454.7,270.0,False,264.41,-18.416,149.09
461e1e,FIN5LA,,,1777485305,59.7419,19.097786,8436.3,270.0,False,264.41,-18.453,149.29
461e1e,FIN5LA,,,1777485306,59.7419,19.093067,8417.8,270.0,False,264.41,-18.491,149.48
461e1e,FIN5LA,,,1777485307,59.7419,19.088348,8399.3,270.0,False,264.41,-18.529,149.67
461e1e,FIN5LA,,,1777485308,59.7419,19.083629,8380.7,270.0,False,264.41,-18.567,149.87
461e1e,FIN5LA,,,1777485309,59.7419,19.07891,8362.1,270.0,False,264.41,-18.605,150.06
461e1e,FIN5LA,,,1777485310,59.7419,19.07419,8343.5,270.0,False,264.41,-18.643,150.26
461e1e,FIN5LA,,,1777485311,59.7419,19.069471,8324.8,270.0,False,264.41,-18.682,150.45
461e1e,FIN5LA,,,1777485312,59.7419,19.064752,8306.1,270.0,False,264.41,-18.721,150.65
461e1e,FIN5LA,,,1777485313,59.7419,19.060033,8287.3,270.0,False,264.41,-18.76,150.84
461e1e,FIN5LA,,,1777485314,59.7419,19.055314,8268.5,270.0,False,264.41,-18.799,151.04
461e1e,FIN5LA,,,1777485315,59.7419,19.050595,8249.7,270.0,False,264.41,-18.839,151.24
461e1e,FIN5LA,,,1777485316,59.7419,19.045876,8230.8,270.0,False,264.41,-18.879,151.44
461e1e,FIN5LA,,,1777485317,59.7419,19.041157,8211.9,270.0,False,264.41,-18.919,151.64
