icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4400be,TAY8LL,,,1777485900,59.7419,19.121462,7243.7,0.0,False,259.9,-18.114,161.01
4400be,TAY8LL,,,1777485901,59.7419,19.116823,7225.6,270.0,False,259.9,-18.14,161.21
4400be,TAY8LL,,,1777485902,59.7419,19.112185,7207.4,270.0,False,259.9,-18.167,161.41
4400be,TAY8LL,,,1777485903,59.7419,19.107546,7189.2,270.0,False,259.9,-18.194,161.6
4400be,TAY8LL,,,1777485904,59.7419,19.102908,7171.0,270.0,False,259.9,-18.22,161.8
4400be,TAY8LL,,,1777485905,59.7419,19.098269,7152.7,270.0,False,259.9,-18.247,162.0
4400be,TAY8LL,,,1777485906,59.7419,19.093631,7134.5,270.0,False,259.9,-18.274,162.2
4400be,TAY8LL,,,1777485907,59.7419,19.088992,7116.2,270.0,False,259.9,-18.302,162.4
4400be,TAY8LL,,,1777485908,59.7419,19.084354,7097.8,270.0,False,259.9,-18.329,162.59
4400be,TAY8LL,,,1777485909,59.7419,19.079715,7079.5,270.0,False,259.9,-18.357,162.79
4400be,TAY8LL,,,1777485910,59.7419,19.075077,7061.1,270.0,False,259.9,-18.384,162.99
4400be,TAY8LL,,,1777485911,59.7419,19.070438,7042.7,270.0,False,259.9,-18.412,163.19
4400be,TAY8LL,,,1777485912,59.7419,19.0658,7024.2,270.0,False,259.9,-18.44,163.39
4400be,TAY8LL,,,1777485913,59.7419,19.061161,7005.8,270.0,False,259.9,-18.468,163.6
4400be,TAY8LL,,,1777485914,59.7419,19.056523,6987.3,270.0,False,259.9,-18.497,163.8
4400be,TAY8LL,,,1777485915,59.7419,19.051884,6968.8,270.0,False,259.9,-18.525,164.0
4400be,TAY8LL,,,1777485916,59.7419,19.047246,6950.2,270.0,False,259.9,-18.554,164.2
4400be,TAY8LL,,,1777485917,59.7419,19.042607,6931.6,270.0,False,259.9,-18.583,164.4
4400be,TAY8LL,,,1777485918,59.7419,19.037969,6913.0,270.0,False,259.9,-18.612,164.61
4400be,TAY8LL,,,1777485919,59.7419,19.03333,6894.4,270.0,False,259.9,-18.641,164.81
4400be,TAY8LL,,,1777485920,59.7419,19.028692,6875.7,270.0,False,259.9,-18.67,165.02
4400be,TAY8LL,,,1777485921,59.7419,19.024053,6857.0,270.0,False,259.9,-18.699,165.22
4400be,TAY8LL,,,1777485922,59.7419,19.019415,6838.3,270.0,False,259.9,-18.729,165.43
4400be,TAY8LL,,,1777485923,59.7419,19.014776,6819.5,270.0,False,259.9,-18.759,165.63
4400be,TAY8LL,,,1777485924,59.7419,19.010138,6800.7,270.0,False,259.9,-18.789,165.84
4400be,TAY8LL,,,1777485925,59.7419,19.005499,6781.9,270.0,False,259.9,-18.819,166.04
4400be,TAY8LL,,,1777485926,59.7419,19.000861,6763.0,270.0,False,259.9,-18.849,166.25
4400be,TAY8LL,,,1777485927,59.7419,18.996261,6744.3,270.0,False,257.72,-18.726,165.44
4400be,TAY8LL,,,1777485928,59.7419,18.991662,6725.6,270.0,False,257.72,-18.755,165.64
4400be,TAY8LL,,,1777485929,59.7419,18.987062,6706.8,270.0,False,257.72,-18.785,165.85
4400be,TAY8LL,,,1777485930,59.7419,18.982462,6688.0,270.0,False,257.72,-18.814,166.05
4400be,TAY8LL,,,1777485931,59.7419,18.977863,6669.1,270.0,False,257.72,-18.844,166.26
4400be,TAY8LL,,,1777485932,59.7419,18.973259,6650.2,270.0,False,257.95,-18.924,166.65
4400be,TAY8LL,,,1777485933,59.7419,18.96866,6631.3,270.0,False,257.69,-18.897,166.65
4400be,TAY8LL,,,1777485934,59.7419,18.964065,6612.4,270.0,False,257.43,-18.871,166.65
4400be,TAY8LL,,,1777485935,59.7419,18.959476,6593.6,270.0,False,257.16,-18.844,166.65
4400be,TAY8LL,,,1777485936,59.7419,18.954891,6574.8,270.0,False,256.9,-18.818,166.65
4400be,TAY8LL,,,1777485937,59.7419,18.95031,6556.0,270.0,False,256.64,-18.791,166.65
4400be,TAY8LL,,,1777485938,59.7419,18.945735,6537.2,270.0,False,256.38,-18.765,166.65
4400be,TAY8LL,,,1777485939,59.7419,18.941164,6518.5,270.0,False,256.12,-18.739,166.65
4400be,TAY8LL,,,1777485940,59.7419,18.936597,6499.8,270.0,False,255.86,-18.712,166.65
4400be,TAY8LL,,,1777485941,59.7419,18.932036,6481.1,270.0,False,255.6,-18.686,166.65
4400be,TAY8LL,,,1777485942,59.7419,18.927478,6462.4,270.0,False,255.34,-18.66,166.65
4400be,TAY8LL,,,1777485943,59.7419,18.922926,6443.8,270.0,False,255.08,-18.634,166.65
4400be,TAY8LL,,,1777485944,59.7419,18.918378,6425.2,270.0,False,254.83,-18.608,166.65
4400be,TAY8LL,,,1777485945,59.7419,18.913834,6406.6,270.0,False,254.57,-18.583,166.65
4400be,TAY8LL,,,1777485946,59.7419,18.909295,6388.0,270.0,False,254.32,-18.557,166.65
4400be,TAY8LL,,,1777485947,59.7419,18.904761,6369.5,270.0,False,254.06,-18.531,166.65
4400be,TAY8LL,,,1777485948,59.7419,18.900231,6351.0,270.0,False,253.81,-18.506,166.65
4400be,TAY8LL,,,1777485949,59.7419,18.895706,6332.5,270.0,False,253.56,-18.48,166.65
4400be,TAY8LL,,,1777485950,59.7419,18.891185,6314.1,270.0,False,253.3,-18.455,166.65
4400be,TAY8LL,,,1777485951,59.7419,18.886669,6295.6,270.0,False,253.05,-18.429,166.65
4400be,TAY8LL,,,1777485952,59.74146,18.882481,6277.2,258.2,False,252.8,-18.404,166.65
4400be,TAY8LL,,,1777485953,59.739985,18.879059,6258.9,229.5,False,252.55,-18.379,166.65
4400be,TAY8LL,,,1777485954,59.738511,18.87564,6240.5,229.5,False,252.31,-18.357,166.65
4400be,TAY8LL,,,1777485955,59.737039,18.872225,6222.2,229.5,False,252.06,-18.332,166.65
4400be,TAY8LL,,,1777485956,59.735568,18.868814,6203.9,229.5,False,251.82,-18.307,166.65
4400be,TAY8LL,,,1777485957,59.734098,18.865405,6185.6,229.5,False,251.57,-18.282,166.65
4400be,TAY8LL,,,1777485958,59.73263,18.862,6167.3,229.5,False,251.32,-18.257,166.65
4400be,TAY8LL,,,1777485959,59.731163,18.858599,6149.1,229.5,False,251.08,-18.232,166.65
4400be,TAY8LL,,,1777485960,59.729698,18.8552,6130.9,229.5,False,250.83,-18.207,166.65
4400be,TAY8LL,,,1777485961,59.728234,18.851805,6112.7,229.5,False,250.58,-18.183,166.65
4400be,TAY8LL,,,1777485962,59.726772,18.848413,6094.5,229.5,False,250.34,-18.158,166.65
4400be,TAY8LL,,,1777485963,59.725311,18.845025,6076.4,229.5,False,250.1,-18.134,166.65
4400be,TAY8LL,,,1777485964,59.723852,18.84164,6058.3,229.5,False,249.85,-18.109,166.65
4400be,TAY8LL,,,1777485965,59.722393,18.838258,6040.2,229.5,False,249.61,-18.085,166.65
4400be,TAY8LL,,,1777485966,59.720937,18.834879,6022.2,229.5,False,249.37,-18.06,166.65
4400be,TAY8LL,,,1777485967,59.719481,18.831504,6004.1,229.5,False,249.13,-18.036,166.65
4400be,TAY8LL,,,1777485968,59.718027,18.828132,5986.1,229.5,False,248.89,-18.012,166.65
4400be,TAY8LL,,,1777485969,59.716575,18.824763,5968.1,229.5,False,248.65,-17.988,166.65
4400be,TAY8LL,,,1777485970,59.715138,18.82143,5950.0,229.5,False,246.03,-18.065,166.65
4400be,TAY8LL,,,1777485971,59.713702,18.8181,5932.0,229.5,False,245.79,-18.041,166.65
4400be,TAY8LL,,,1777485972,59.712268,18.814773,5914.0,229.5,False,245.55,-18.016,166.65
4400be,TAY8LL,,,1777485973,59.710835,18.81145,5896.0,229.5,False,245.31,-17.992,166.65
4400be,TAY8LL,,,1777485974,59.709403,18.808129,5878.0,229.5,False,245.07,-17.968,166.65
4400be,TAY8LL,,,1777485975,59.707973,18.804812,5860.1,229.5,False,244.83,-17.944,166.65
4400be,TAY8LL,,,1777485976,59.706544,18.801498,5842.2,229.5,False,244.59,-17.92,166.65
4400be,TAY8LL,,,1777485977,59.705117,18.798188,5824.3,229.5,False,244.35,-17.897,166.65
4400be,TAY8LL,,,1777485978,59.703691,18.79488,5806.4,229.5,False,244.11,-17.873,166.65
4400be,TAY8LL,,,1777485979,59.702266,18.791576,5788.5,229.5,False,243.88,-17.849,166.65
4400be,TAY8LL,,,1777485980,59.700843,18.788275,5770.7,229.5,False,243.64,-17.826,166.65
4400be,TAY8LL,,,1777485981,59.699421,18.784978,5752.9,229.5,False,243.41,-17.802,166.65
4400be,TAY8LL,,,1777485982,59.698,18.781683,5735.1,229.5,False,243.17,-17.779,166.65
4400be,TAY8LL,,,1777485983,59.696581,18.778392,5717.4,229.5,False,242.94,-17.755,166.65
