icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4081bb,BAW778F,,,1777494900,59.843894,16.7003,7934.8,0.0,False,278.65,-19.816,166.73
4081bb,BAW778F,,,1777494901,59.841388,16.7003,7915.0,180.0,False,278.65,-19.865,166.96
4081bb,BAW778F,,,1777494902,59.838882,16.7003,7895.0,180.0,False,278.65,-19.913,167.19
4081bb,BAW778F,,,1777494903,59.836376,16.7003,7875.1,180.0,False,278.65,-19.962,167.41
4081bb,BAW778F,,,1777494904,59.83387,16.7003,7855.1,180.0,False,278.65,-20.011,167.64
4081bb,BAW778F,,,1777494905,59.831364,16.7003,7835.0,180.0,False,278.65,-20.06,167.87
4081bb,BAW778F,,,1777494906,59.828858,16.7003,7814.9,180.0,False,278.65,-20.11,168.1
4081bb,BAW778F,,,1777494907,59.826352,16.7003,7794.7,180.0,False,278.65,-20.16,168.33
4081bb,BAW778F,,,1777494908,59.823846,16.7003,7774.5,180.0,False,278.65,-20.21,168.56
4081bb,BAW778F,,,1777494909,59.821341,16.7003,7754.3,180.0,False,278.65,-20.261,168.79
4081bb,BAW778F,,,1777494910,59.818835,16.7003,7734.0,180.0,False,278.65,-20.312,169.02
4081bb,BAW778F,,,1777494911,59.816329,16.7003,7713.6,180.0,False,278.65,-20.363,169.26
4081bb,BAW778F,,,1777494912,59.813823,16.7003,7693.2,180.0,False,278.65,-20.415,169.49
4081bb,BAW778F,,,1777494913,59.811317,16.7003,7672.7,180.0,False,278.65,-20.467,169.72
4081bb,BAW778F,,,1777494914,59.808811,16.7003,7652.2,180.0,False,278.65,-20.519,169.96
4081bb,BAW778F,,,1777494915,59.806339,16.7003,7632.0,180.0,False,274.9,-20.223,168.91
4081bb,BAW778F,,,1777494916,59.803866,16.7003,7611.7,180.0,False,274.9,-20.273,169.14
4081bb,BAW778F,,,1777494917,59.801394,16.7003,7591.4,180.0,False,274.9,-20.324,169.38
4081bb,BAW778F,,,1777494918,59.798922,16.7003,7571.0,180.0,False,274.9,-20.375,169.61
4081bb,BAW778F,,,1777494919,59.796449,16.7003,7550.6,180.0,False,274.9,-20.426,169.84
4081bb,BAW778F,,,1777494920,59.793977,16.7003,7530.1,180.0,False,274.9,-20.477,170.08
