icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4408df,AUA96J,,,1777665720,58.802481,17.9132,3144.2,0.0,False,164.73,-8.808,134.78
4408df,AUA96J,,,1777665721,58.803957,17.9132,3135.5,0.0,False,164.06,-8.736,134.27
4408df,AUA96J,,,1777665722,58.805426,17.9132,3126.8,0.0,False,163.38,-8.664,133.76
4408df,AUA96J,,,1777665723,58.806889,17.9132,3118.2,0.0,False,162.71,-8.594,133.24
4408df,AUA96J,,,1777665724,58.808347,17.9132,3109.7,0.0,False,162.04,-8.526,132.73
4408df,AUA96J,,,1777665725,58.809798,17.9132,3101.2,0.0,False,161.37,-8.458,132.21
4408df,AUA96J,,,1777665726,58.811243,17.9132,3092.8,0.0,False,160.7,-8.391,131.7
4408df,AUA96J,,,1777665727,58.812682,17.9132,3084.5,0.0,False,160.03,-8.326,131.18
4408df,AUA96J,,,1777665728,58.814115,17.9132,3076.3,0.0,False,159.36,-8.261,130.67
4408df,AUA96J,,,1777665729,58.815543,17.9132,3068.1,0.0,False,158.69,-8.198,130.15
4408df,AUA96J,,,1777665730,58.816964,17.9132,3059.9,0.0,False,158.03,-8.136,129.64
4408df,AUA96J,,,1777665731,58.818379,17.9132,3051.9,0.0,False,157.36,-8.075,129.13
4408df,AUA96J,,,1777665732,58.819788,17.9132,3043.8,0.0,False,156.7,-8.014,128.61
4408df,AUA96J,,,1777665733,58.821197,17.9132,3035.8,0.0,False,156.63,-8.011,128.61
4408df,AUA96J,,,1777665734,58.822605,17.9132,3027.8,0.0,False,156.55,-8.007,128.61
4408df,AUA96J,,,1777665735,58.824012,17.9132,3019.8,0.0,False,156.48,-8.004,128.61
4408df,AUA96J,,,1777665736,58.825419,17.9132,3011.8,0.0,False,156.41,-8.0,128.61
4408df,AUA96J,,,1777665737,58.826825,17.9132,3003.8,0.0,False,156.34,-7.996,128.61
4408df,AUA96J,,,1777665738,58.82823,17.9132,2995.8,0.0,False,156.26,-7.993,128.61
4408df,AUA96J,,,1777665739,58.829635,17.9132,2987.8,0.0,False,156.19,-7.989,128.61
4408df,AUA96J,,,1777665740,58.831039,17.9132,2979.9,0.0,False,156.12,-7.986,128.61
4408df,AUA96J,,,1777665741,58.832442,17.9132,2971.9,0.0,False,156.05,-7.982,128.61
4408df,AUA96J,,,1777665742,58.833845,17.9132,2963.9,0.0,False,155.98,-7.979,128.61
4408df,AUA96J,,,1777665743,58.835247,17.9132,2955.9,0.0,False,155.9,-7.975,128.61
4408df,AUA96J,,,1777665744,58.836648,17.9132,2947.9,0.0,False,155.83,-7.971,128.61
4408df,AUA96J,,,1777665745,58.838049,17.9132,2940.0,0.0,False,155.76,-7.968,128.61
4408df,AUA96J,,,1777665746,58.839449,17.9132,2932.0,0.0,False,155.69,-7.964,128.61
