icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
484cb7,KLM59U,,,1777969080,59.718272,16.7003,9815.5,0.0,False,247.73,-22.531,163.56,0.7474,0.06872,0.069,0.134
484cb7,KLM59U,,,1777969081,59.716044,16.7003,9792.9,180.0,False,247.73,-22.596,163.83,0.7474,0.06885,0.138,0.268
484cb7,KLM59U,,,1777969082,59.713816,16.7003,9770.3,180.0,False,247.73,-22.661,164.09,0.7474,0.06897,0.207,0.401
484cb7,KLM59U,,,1777969083,59.711588,16.7003,9747.5,180.0,False,247.73,-22.727,164.36,0.7474,0.0691,0.276,0.535
484cb7,KLM59U,,,1777969084,59.709357,16.7003,9725.1,180.0,False,248.12,-22.457,163.47,0.7474,0.06831,0.344,0.669
484cb7,KLM59U,,,1777969085,59.707126,16.7003,9702.6,180.0,False,248.12,-22.521,163.73,0.7474,0.06843,0.412,0.803
484cb7,KLM59U,,,1777969086,59.704894,16.7003,9680.0,180.0,False,248.12,-22.585,164.0,0.7474,0.06855,0.481,0.937
484cb7,KLM59U,,,1777969087,59.702663,16.7003,9657.3,180.0,False,248.12,-22.65,164.26,0.7474,0.06867,0.55,1.071
484cb7,KLM59U,,,1777969088,59.700431,16.7003,9634.6,180.0,False,248.12,-22.715,164.53,0.7474,0.0688,0.618,1.205
484cb7,KLM59U,,,1777969089,59.6982,16.7003,9611.8,180.0,False,248.12,-22.78,164.8,0.7474,0.06892,0.687,1.339
484cb7,KLM59U,,,1777969090,59.695969,16.7003,9589.0,180.0,False,248.12,-22.846,165.07,0.7474,0.06905,0.756,1.473
484cb7,KLM59U,,,1777969091,59.693737,16.7003,9566.1,180.0,False,248.12,-22.913,165.34,0.7474,0.06918,0.826,1.607
484cb7,KLM59U,,,1777969092,59.691506,16.7003,9543.1,180.0,False,248.12,-22.98,165.61,0.7474,0.0693,0.895,1.741
484cb7,KLM59U,,,1777969093,59.689274,16.7003,9520.1,180.0,False,248.12,-23.048,165.88,0.7474,0.06943,0.964,1.875
484cb7,KLM59U,,,1777969094,59.687043,16.7003,9496.9,180.0,False,248.12,-23.116,166.16,0.7474,0.06957,1.034,2.009
484cb7,KLM59U,,,1777969095,59.684812,16.7003,9473.8,180.0,False,248.12,-23.184,166.43,0.7474,0.0697,1.104,2.143
484cb7,KLM59U,,,1777969096,59.68258,16.7003,9450.5,180.0,False,248.12,-23.253,166.71,0.7474,0.06983,1.173,2.277
484cb7,KLM59U,,,1777969097,59.680349,16.7003,9427.2,180.0,False,248.12,-23.322,166.98,0.7474,0.06997,1.243,2.411
484cb7,KLM59U,,,1777969098,59.678117,16.7003,9403.8,180.0,False,248.12,-23.392,167.26,0.7474,0.07011,1.313,2.545
484cb7,KLM59U,,,1777969099,59.675886,16.7003,9380.3,180.0,False,248.12,-23.463,167.54,0.7474,0.07024,1.384,2.679
484cb7,KLM59U,,,1777969100,59.673655,16.7003,9356.8,180.0,False,248.12,-23.534,167.82,0.7474,0.07038,1.454,2.813
484cb7,KLM59U,,,1777969101,59.671423,16.7003,9333.2,180.0,False,248.12,-23.605,168.1,0.7474,0.07052,1.525,2.947
484cb7,KLM59U,,,1777969102,59.669192,16.7003,9309.5,180.0,False,248.12,-23.677,168.38,0.7474,0.07067,1.595,3.081
484cb7,KLM59U,,,1777969103,59.66696,16.7003,9285.8,180.0,False,248.12,-23.75,168.67,0.7474,0.07081,1.666,3.215
484cb7,KLM59U,,,1777969104,59.664729,16.7003,9261.9,180.0,False,248.12,-23.823,168.95,0.7474,0.07096,1.737,3.349
484cb7,KLM59U,,,1777969105,59.662498,16.7003,9238.0,180.0,False,248.12,-23.896,169.24,0.7474,0.0711,1.808,3.482
484cb7,KLM59U,,,1777969106,59.660266,16.7003,9214.1,180.0,False,248.12,-23.97,169.52,0.7474,0.07125,1.879,3.616
484cb7,KLM59U,,,1777969107,59.658035,16.7003,9190.0,180.0,False,248.12,-24.045,169.81,0.7474,0.0714,1.951,3.75
484cb7,KLM59U,,,1777969108,59.655803,16.7003,9165.9,180.0,False,248.12,-24.12,170.1,0.7474,0.07156,2.022,3.884
484cb7,KLM59U,,,1777969109,59.653572,16.7003,9141.7,180.0,False,248.12,-24.196,170.39,0.7474,0.07171,2.094,4.018
484cb7,KLM59U,,,1777969110,59.651341,16.7003,9117.4,180.0,False,248.12,-24.272,170.68,0.7474,0.07186,2.166,4.152
484cb7,KLM59U,,,1777969111,59.649109,16.7003,9093.1,180.0,False,248.12,-24.349,170.97,0.7474,0.07202,2.238,4.286
484cb7,KLM59U,,,1777969112,59.646878,16.7003,9068.7,180.0,False,248.12,-24.426,171.26,0.7474,0.07218,2.31,4.42
484cb7,KLM59U,,,1777969113,59.644646,16.7003,9044.2,180.0,False,248.12,-24.504,171.56,0.7474,0.07234,2.382,4.554
484cb7,KLM59U,,,1777969114,59.642415,16.7003,9019.6,180.0,False,248.12,-24.583,171.85,0.7474,0.0725,2.455,4.688
484cb7,KLM59U,,,1777969115,59.640184,16.7003,8994.9,180.0,False,248.12,-24.662,172.15,0.7474,0.07267,2.528,4.822
484cb7,KLM59U,,,1777969116,59.637952,16.7003,8970.2,180.0,False,248.12,-24.742,172.45,0.7474,0.07283,2.6,4.956
484cb7,KLM59U,,,1777969117,59.635721,16.7003,8945.3,180.0,False,248.12,-24.822,172.75,0.7474,0.073,2.673,5.09
484cb7,KLM59U,,,1777969118,59.633489,16.7003,8920.4,180.0,False,248.12,-24.903,173.05,0.7474,0.07317,2.747,5.224
484cb7,KLM59U,,,1777969119,59.631258,16.7003,8895.5,180.0,False,248.12,-24.984,173.35,0.7474,0.07334,2.82,5.358
484cb7,KLM59U,,,1777969120,59.629027,16.7003,8870.4,180.0,False,248.12,-25.066,173.65,0.7474,0.07351,2.893,5.492
484cb7,KLM59U,,,1777969121,59.626795,16.7003,8845.2,180.0,False,248.12,-25.149,173.96,0.7474,0.07369,2.967,5.626
484cb7,KLM59U,,,1777969122,59.624562,16.7003,8820.0,180.0,False,248.33,-25.24,174.29,0.7474,0.07389,3.041,5.76
484cb7,KLM59U,,,1777969123,59.622329,16.7003,8794.7,180.0,False,248.33,-25.324,174.59,0.7474,0.07407,3.115,5.894
484cb7,KLM59U,,,1777969124,59.620095,16.7003,8769.3,180.0,False,248.33,-25.409,174.9,0.7474,0.07425,3.189,6.028
484cb7,KLM59U,,,1777969125,59.617862,16.7003,8743.8,180.0,False,248.33,-25.494,175.21,0.7474,0.07443,3.264,6.162
484cb7,KLM59U,,,1777969126,59.61576,16.700858,8718.2,172.4,False,248.33,-25.58,175.52,0.7474,0.07461,3.338,6.297
484cb7,KLM59U,,,1777969127,59.614312,16.704215,8692.5,130.4,False,248.33,-25.666,175.83,0.7474,0.0748,3.413,6.431
484cb7,KLM59U,,,1777969128,59.612865,16.707572,8666.8,130.4,False,248.33,-25.754,176.15,0.7474,0.07499,3.488,6.565
484cb7,KLM59U,,,1777969129,59.611417,16.710929,8640.9,130.4,False,248.33,-25.842,176.46,0.7474,0.07518,3.563,6.699
