icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
39bda0,AFR61QR,,,1777993320,59.845232,16.703012,8112.4,0.0,False,199.71,-14.114,142.96
39bda0,AFR61QR,,,1777993321,59.844064,16.705724,8098.3,130.6,False,199.71,-14.137,143.1
39bda0,AFR61QR,,,1777993322,59.842896,16.708435,8084.1,130.6,False,199.71,-14.161,143.24
39bda0,AFR61QR,,,1777993323,59.841728,16.711147,8069.9,130.6,False,199.71,-14.185,143.38
39bda0,AFR61QR,,,1777993324,59.84056,16.713859,8055.7,130.6,False,199.71,-14.208,143.52
39bda0,AFR61QR,,,1777993325,59.839391,16.716571,8041.5,130.6,False,199.71,-14.232,143.67
39bda0,AFR61QR,,,1777993326,59.838223,16.719282,8027.2,130.6,False,199.71,-14.256,143.81
39bda0,AFR61QR,,,1777993327,59.837055,16.721994,8012.9,130.6,False,199.71,-14.28,143.95
39bda0,AFR61QR,,,1777993328,59.835887,16.724706,7998.6,130.6,False,199.71,-14.304,144.09
39bda0,AFR61QR,,,1777993329,59.834719,16.727418,7984.3,130.6,False,199.71,-14.329,144.24
39bda0,AFR61QR,,,1777993330,59.833551,16.730129,7970.0,130.6,False,199.71,-14.353,144.38
39bda0,AFR61QR,,,1777993331,59.832383,16.732841,7955.6,130.6,False,199.71,-14.377,144.52
39bda0,AFR61QR,,,1777993332,59.831215,16.735553,7941.2,130.6,False,199.71,-14.402,144.67
39bda0,AFR61QR,,,1777993333,59.830047,16.738265,7926.8,130.6,False,199.71,-14.427,144.81
39bda0,AFR61QR,,,1777993334,59.828879,16.740976,7912.3,130.6,False,199.71,-14.452,144.96
39bda0,AFR61QR,,,1777993335,59.827711,16.743688,7897.8,130.6,False,199.71,-14.477,145.1
39bda0,AFR61QR,,,1777993336,59.826542,16.7464,7883.3,130.6,False,199.71,-14.502,145.25
39bda0,AFR61QR,,,1777993337,59.825374,16.749112,7868.8,130.6,False,199.71,-14.527,145.39
39bda0,AFR61QR,,,1777993338,59.824206,16.751823,7854.2,130.6,False,199.71,-14.552,145.54
39bda0,AFR61QR,,,1777993339,59.823038,16.754535,7839.7,130.6,False,199.71,-14.578,145.68
39bda0,AFR61QR,,,1777993340,59.82187,16.757247,7825.1,130.6,False,199.71,-14.603,145.83
39bda0,AFR61QR,,,1777993341,59.820702,16.759959,7810.4,130.6,False,199.71,-14.629,145.98
39bda0,AFR61QR,,,1777993342,59.819534,16.76267,7795.8,130.6,False,199.71,-14.654,146.12
39bda0,AFR61QR,,,1777993343,59.818366,16.765382,7781.1,130.6,False,199.71,-14.68,146.27
39bda0,AFR61QR,,,1777993344,59.817198,16.768094,7766.4,130.6,False,199.71,-14.706,146.42
39bda0,AFR61QR,,,1777993345,59.81603,16.770806,7751.7,130.6,False,199.71,-14.733,146.57
39bda0,AFR61QR,,,1777993346,59.814862,16.773518,7736.9,130.6,False,199.71,-14.759,146.72
39bda0,AFR61QR,,,1777993347,59.813693,16.776229,7722.1,130.6,False,199.71,-14.785,146.87
39bda0,AFR61QR,,,1777993348,59.812525,16.778941,7707.3,130.6,False,199.71,-14.812,147.01
39bda0,AFR61QR,,,1777993349,59.811357,16.781653,7692.5,130.6,False,199.71,-14.838,147.16
39bda0,AFR61QR,,,1777993350,59.810189,16.784365,7677.6,130.6,False,199.71,-14.865,147.31
39bda0,AFR61QR,,,1777993351,59.809021,16.787076,7662.7,130.6,False,199.71,-14.892,147.46
39bda0,AFR61QR,,,1777993352,59.807853,16.789788,7647.8,130.6,False,199.71,-14.919,147.62
39bda0,AFR61QR,,,1777993353,59.806672,16.79253,7633.1,130.6,False,201.93,-14.686,146.6
39bda0,AFR61QR,,,1777993354,59.805491,16.795272,7618.4,130.6,False,201.93,-14.711,146.75
39bda0,AFR61QR,,,1777993355,59.80431,16.798014,7603.7,130.6,False,201.93,-14.737,146.9
39bda0,AFR61QR,,,1777993356,59.803129,16.800756,7588.9,130.6,False,201.93,-14.763,147.04
39bda0,AFR61QR,,,1777993357,59.801948,16.803498,7574.1,130.6,False,201.93,-14.79,147.19
39bda0,AFR61QR,,,1777993358,59.800767,16.806239,7559.3,130.6,False,201.93,-14.816,147.34
39bda0,AFR61QR,,,1777993359,59.799585,16.808981,7544.4,130.6,False,201.93,-14.842,147.49
39bda0,AFR61QR,,,1777993360,59.798404,16.811723,7529.6,130.6,False,201.93,-14.869,147.64
39bda0,AFR61QR,,,1777993361,59.797223,16.814465,7514.7,130.6,False,201.93,-14.895,147.79
39bda0,AFR61QR,,,1777993362,59.796042,16.817207,7499.8,130.6,False,201.93,-14.922,147.94
39bda0,AFR61QR,,,1777993363,59.794861,16.819949,7484.8,130.6,False,201.93,-14.949,148.09
39bda0,AFR61QR,,,1777993364,59.79368,16.822691,7469.8,130.6,False,201.93,-14.976,148.24
39bda0,AFR61QR,,,1777993365,59.792499,16.825433,7454.8,130.6,False,201.93,-15.003,148.39
39bda0,AFR61QR,,,1777993366,59.791318,16.828175,7439.8,130.6,False,201.93,-15.03,148.55
39bda0,AFR61QR,,,1777993367,59.790137,16.830917,7424.7,130.6,False,201.93,-15.058,148.7
39bda0,AFR61QR,,,1777993368,59.788956,16.833658,7409.7,130.6,False,201.93,-15.085,148.85
39bda0,AFR61QR,,,1777993369,59.787775,16.8364,7394.5,130.6,False,201.93,-15.113,149.0
39bda0,AFR61QR,,,1777993370,59.786594,16.839142,7379.4,130.6,False,201.93,-15.141,149.16
39bda0,AFR61QR,,,1777993371,59.785413,16.841884,7364.2,130.6,False,201.93,-15.168,149.31
39bda0,AFR61QR,,,1777993372,59.784232,16.844626,7349.0,130.6,False,201.93,-15.196,149.46
