icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4aca15,NSZ8MV,,,1777996140,58.80299,17.9132,7990.2,0.0,False,221.25,-17.267,159.31
4aca15,NSZ8MV,,,1777996141,58.80498,17.9132,7972.9,0.0,False,221.25,-17.3,159.5
4aca15,NSZ8MV,,,1777996142,58.806969,17.9132,7955.6,0.0,False,221.25,-17.333,159.69
4aca15,NSZ8MV,,,1777996143,58.808959,17.9132,7938.2,0.0,False,221.25,-17.366,159.88
4aca15,NSZ8MV,,,1777996144,58.810949,17.9132,7920.8,0.0,False,221.25,-17.399,160.07
4aca15,NSZ8MV,,,1777996145,58.812939,17.9132,7903.4,0.0,False,221.25,-17.432,160.26
4aca15,NSZ8MV,,,1777996146,58.814929,17.9132,7885.9,0.0,False,221.25,-17.466,160.45
4aca15,NSZ8MV,,,1777996147,58.816918,17.9132,7868.4,0.0,False,221.25,-17.5,160.65
4aca15,NSZ8MV,,,1777996148,58.818908,17.9132,7850.9,0.0,False,221.25,-17.534,160.84
4aca15,NSZ8MV,,,1777996149,58.820898,17.9132,7833.3,0.0,False,221.25,-17.568,161.03
4aca15,NSZ8MV,,,1777996150,58.822888,17.9132,7815.7,0.0,False,221.25,-17.602,161.23
4aca15,NSZ8MV,,,1777996151,58.824877,17.9132,7798.1,0.0,False,221.25,-17.637,161.42
4aca15,NSZ8MV,,,1777996152,58.826867,17.9132,7780.4,0.0,False,221.25,-17.671,161.61
4aca15,NSZ8MV,,,1777996153,58.828857,17.9132,7762.7,0.0,False,221.25,-17.706,161.81
4aca15,NSZ8MV,,,1777996154,58.830847,17.9132,7744.9,0.0,False,221.25,-17.741,162.0
4aca15,NSZ8MV,,,1777996155,58.832837,17.9132,7727.2,0.0,False,221.25,-17.776,162.2
4aca15,NSZ8MV,,,1777996156,58.834826,17.9132,7709.3,0.0,False,221.25,-17.812,162.4
4aca15,NSZ8MV,,,1777996157,58.836816,17.9132,7691.5,0.0,False,221.25,-17.847,162.59
4aca15,NSZ8MV,,,1777996158,58.838806,17.9132,7673.6,0.0,False,221.25,-17.883,162.79
4aca15,NSZ8MV,,,1777996159,58.840796,17.9132,7655.7,0.0,False,221.25,-17.919,162.99
4aca15,NSZ8MV,,,1777996160,58.842806,17.9132,7638.0,0.0,False,223.58,-17.67,161.85
4aca15,NSZ8MV,,,1777996161,58.844817,17.9132,7620.3,0.0,False,223.58,-17.704,162.05
4aca15,NSZ8MV,,,1777996162,58.846828,17.9132,7602.6,0.0,False,223.58,-17.739,162.24
4aca15,NSZ8MV,,,1777996163,58.848839,17.9132,7584.8,0.0,False,223.58,-17.774,162.44
4aca15,NSZ8MV,,,1777996164,58.850849,17.9132,7567.0,0.0,False,223.58,-17.809,162.63
4aca15,NSZ8MV,,,1777996165,58.85286,17.9132,7549.2,0.0,False,223.58,-17.844,162.83
4aca15,NSZ8MV,,,1777996166,58.854871,17.9132,7531.3,0.0,False,223.58,-17.879,163.03
4aca15,NSZ8MV,,,1777996167,58.856882,17.9132,7513.4,0.0,False,223.58,-17.914,163.22
4aca15,NSZ8MV,,,1777996168,58.858892,17.9132,7495.4,0.0,False,223.58,-17.95,163.42
4aca15,NSZ8MV,,,1777996169,58.860903,17.9132,7477.4,0.0,False,223.58,-17.986,163.62
4aca15,NSZ8MV,,,1777996170,58.862914,17.9132,7459.4,0.0,False,223.58,-18.022,163.82
4aca15,NSZ8MV,,,1777996171,58.864925,17.9132,7441.4,0.0,False,223.58,-18.058,164.02
4aca15,NSZ8MV,,,1777996172,58.866935,17.9132,7423.3,0.0,False,223.58,-18.095,164.22
4aca15,NSZ8MV,,,1777996173,58.868946,17.9132,7405.1,0.0,False,223.58,-18.131,164.42
4aca15,NSZ8MV,,,1777996174,58.870957,17.9132,7387.0,0.0,False,223.58,-18.168,164.62
4aca15,NSZ8MV,,,1777996175,58.872967,17.9132,7368.8,0.0,False,223.58,-18.205,164.82
4aca15,NSZ8MV,,,1777996176,58.874976,17.9132,7350.5,0.0,False,223.36,-18.25,165.06
4aca15,NSZ8MV,,,1777996177,58.876985,17.9132,7332.2,0.0,False,223.36,-18.287,165.26
4aca15,NSZ8MV,,,1777996178,58.878994,17.9132,7313.9,0.0,False,223.36,-18.325,165.47
4aca15,NSZ8MV,,,1777996179,58.881002,17.9132,7295.5,0.0,False,223.36,-18.362,165.67
4aca15,NSZ8MV,,,1777996180,58.883011,17.9132,7277.1,0.0,False,223.36,-18.4,165.88
4aca15,NSZ8MV,,,1777996181,58.88502,17.9132,7258.7,0.0,False,223.36,-18.438,166.08
4aca15,NSZ8MV,,,1777996182,58.887029,17.9132,7240.2,0.0,False,223.36,-18.477,166.29
4aca15,NSZ8MV,,,1777996183,58.889037,17.9132,7221.7,0.0,False,223.36,-18.515,166.49
4aca15,NSZ8MV,,,1777996184,58.891046,17.9132,7203.1,0.0,False,223.36,-18.554,166.7
4aca15,NSZ8MV,,,1777996185,58.893055,17.9132,7184.6,0.0,False,223.36,-18.593,166.91
4aca15,NSZ8MV,,,1777996186,58.895064,17.9132,7165.9,0.0,False,223.36,-18.632,167.11
4aca15,NSZ8MV,,,1777996187,58.897072,17.9132,7147.2,0.0,False,223.36,-18.671,167.32
4aca15,NSZ8MV,,,1777996188,58.899081,17.9132,7128.5,0.0,False,223.36,-18.71,167.53
4aca15,NSZ8MV,,,1777996189,58.90109,17.9132,7109.8,0.0,False,223.36,-18.75,167.74
4aca15,NSZ8MV,,,1777996190,58.903099,17.9132,7091.0,0.0,False,223.36,-18.79,167.95
4aca15,NSZ8MV,,,1777996191,58.905107,17.9132,7072.2,0.0,False,223.36,-18.83,168.16
