callsign,icao24,entry,node,lat,lon,alt_m,velocity_ms,heading,vertrate,dist_to_entry_nm
SAS1021,4cacb0,N,9,60.281330690545545,18.393761771065847,3977.6400000000003,162.63673330154393,189.28355280526134,-9.10336,7.4260903816926
SAS2031,4cad40,N,9,60.283905029296875,18.360143201104524,3878.5800000000004,167.1499727946684,200.16389723246857,-11.704320000000001,8.438387402804073
NSZ16Z,4aca4f,N,9,60.292549779859634,18.277130126953125,3307.0800000000004,173.04675765269127,200.5361093193744,-12.029440000000001,10.95760780810668
RYR18AA,48c2b0,E,66,59.522482661877646,19.200786722117456,5151.12,183.52316527992838,329.69731927951193,-12.354560000000001,13.367546709755244
SAS1749,4ab5d2,E,66,59.646730584613344,19.6270751953125,4259.58,121.05185427175903,272.92320293197815,0.0,16.218034753225343
TAY8LL,4400be,E,66,59.64674377441406,19.627899169921875,7162.8,160.691917569523,272.7524854002687,-13.329920000000001,16.241118926946644
FIN5LA,461e1c,E,66,59.7494248212394,19.72235317887931,6187.4400000000005,155.41403475264724,253.0645982150556,-12.679680000000001,18.04270016108551
RYR305X,4ca4f4,E,66,59.79108907408633,17.990869982489222,982.98,99.43684868875368,163.15879426385763,-2.27584,34.44655488319715
SAS084,4ab56b,S,160,58.63999188956568,18.10345458984375,4267.2,145.82014774348542,3.2358925085412387,0.0,11.341382588125084
SAS92D,4cafcc,S,160,58.73899841308594,17.440441500756048,6316.9800000000005,194.1826785308357,26.089860109868756,-9.10336,15.18020123625946
SAS126,4a91f9,S,160,58.83961486816406,17.42732878654234,6339.84,216.31437329588266,29.491361803170197,-11.05408,15.279883436958901
SAS1430,4cad86,S,160,58.688545873609634,17.44683837890625,6858.0,224.45917448084032,24.509162392073318,-5.20192,16.02035578607668
RYR9SH,4ca761,S,160,59.38018798828125,17.8619384765625,1600.2,116.04561336369515,10.213972985070495,-7.80288,34.81062920454509
NSZ4114,4aca83,W,45,59.850350072828384,16.69097900390625,3848.1000000000004,194.68698014916058,95.0025298852914,-12.029440000000001,0.36778264775114494
ETH715,040102,W,45,59.85128111758474,16.68927422885237,3223.26,172.82409096833314,103.25028568627265,-7.80288,0.44322462588145495
N18B,a13e6c,W,45,59.86830139160156,16.73016357421875,4084.32,201.1897024283438,105.42216131873867,-6.1772800000000005,1.5936810168139046
SAS071,4cadda,W,45,59.94182522014036,16.90644362877155,4069.0800000000004,160.77671346613414,160.17352452453017,-8.77824,8.447976908840776
4ac9f3,4ac9f3,W,45,59.42234802246094,16.349395751953125,5547.360000000001,238.40247486704249,62.21842592097957,-11.3792,27.598047576727097
