icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
48ac82,LOT4AY,,,1778138160,58.677571,17.9132,9908.8,0.0,False,274.72,-29.271,180.94,0.82,0.0949,0.095,0.148
48ac82,LOT4AY,,,1778138161,58.680041,17.9132,9879.5,0.0,False,274.72,-29.391,181.32,0.82,0.09506,0.19,0.297
48ac82,LOT4AY,,,1778138162,58.682512,17.9132,9849.9,0.0,False,274.72,-29.511,181.7,0.82,0.09522,0.285,0.445
48ac82,LOT4AY,,,1778138163,58.684982,17.9132,9820.3,0.0,False,274.72,-29.633,182.09,0.82,0.09537,0.381,0.593
48ac82,LOT4AY,,,1778138164,58.687453,17.9132,9790.6,0.0,False,274.72,-29.756,182.47,0.82,0.09554,0.476,0.742
48ac82,LOT4AY,,,1778138165,58.689924,17.9132,9760.7,0.0,False,274.72,-29.88,182.86,0.82,0.0957,0.572,0.89
48ac82,LOT4AY,,,1778138166,58.692405,17.9132,9731.2,0.0,False,275.96,-29.483,181.88,0.82,0.09493,0.667,1.039
48ac82,LOT4AY,,,1778138167,58.694887,17.9132,9701.6,0.0,False,275.96,-29.604,182.26,0.82,0.09508,0.762,1.188
48ac82,LOT4AY,,,1778138168,58.697369,17.9132,9671.9,0.0,False,275.96,-29.725,182.64,0.82,0.09524,0.857,1.337
48ac82,LOT4AY,,,1778138169,58.69985,17.9132,9642.0,0.0,False,275.96,-29.848,183.03,0.82,0.0954,0.952,1.486
48ac82,LOT4AY,,,1778138170,58.702332,17.9132,9612.0,0.0,False,275.96,-29.973,183.42,0.82,0.09556,1.048,1.635
48ac82,LOT4AY,,,1778138171,58.704814,17.9132,9581.9,0.0,False,275.96,-30.098,183.81,0.82,0.09573,1.144,1.784
48ac82,LOT4AY,,,1778138172,58.707296,17.9132,9551.7,0.0,False,275.96,-30.224,184.2,0.82,0.09589,1.24,1.933
48ac82,LOT4AY,,,1778138173,58.709777,17.9132,9521.4,0.0,False,275.96,-30.352,184.59,0.82,0.09606,1.336,2.082
48ac82,LOT4AY,,,1778138174,58.712259,17.9132,9490.9,0.0,False,275.96,-30.481,184.99,0.82,0.09623,1.432,2.231
48ac82,LOT4AY,,,1778138175,58.714741,17.9132,9460.3,0.0,False,275.96,-30.611,185.39,0.82,0.0964,1.528,2.38
48ac82,LOT4AY,,,1778138176,58.717223,17.9132,9429.5,0.0,False,275.96,-30.742,185.79,0.82,0.09658,1.625,2.529
48ac82,LOT4AY,,,1778138177,58.719704,17.9132,9398.7,0.0,False,275.96,-30.875,186.19,0.82,0.09675,1.722,2.678
48ac82,LOT4AY,,,1778138178,58.722186,17.9132,9367.7,0.0,False,275.96,-31.008,186.6,0.82,0.09693,1.819,2.827
48ac82,LOT4AY,,,1778138179,58.724668,17.9132,9336.5,0.0,False,275.96,-31.143,187.0,0.82,0.09711,1.916,2.976
48ac82,LOT4AY,,,1778138180,58.727149,17.9132,9305.2,0.0,False,275.96,-31.28,187.41,0.82,0.09729,2.013,3.125
48ac82,LOT4AY,,,1778138181,58.729631,17.9132,9273.8,0.0,False,275.96,-31.417,187.82,0.82,0.09748,2.11,3.274
48ac82,LOT4AY,,,1778138182,58.732113,17.9132,9242.3,0.0,False,275.96,-31.556,188.24,0.82,0.09767,2.208,3.423
48ac82,LOT4AY,,,1778138183,58.734595,17.9132,9210.6,0.0,False,275.96,-31.697,188.65,0.82,0.09786,2.306,3.572
48ac82,LOT4AY,,,1778138184,58.737076,17.9132,9178.7,0.0,False,275.96,-31.839,189.07,0.82,0.09805,2.404,3.721
48ac82,LOT4AY,,,1778138185,58.739558,17.9132,9146.7,0.0,False,275.96,-31.982,189.49,0.82,0.09824,2.502,3.87
48ac82,LOT4AY,,,1778138186,58.74204,17.9132,9114.6,0.0,False,275.96,-32.126,189.91,0.82,0.09844,2.601,4.019
48ac82,LOT4AY,,,1778138187,58.744522,17.9132,9082.3,0.0,False,275.96,-32.272,190.34,0.82,0.09864,2.699,4.168
48ac82,LOT4AY,,,1778138188,58.747003,17.9132,9049.9,0.0,False,275.96,-32.419,190.77,0.82,0.09885,2.798,4.317
48ac82,LOT4AY,,,1778138189,58.749485,17.9132,9017.4,0.0,False,275.96,-32.568,191.2,0.82,0.09905,2.897,4.466
48ac82,LOT4AY,,,1778138190,58.751967,17.9132,8984.6,0.0,False,275.96,-32.718,191.63,0.82,0.09926,2.996,4.615
48ac82,LOT4AY,,,1778138191,58.754449,17.9132,8951.8,0.0,False,275.96,-32.87,192.06,0.82,0.09947,3.096,4.764
48ac82,LOT4AY,,,1778138192,58.75693,17.9132,8918.7,0.0,False,275.96,-33.023,192.5,0.82,0.09968,3.196,4.913
48ac82,LOT4AY,,,1778138193,58.759412,17.9132,8885.6,0.0,False,275.96,-33.178,192.94,0.82,0.0999,3.296,5.062
