icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
4acb03,NSZ41G,,,1778137200,59.71917,16.703389,8619.5,0.0,False,227.96,-16.872,155.48,0.6681,0.1103,0.11,0.123
4acb03,NSZ41G,,,1778137201,59.717839,16.706477,8602.6,130.5,False,227.96,-16.903,155.67,0.6681,0.11041,0.221,0.246
4acb03,NSZ41G,,,1778137202,59.716509,16.709566,8585.6,130.5,False,227.96,-16.934,155.85,0.6681,0.11052,0.331,0.369
4acb03,NSZ41G,,,1778137203,59.715178,16.712655,8568.7,130.5,False,227.96,-16.965,156.04,0.6681,0.11063,0.442,0.492
4acb03,NSZ41G,,,1778137204,59.713848,16.715743,8551.7,130.5,False,227.96,-16.997,156.22,0.6681,0.11074,0.553,0.615
4acb03,NSZ41G,,,1778137205,59.712517,16.718832,8534.6,130.5,False,227.96,-17.029,156.41,0.6681,0.11085,0.663,0.739
4acb03,NSZ41G,,,1778137206,59.711187,16.72192,8517.6,130.5,False,227.96,-17.06,156.59,0.6681,0.11096,0.774,0.862
4acb03,NSZ41G,,,1778137207,59.709857,16.725009,8500.5,130.5,False,227.96,-17.092,156.78,0.6681,0.11107,0.885,0.985
4acb03,NSZ41G,,,1778137208,59.708526,16.728098,8483.4,130.5,False,227.96,-17.124,156.97,0.6681,0.11118,0.997,1.108
4acb03,NSZ41G,,,1778137209,59.707196,16.731186,8466.2,130.5,False,227.96,-17.157,157.16,0.6681,0.11129,1.108,1.231
4acb03,NSZ41G,,,1778137210,59.705865,16.734275,8449.0,130.5,False,227.96,-17.189,157.34,0.6681,0.11141,1.219,1.354
4acb03,NSZ41G,,,1778137211,59.704535,16.737364,8431.8,130.5,False,227.96,-17.222,157.53,0.6681,0.11152,1.331,1.477
4acb03,NSZ41G,,,1778137212,59.703204,16.740452,8414.5,130.5,False,227.96,-17.254,157.72,0.6681,0.11164,1.442,1.6
4acb03,NSZ41G,,,1778137213,59.701874,16.743541,8397.3,130.5,False,227.96,-17.287,157.91,0.6681,0.11175,1.554,1.723
4acb03,NSZ41G,,,1778137214,59.700543,16.74663,8379.9,130.5,False,227.96,-17.32,158.1,0.6681,0.11187,1.666,1.846
4acb03,NSZ41G,,,1778137215,59.699213,16.749718,8362.6,130.5,False,227.96,-17.354,158.29,0.6681,0.11199,1.778,1.969
4acb03,NSZ41G,,,1778137216,59.697883,16.752807,8345.2,130.5,False,227.96,-17.387,158.48,0.6681,0.1121,1.89,2.093
4acb03,NSZ41G,,,1778137217,59.696552,16.755896,8327.8,130.5,False,227.96,-17.421,158.67,0.6681,0.11222,2.002,2.216
4acb03,NSZ41G,,,1778137218,59.695222,16.758984,8310.3,130.5,False,227.96,-17.454,158.87,0.6681,0.11234,2.115,2.339
4acb03,NSZ41G,,,1778137219,59.693891,16.762073,8292.8,130.5,False,227.96,-17.488,159.06,0.6681,0.11246,2.227,2.462
4acb03,NSZ41G,,,1778137220,59.692561,16.765161,8275.3,130.5,False,227.96,-17.522,159.25,0.6681,0.11258,2.34,2.585
4acb03,NSZ41G,,,1778137221,59.69123,16.76825,8257.8,130.5,False,227.96,-17.557,159.44,0.6681,0.1127,2.453,2.708
4acb03,NSZ41G,,,1778137222,59.6899,16.771339,8240.2,130.5,False,227.96,-17.591,159.64,0.6681,0.11282,2.565,2.831
4acb03,NSZ41G,,,1778137223,59.68857,16.774427,8222.5,130.5,False,227.96,-17.626,159.83,0.6681,0.11294,2.678,2.954
4acb03,NSZ41G,,,1778137224,59.687239,16.777516,8204.9,130.5,False,227.96,-17.66,160.03,0.6681,0.11306,2.791,3.077
4acb03,NSZ41G,,,1778137225,59.685909,16.780605,8187.2,130.5,False,227.96,-17.695,160.22,0.6681,0.11319,2.905,3.2
4acb03,NSZ41G,,,1778137226,59.684578,16.783693,8169.5,130.5,False,227.96,-17.73,160.42,0.6681,0.11331,3.018,3.323
4acb03,NSZ41G,,,1778137227,59.683248,16.786782,8151.7,130.5,False,227.96,-17.766,160.62,0.6681,0.11344,3.131,3.447
4acb03,NSZ41G,,,1778137228,59.681917,16.789871,8133.9,130.5,False,227.96,-17.801,160.81,0.6681,0.11356,3.245,3.57
4acb03,NSZ41G,,,1778137229,59.680587,16.792959,8116.1,130.5,False,227.96,-17.837,161.01,0.6681,0.11369,3.359,3.693
4acb03,NSZ41G,,,1778137230,59.679257,16.796048,8098.2,130.5,False,227.96,-17.872,161.21,0.6681,0.11381,3.472,3.816
4acb03,NSZ41G,,,1778137231,59.677926,16.799137,8080.3,130.5,False,227.96,-17.908,161.41,0.6681,0.11394,3.586,3.939
4acb03,NSZ41G,,,1778137232,59.676596,16.802225,8062.3,130.5,False,227.96,-17.945,161.6,0.6681,0.11407,3.7,4.062
4acb03,NSZ41G,,,1778137233,59.675265,16.805314,8044.3,130.5,False,227.96,-17.981,161.8,0.6681,0.1142,3.815,4.185
4acb03,NSZ41G,,,1778137234,59.673935,16.808402,8026.3,130.5,False,227.96,-18.018,162.0,0.6681,0.11433,3.929,4.308
4acb03,NSZ41G,,,1778137235,59.672604,16.811491,8008.3,130.5,False,227.96,-18.054,162.2,0.6681,0.11446,4.043,4.431
4acb03,NSZ41G,,,1778137236,59.671274,16.81458,7990.2,130.5,False,227.96,-18.091,162.41,0.6681,0.11459,4.158,4.554
4acb03,NSZ41G,,,1778137237,59.669944,16.817668,7972.1,130.5,False,227.96,-18.128,162.61,0.6681,0.11472,4.273,4.677
4acb03,NSZ41G,,,1778137238,59.668613,16.820757,7953.9,130.5,False,227.96,-18.166,162.81,0.6681,0.11485,4.387,4.801
4acb03,NSZ41G,,,1778137239,59.667283,16.823846,7935.7,130.5,False,227.96,-18.203,163.01,0.6681,0.11498,4.502,4.924
4acb03,NSZ41G,,,1778137240,59.665952,16.826934,7917.4,130.5,False,227.96,-18.241,163.22,0.6681,0.11512,4.618,5.047
4acb03,NSZ41G,,,1778137241,59.664622,16.830023,7899.2,130.5,False,227.96,-18.279,163.42,0.6681,0.11525,4.733,5.17
4acb03,NSZ41G,,,1778137242,59.663291,16.833112,7880.8,130.5,False,227.96,-18.317,163.62,0.6681,0.11539,4.848,5.293
4acb03,NSZ41G,,,1778137243,59.661961,16.8362,7862.5,130.5,False,227.96,-18.355,163.83,0.6681,0.11552,4.964,5.416
4acb03,NSZ41G,,,1778137244,59.66063,16.839289,7844.1,130.5,False,227.96,-18.393,164.03,0.6681,0.11566,5.079,5.539
4acb03,NSZ41G,,,1778137245,59.6593,16.842378,7825.7,130.5,False,227.96,-18.432,164.24,0.6681,0.1158,5.195,5.662
4acb03,NSZ41G,,,1778137246,59.65797,16.845466,7807.2,130.5,False,227.96,-18.471,164.45,0.6681,0.11594,5.311,5.785
4acb03,NSZ41G,,,1778137247,59.656639,16.848555,7788.7,130.5,False,227.96,-18.51,164.65,0.6681,0.11608,5.427,5.908
4acb03,NSZ41G,,,1778137248,59.655309,16.851643,7770.1,130.5,False,227.96,-18.549,164.86,0.6681,0.11622,5.543,6.031
4acb03,NSZ41G,,,1778137249,59.653978,16.854732,7751.6,130.5,False,227.96,-18.588,165.07,0.6681,0.11636,5.66,6.154
4acb03,NSZ41G,,,1778137250,59.652648,16.857821,7732.9,130.4,False,227.96,-18.628,165.28,0.6681,0.1165,5.776,6.278
