icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
461f62,FIN811,,,1778150955,59.729373,19.555139,7482.3,254.0,False,257.15,-19.161,164.29,0.6591,0.10192,0.102,0.139
461f62,FIN811,,,1778150956,59.728716,19.550747,7463.2,253.5,False,256.88,-19.138,164.29,0.6583,0.10194,0.204,0.278
461f62,FIN811,,,1778150957,59.728076,19.546349,7444.1,253.9,False,256.6,-19.114,164.29,0.6575,0.10197,0.306,0.416
461f62,FIN811,,,1778150958,59.727464,19.541941,7425.0,254.6,False,256.32,-19.091,164.29,0.6567,0.10199,0.408,0.555
461f62,FIN811,,,1778150959,59.726821,19.537555,7405.9,253.8,False,256.05,-19.067,164.29,0.6559,0.10202,0.51,0.693
461f62,FIN811,,,1778150960,59.726155,19.533188,7386.9,253.2,False,255.77,-19.044,164.29,0.6552,0.10205,0.612,0.831
461f62,FIN811,,,1778150961,59.725532,19.528802,7367.8,254.3,False,255.5,-19.021,164.29,0.6544,0.10208,0.714,0.969
461f62,FIN811,,,1778150962,59.724906,19.524422,7348.8,254.2,False,255.23,-18.997,164.29,0.6536,0.10211,0.816,1.107
461f62,FIN811,,,1778150963,59.724265,19.520055,7329.9,253.8,False,254.95,-18.974,164.29,0.6528,0.10214,0.918,1.244
461f62,FIN811,,,1778150964,59.723609,19.515703,7310.9,253.4,False,254.68,-18.951,164.29,0.652,0.10217,1.02,1.382
461f62,FIN811,,,1778150965,59.722985,19.511337,7292.0,254.2,False,254.41,-18.927,164.29,0.6513,0.1022,1.123,1.519
461f62,FIN811,,,1778150966,59.722352,19.506981,7273.1,253.9,False,254.14,-18.904,164.29,0.6505,0.10223,1.225,1.656
461f62,FIN811,,,1778150967,59.721713,19.502634,7254.2,253.8,False,253.87,-18.881,164.29,0.6497,0.10226,1.327,1.793
461f62,FIN811,,,1778150968,59.721103,19.498276,7235.3,254.5,False,253.6,-18.858,164.29,0.649,0.1023,1.429,1.93
461f62,FIN811,,,1778150969,59.720441,19.493952,7216.5,253.1,False,253.33,-18.835,164.29,0.6482,0.10233,1.532,2.067
461f62,FIN811,,,1778150970,59.719801,19.489621,7197.7,253.7,False,253.06,-18.812,164.29,0.6474,0.10237,1.634,2.204
461f62,FIN811,,,1778150971,59.719183,19.485282,7178.9,254.2,False,252.8,-18.788,164.29,0.6467,0.1024,1.736,2.34
461f62,FIN811,,,1778150972,59.718531,19.480968,7160.1,253.3,False,252.53,-18.765,164.29,0.6459,0.10244,1.839,2.477
