icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
461f62,FIN811,,,1778151120,59.614691,19.123064,7554.1,0.0,False,224.59,-18.683,162.59,0.6559,0.10246,0.102,0.121
461f62,FIN811,,,1778151121,59.613382,19.120028,7535.4,229.6,False,224.59,-18.729,162.8,0.6559,0.10241,0.205,0.243
461f62,FIN811,,,1778151122,59.612073,19.116991,7516.6,229.6,False,224.59,-18.774,163.0,0.6559,0.10236,0.307,0.364
461f62,FIN811,,,1778151123,59.610764,19.113955,7497.8,229.6,False,224.59,-18.82,163.21,0.6559,0.10231,0.41,0.485
461f62,FIN811,,,1778151124,59.609455,19.110919,7478.9,229.6,False,224.59,-18.866,163.42,0.6559,0.10226,0.512,0.606
461f62,FIN811,,,1778151125,59.608145,19.107883,7460.0,229.6,False,224.59,-18.913,163.63,0.6559,0.1022,0.614,0.728
461f62,FIN811,,,1778151126,59.606836,19.104847,7441.1,229.6,False,224.59,-18.959,163.84,0.6559,0.10215,0.716,0.849
461f62,FIN811,,,1778151127,59.605527,19.10181,7422.1,229.6,False,224.59,-19.006,164.05,0.6559,0.1021,0.818,0.97
461f62,FIN811,,,1778151128,59.604218,19.098774,7403.0,229.6,False,224.59,-19.054,164.26,0.6559,0.10204,0.92,1.091
461f62,FIN811,,,1778151129,59.602909,19.095738,7383.9,229.6,False,224.59,-19.101,164.47,0.6559,0.10199,1.022,1.213
461f62,FIN811,,,1778151130,59.6016,19.092702,7364.8,229.6,False,224.59,-19.149,164.68,0.6559,0.10194,1.124,1.334
461f62,FIN811,,,1778151131,59.600291,19.089666,7345.6,229.6,False,224.59,-19.197,164.89,0.6559,0.10188,1.226,1.455
461f62,FIN811,,,1778151132,59.598982,19.086629,7326.3,229.6,False,224.59,-19.245,165.1,0.6559,0.10182,1.328,1.576
461f62,FIN811,,,1778151133,59.597673,19.083593,7307.0,229.6,False,224.59,-19.294,165.32,0.6559,0.10177,1.43,1.698
461f62,FIN811,,,1778151134,59.596364,19.080557,7287.7,229.6,False,224.59,-19.343,165.53,0.6559,0.10171,1.531,1.819
461f62,FIN811,,,1778151135,59.595054,19.077521,7268.3,229.6,False,224.59,-19.392,165.75,0.6559,0.10165,1.633,1.94
461f62,FIN811,,,1778151136,59.593745,19.074485,7248.9,229.6,False,224.59,-19.442,165.96,0.6559,0.1016,1.735,2.062
461f62,FIN811,,,1778151137,59.592436,19.071448,7229.4,229.6,False,224.59,-19.491,166.18,0.6559,0.10154,1.836,2.183
461f62,FIN811,,,1778151138,59.591127,19.068412,7209.8,229.6,False,224.59,-19.541,166.4,0.6559,0.10148,1.938,2.304
461f62,FIN811,,,1778151139,59.589818,19.065376,7190.2,229.6,False,224.59,-19.592,166.62,0.6559,0.10142,2.039,2.425
461f62,FIN811,,,1778151140,59.588509,19.06234,7170.6,229.6,False,224.59,-19.642,166.83,0.6559,0.10136,2.14,2.547
461f62,FIN811,,,1778151141,59.5872,19.059304,7150.9,229.6,False,224.59,-19.693,167.05,0.6559,0.1013,2.242,2.668
461f62,FIN811,,,1778151142,59.585891,19.056267,7131.1,229.6,False,224.59,-19.745,167.27,0.6559,0.10124,2.343,2.789
461f62,FIN811,,,1778151143,59.584582,19.053231,7111.4,229.6,False,224.59,-19.796,167.49,0.6559,0.10118,2.444,2.91
461f62,FIN811,,,1778151144,59.583273,19.050195,7091.5,229.6,False,224.59,-19.848,167.72,0.6559,0.10111,2.545,3.032
461f62,FIN811,,,1778151145,59.581963,19.047159,7071.6,229.6,False,224.59,-19.9,167.94,0.6559,0.10105,2.646,3.153
461f62,FIN811,,,1778151146,59.580654,19.044123,7051.7,229.6,False,224.59,-19.953,168.16,0.6559,0.10099,2.747,3.274
461f62,FIN811,,,1778151147,59.579345,19.041086,7031.6,229.6,False,224.59,-20.006,168.39,0.6559,0.10092,2.848,3.395
461f62,FIN811,,,1778151148,59.578036,19.03805,7011.6,229.6,False,224.59,-20.059,168.61,0.6559,0.10086,2.949,3.517
461f62,FIN811,,,1778151149,59.576727,19.035014,6991.5,229.6,False,224.59,-20.112,168.84,0.6559,0.10079,3.05,3.638
461f62,FIN811,,,1778151150,59.575418,19.031978,6971.3,229.6,False,224.59,-20.166,169.06,0.6559,0.10073,3.151,3.759
461f62,FIN811,,,1778151151,59.574109,19.028942,6951.1,229.6,False,224.59,-20.22,169.29,0.6559,0.10066,3.251,3.881
461f62,FIN811,,,1778151152,59.5728,19.025905,6930.8,229.6,False,224.59,-20.275,169.52,0.6559,0.10059,3.352,4.002
461f62,FIN811,,,1778151153,59.571491,19.022869,6910.5,229.6,False,224.59,-20.329,169.74,0.6559,0.10053,3.452,4.123
461f62,FIN811,,,1778151154,59.570182,19.019833,6890.1,229.6,False,224.59,-20.384,169.97,0.6559,0.10046,3.553,4.244
461f62,FIN811,,,1778151155,59.568873,19.016797,6869.7,229.6,False,224.59,-20.44,170.2,0.6559,0.10039,3.653,4.366
461f62,FIN811,,,1778151156,59.567563,19.013761,6849.2,229.6,False,224.59,-20.496,170.43,0.6559,0.10032,3.754,4.487
461f62,FIN811,,,1778151157,59.566254,19.010724,6828.6,229.6,False,224.59,-20.552,170.66,0.6559,0.10025,3.854,4.608
461f62,FIN811,,,1778151158,59.564945,19.007688,6808.0,229.6,False,224.59,-20.608,170.9,0.6559,0.10018,3.954,4.729
461f62,FIN811,,,1778151159,59.563636,19.004652,6787.3,229.6,False,224.59,-20.665,171.13,0.6559,0.10011,4.054,4.851
461f62,FIN811,,,1778151160,59.562327,19.001616,6766.6,229.6,False,224.59,-20.722,171.36,0.6559,0.10003,4.154,4.972
461f62,FIN811,,,1778151161,59.560998,18.998533,6746.2,229.6,False,228.01,-20.42,170.46,0.6559,0.10057,4.255,5.095
461f62,FIN811,,,1778151162,59.559669,18.995451,6725.7,229.6,False,228.01,-20.475,170.69,0.6559,0.1005,4.355,5.218
461f62,FIN811,,,1778151163,59.55834,18.992368,6705.2,229.6,False,228.01,-20.531,170.92,0.6559,0.10043,4.456,5.341
461f62,FIN811,,,1778151164,59.557011,18.989286,6684.6,229.6,False,228.01,-20.587,171.15,0.6559,0.10036,4.556,5.464
461f62,FIN811,,,1778151165,59.555682,18.986203,6664.0,229.6,False,228.01,-20.643,171.38,0.6559,0.10029,4.656,5.588
461f62,FIN811,,,1778151166,59.554353,18.983121,6643.3,229.6,False,228.01,-20.7,171.61,0.6559,0.10022,4.757,5.711
461f62,FIN811,,,1778151167,59.553024,18.980039,6622.5,229.6,False,228.01,-20.757,171.85,0.6559,0.10015,4.857,5.834
461f62,FIN811,,,1778151168,59.551695,18.976956,6601.7,229.6,False,228.01,-20.815,172.08,0.6559,0.10008,4.957,5.957
461f62,FIN811,,,1778151169,59.550366,18.973874,6580.8,229.6,False,228.01,-20.872,172.32,0.6559,0.10001,5.057,6.08
461f62,FIN811,,,1778151170,59.549037,18.970791,6559.9,229.6,False,228.01,-20.93,172.55,0.6559,0.09993,5.157,6.203
461f62,FIN811,,,1778151171,59.547708,18.967709,6538.9,229.6,False,228.01,-20.989,172.79,0.6559,0.09986,5.257,6.326
461f62,FIN811,,,1778151172,59.546379,18.964626,6517.9,229.6,False,228.01,-21.048,173.03,0.6559,0.09978,5.356,6.449
461f62,FIN811,,,1778151173,59.54505,18.961544,6496.7,229.6,False,228.01,-21.107,173.27,0.6559,0.09971,5.456,6.572
461f62,FIN811,,,1778151174,59.54372,18.958461,6475.6,229.6,False,228.06,-21.182,173.55,0.656,0.09961,5.556,6.696
461f62,FIN811,,,1778151175,59.542393,18.955382,6454.4,229.6,False,227.76,-21.152,173.55,0.6552,0.09965,5.655,6.819
461f62,FIN811,,,1778151176,59.541067,18.952307,6433.3,229.6,False,227.46,-21.123,173.55,0.6543,0.0997,5.755,6.941
461f62,FIN811,,,1778151177,59.539743,18.949236,6412.2,229.6,False,227.16,-21.093,173.55,0.6535,0.09974,5.855,7.064
