icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
461e18,FIN8AZ,,,1778150880,59.614923,19.123601,8190.6,0.0,False,184.84,-13.12,130.93,0.5541,0.10543,0.105,0.1
461e18,FIN8AZ,,,1778150881,59.613845,19.121102,8177.5,229.6,False,184.84,-13.136,131.05,0.5541,0.10549,0.211,0.2
461e18,FIN8AZ,,,1778150882,59.612768,19.118603,8164.3,229.6,False,184.84,-13.152,131.17,0.5541,0.10554,0.316,0.299
461e18,FIN8AZ,,,1778150883,59.61169,19.116105,8151.2,229.6,False,184.84,-13.168,131.29,0.5541,0.1056,0.422,0.399
461e18,FIN8AZ,,,1778150884,59.610613,19.113606,8138.0,229.6,False,184.84,-13.184,131.41,0.5541,0.10565,0.528,0.499
461e18,FIN8AZ,,,1778150885,59.609536,19.111107,8124.8,229.6,False,184.84,-13.201,131.53,0.5541,0.10571,0.633,0.599
461e18,FIN8AZ,,,1778150886,59.608458,19.108608,8111.6,229.6,False,184.84,-13.217,131.66,0.5541,0.10576,0.739,0.699
461e18,FIN8AZ,,,1778150887,59.607381,19.106109,8098.3,229.6,False,184.84,-13.233,131.78,0.5541,0.10582,0.845,0.798
461e18,FIN8AZ,,,1778150888,59.606303,19.10361,8085.1,229.6,False,184.84,-13.25,131.9,0.5541,0.10587,0.951,0.898
461e18,FIN8AZ,,,1778150889,59.605226,19.101112,8071.8,229.6,False,184.84,-13.266,132.02,0.5541,0.10593,1.057,0.998
461e18,FIN8AZ,,,1778150890,59.604149,19.098613,8058.5,229.6,False,184.84,-13.283,132.14,0.5541,0.10599,1.163,1.098
461e18,FIN8AZ,,,1778150891,59.603071,19.096114,8045.2,229.6,False,184.84,-13.3,132.27,0.5541,0.10604,1.269,1.198
461e18,FIN8AZ,,,1778150892,59.601994,19.093615,8031.9,229.6,False,184.84,-13.317,132.39,0.5541,0.1061,1.375,1.297
461e18,FIN8AZ,,,1778150893,59.600916,19.091116,8018.6,229.6,False,184.84,-13.333,132.51,0.5541,0.10616,1.481,1.397
461e18,FIN8AZ,,,1778150894,59.599839,19.088617,8005.2,229.6,False,184.84,-13.35,132.64,0.5541,0.10621,1.587,1.497
461e18,FIN8AZ,,,1778150895,59.598762,19.086119,7991.9,229.6,False,184.84,-13.367,132.76,0.5541,0.10627,1.694,1.597
