icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4cafcc,SAS94Y,,,1778155020,58.677498,17.9132,8273.6,0.0,False,266.62,-29.95,189.79
4cafcc,SAS94Y,,,1778155021,58.679899,17.9132,8243.4,0.0,False,266.96,-30.189,190.43
4cafcc,SAS94Y,,,1778155022,58.682295,17.9132,8213.3,0.0,False,266.45,-30.106,190.43
4cafcc,SAS94Y,,,1778155023,58.684687,17.9132,8183.3,0.0,False,265.95,-30.026,190.43
4cafcc,SAS94Y,,,1778155024,58.687074,17.9132,8153.3,0.0,False,265.45,-29.948,190.43
4cafcc,SAS94Y,,,1778155025,58.689457,17.9132,8123.5,0.0,False,264.96,-29.872,190.43
4cafcc,SAS94Y,,,1778155026,58.691835,17.9132,8093.7,0.0,False,264.46,-29.799,190.43
4cafcc,SAS94Y,,,1778155027,58.694209,17.9132,8063.9,0.0,False,263.97,-29.728,190.43
4cafcc,SAS94Y,,,1778155028,58.696579,17.9132,8034.3,0.0,False,263.48,-29.658,190.43
4cafcc,SAS94Y,,,1778155029,58.698944,17.9132,8004.7,0.0,False,262.99,-29.59,190.43
4cafcc,SAS94Y,,,1778155030,58.701304,17.9132,7975.2,0.0,False,262.51,-29.524,190.43
4cafcc,SAS94Y,,,1778155031,58.703661,17.9132,7945.7,0.0,False,262.02,-29.459,190.43
4cafcc,SAS94Y,,,1778155032,58.706013,17.9132,7916.3,0.0,False,261.54,-29.396,190.43
4cafcc,SAS94Y,,,1778155033,58.708361,17.9132,7887.0,0.0,False,261.06,-29.333,190.43
4cafcc,SAS94Y,,,1778155034,58.710704,17.9132,7857.7,0.0,False,260.59,-29.272,190.43
4cafcc,SAS94Y,,,1778155035,58.713044,17.9132,7828.5,0.0,False,260.11,-29.213,190.43
4cafcc,SAS94Y,,,1778155036,58.715379,17.9132,7799.3,0.0,False,259.64,-29.154,190.43
4cafcc,SAS94Y,,,1778155037,58.717709,17.9132,7770.2,0.0,False,259.17,-29.096,190.43
4cafcc,SAS94Y,,,1778155038,58.720036,17.9132,7741.2,0.0,False,258.7,-29.039,190.43
4cafcc,SAS94Y,,,1778155039,58.722358,17.9132,7712.2,0.0,False,258.23,-28.983,190.43
4cafcc,SAS94Y,,,1778155040,58.724676,17.9132,7683.3,0.0,False,257.76,-28.928,190.43
4cafcc,SAS94Y,,,1778155041,58.72699,17.9132,7654.4,0.0,False,257.3,-28.873,190.43
4cafcc,SAS94Y,,,1778155042,58.729355,17.9132,7625.4,0.0,False,263.0,-28.978,190.43
4cafcc,SAS94Y,,,1778155043,58.731716,17.9132,7596.5,0.0,False,262.53,-28.922,190.43
4cafcc,SAS94Y,,,1778155044,58.734073,17.9132,7567.6,0.0,False,262.06,-28.867,190.43
4cafcc,SAS94Y,,,1778155045,58.736425,17.9132,7538.8,0.0,False,261.59,-28.813,190.43
4cafcc,SAS94Y,,,1778155046,58.738774,17.9132,7510.1,0.0,False,261.13,-28.76,190.43
4cafcc,SAS94Y,,,1778155047,58.741118,17.9132,7481.4,0.0,False,260.66,-28.707,190.43
4cafcc,SAS94Y,,,1778155048,58.743458,17.9132,7452.7,0.0,False,260.2,-28.654,190.43
4cafcc,SAS94Y,,,1778155049,58.745794,17.9132,7424.1,0.0,False,259.74,-28.603,190.43
4cafcc,SAS94Y,,,1778155050,58.748126,17.9132,7395.6,0.0,False,259.29,-28.552,190.43
4cafcc,SAS94Y,,,1778155051,58.750454,17.9132,7367.1,0.0,False,258.83,-28.501,190.43
4cafcc,SAS94Y,,,1778155052,58.752777,17.9132,7338.6,0.0,False,258.38,-28.451,190.43
4cafcc,SAS94Y,,,1778155053,58.755097,17.9132,7310.2,0.0,False,257.92,-28.402,190.43
4cafcc,SAS94Y,,,1778155054,58.757412,17.9132,7281.9,0.0,False,257.47,-28.353,190.43
4cafcc,SAS94Y,,,1778155055,58.759724,17.9132,7253.5,0.0,False,257.02,-28.304,190.43
4cafcc,SAS94Y,,,1778155056,58.762031,17.9132,7225.3,0.0,False,256.58,-28.256,190.43
4cafcc,SAS94Y,,,1778155057,58.764335,17.9132,7197.1,0.0,False,256.13,-28.208,190.43
4cafcc,SAS94Y,,,1778155058,58.766634,17.9132,7168.9,0.0,False,255.68,-28.161,190.43
4cafcc,SAS94Y,,,1778155059,58.768929,17.9132,7140.8,0.0,False,255.24,-28.114,190.43
4cafcc,SAS94Y,,,1778155060,58.771221,17.9132,7112.7,0.0,False,254.8,-28.067,190.43
4cafcc,SAS94Y,,,1778155061,58.773508,17.9132,7084.7,0.0,False,254.36,-28.021,190.43
4cafcc,SAS94Y,,,1778155062,58.775792,17.9132,7056.7,0.0,False,253.92,-27.975,190.43
4cafcc,SAS94Y,,,1778155063,58.778072,17.9132,7028.8,0.0,False,253.49,-27.929,190.43
4cafcc,SAS94Y,,,1778155064,58.780347,17.9132,7000.9,0.0,False,253.05,-27.884,190.43
4cafcc,SAS94Y,,,1778155065,58.782619,17.9132,6973.1,0.0,False,252.62,-27.839,190.43
4cafcc,SAS94Y,,,1778155066,58.784887,17.9132,6945.3,0.0,False,252.19,-27.794,190.43
4cafcc,SAS94Y,,,1778155067,58.787151,17.9132,6917.5,0.0,False,251.76,-27.75,190.43
4cafcc,SAS94Y,,,1778155068,58.789412,17.9132,6889.8,0.0,False,251.33,-27.706,190.43
4cafcc,SAS94Y,,,1778155069,58.791668,17.9132,6862.2,0.0,False,250.9,-27.662,190.43
4cafcc,SAS94Y,,,1778155070,58.793921,17.9132,6834.6,0.0,False,250.48,-27.618,190.43
4cafcc,SAS94Y,,,1778155071,58.796169,17.9132,6807.0,0.0,False,250.05,-27.574,190.43
4cafcc,SAS94Y,,,1778155072,58.798414,17.9132,6779.5,0.0,False,249.63,-27.531,190.43
4cafcc,SAS94Y,,,1778155073,58.800701,17.9132,6751.9,0.0,False,254.2,-27.591,190.43
4cafcc,SAS94Y,,,1778155074,58.802983,17.9132,6724.3,0.0,False,253.77,-27.547,190.43
4cafcc,SAS94Y,,,1778155075,58.805261,17.9132,6696.8,0.0,False,253.35,-27.504,190.43
4cafcc,SAS94Y,,,1778155076,58.807536,17.9132,6669.4,0.0,False,252.92,-27.461,190.43
4cafcc,SAS94Y,,,1778155077,58.809807,17.9132,6641.9,0.0,False,252.5,-27.418,190.43
4cafcc,SAS94Y,,,1778155078,58.812074,17.9132,6614.6,0.0,False,252.08,-27.376,190.43
4cafcc,SAS94Y,,,1778155079,58.814337,17.9132,6587.2,0.0,False,251.66,-27.333,190.43
4cafcc,SAS94Y,,,1778155080,58.816596,17.9132,6559.9,0.0,False,251.24,-27.291,190.43
4cafcc,SAS94Y,,,1778155081,58.818852,17.9132,6532.7,0.0,False,250.83,-27.249,190.43
4cafcc,SAS94Y,,,1778155082,58.821104,17.9132,6505.5,0.0,False,250.41,-27.207,190.43
4cafcc,SAS94Y,,,1778155083,58.823352,17.9132,6478.3,0.0,False,250.0,-27.166,190.43
4cafcc,SAS94Y,,,1778155084,58.825597,17.9132,6451.2,0.0,False,249.59,-27.124,190.43
4cafcc,SAS94Y,,,1778155085,58.827838,17.9132,6424.1,0.0,False,249.18,-27.083,190.43
4cafcc,SAS94Y,,,1778155086,58.830075,17.9132,6397.1,0.0,False,248.77,-27.042,190.43
4cafcc,SAS94Y,,,1778155087,58.832309,17.9132,6370.1,0.0,False,248.36,-27.001,190.43
4cafcc,SAS94Y,,,1778155088,58.834539,17.9132,6343.1,0.0,False,247.95,-26.96,190.43
4cafcc,SAS94Y,,,1778155089,58.836765,17.9132,6316.2,0.0,False,247.55,-26.92,190.43
4cafcc,SAS94Y,,,1778155090,58.838987,17.9132,6289.3,0.0,False,247.15,-26.879,190.43
4cafcc,SAS94Y,,,1778155091,58.841206,17.9132,6262.5,0.0,False,246.74,-26.839,190.43
4cafcc,SAS94Y,,,1778155092,58.843422,17.9132,6235.7,0.0,False,246.34,-26.799,190.43
4cafcc,SAS94Y,,,1778155093,58.845634,17.9132,6208.9,0.0,False,245.94,-26.759,190.43
4cafcc,SAS94Y,,,1778155094,58.847842,17.9132,6182.2,0.0,False,245.55,-26.719,190.43
4cafcc,SAS94Y,,,1778155095,58.850047,17.9132,6155.5,0.0,False,245.15,-26.679,190.43
4cafcc,SAS94Y,,,1778155096,58.852248,17.9132,6128.9,0.0,False,244.75,-26.64,190.43
4cafcc,SAS94Y,,,1778155097,58.854445,17.9132,6102.3,0.0,False,244.36,-26.6,190.43
4cafcc,SAS94Y,,,1778155098,58.856639,17.9132,6075.7,0.0,False,243.97,-26.561,190.43
4cafcc,SAS94Y,,,1778155099,58.85883,17.9132,6049.2,0.0,False,243.57,-26.522,190.43
4cafcc,SAS94Y,,,1778155100,58.861017,17.9132,6022.7,0.0,False,243.18,-26.483,190.43
4cafcc,SAS94Y,,,1778155101,58.8632,17.9132,5996.3,0.0,False,242.8,-26.444,190.43
4cafcc,SAS94Y,,,1778155102,58.86538,17.9132,5969.9,0.0,False,242.41,-26.405,190.43
4cafcc,SAS94Y,,,1778155103,58.867595,17.9132,5943.4,0.0,False,246.25,-26.443,190.43
4cafcc,SAS94Y,,,1778155104,58.869806,17.9132,5917.0,0.0,False,245.86,-26.404,190.43
4cafcc,SAS94Y,,,1778155105,58.872014,17.9132,5890.6,0.0,False,245.47,-26.365,190.43
4cafcc,SAS94Y,,,1778155106,58.874218,17.9132,5864.3,0.0,False,245.11,-26.319,190.43
4cafcc,SAS94Y,,,1778155107,58.876419,17.9132,5838.0,0.0,False,244.73,-26.281,190.43
4cafcc,SAS94Y,,,1778155108,58.878616,17.9132,5811.8,0.0,False,244.34,-26.242,190.43
4cafcc,SAS94Y,,,1778155109,58.88081,17.9132,5785.6,0.0,False,243.96,-26.204,190.43
4cafcc,SAS94Y,,,1778155110,58.883001,17.9132,5759.4,0.0,False,243.58,-26.166,190.43
4cafcc,SAS94Y,,,1778155111,58.885188,17.9132,5733.3,0.0,False,243.2,-26.128,190.43
4cafcc,SAS94Y,,,1778155112,58.887372,17.9132,5707.2,0.0,False,242.82,-26.09,190.43
4cafcc,SAS94Y,,,1778155113,58.889552,17.9132,5681.2,0.0,False,242.44,-26.052,190.43
4cafcc,SAS94Y,,,1778155114,58.891729,17.9132,5655.1,0.0,False,242.06,-26.015,190.43
4cafcc,SAS94Y,,,1778155115,58.893902,17.9132,5629.2,0.0,False,241.69,-25.977,190.43
4cafcc,SAS94Y,,,1778155116,58.896073,17.9132,5603.2,0.0,False,241.31,-25.94,190.43
4cafcc,SAS94Y,,,1778155117,58.898239,17.9132,5577.3,0.0,False,240.94,-25.902,190.43
4cafcc,SAS94Y,,,1778155118,58.900403,17.9132,5551.5,0.0,False,240.57,-25.865,190.43
4cafcc,SAS94Y,,,1778155119,58.902563,17.9132,5525.6,0.0,False,240.2,-25.828,190.43
4cafcc,SAS94Y,,,1778155120,58.90472,17.9132,5499.8,0.0,False,239.83,-25.791,190.43
4cafcc,SAS94Y,,,1778155121,58.906873,17.9132,5474.1,0.0,False,239.46,-25.754,190.43
4cafcc,SAS94Y,,,1778155122,58.909024,17.9132,5448.4,0.0,False,239.09,-25.717,190.43
4cafcc,SAS94Y,,,1778155123,58.91117,17.9132,5422.7,0.0,False,238.73,-25.68,190.43
4cafcc,SAS94Y,,,1778155124,58.913314,17.9132,5397.0,0.0,False,238.36,-25.644,190.43
4cafcc,SAS94Y,,,1778155125,58.915454,17.9132,5371.4,0.0,False,238.0,-25.607,190.43
4cafcc,SAS94Y,,,1778155126,58.917592,17.9132,5345.9,0.0,False,237.63,-25.571,190.43
4cafcc,SAS94Y,,,1778155127,58.919725,17.9132,5320.3,0.0,False,237.27,-25.534,190.43
4cafcc,SAS94Y,,,1778155128,58.921856,17.9132,5294.8,0.0,False,236.91,-25.498,190.43
4cafcc,SAS94Y,,,1778155129,58.923983,17.9132,5269.4,0.0,False,236.55,-25.462,190.43
4cafcc,SAS94Y,,,1778155130,58.926108,17.9132,5244.0,0.0,False,236.2,-25.426,190.43
4cafcc,SAS94Y,,,1778155131,58.928228,17.9132,5218.6,0.0,False,235.84,-25.39,190.43
4cafcc,SAS94Y,,,1778155132,58.930376,17.9132,5193.1,0.0,False,238.75,-25.416,190.43
4cafcc,SAS94Y,,,1778155133,58.93252,17.9132,5167.8,0.0,False,238.4,-25.38,190.43
4cafcc,SAS94Y,,,1778155134,58.93466,17.9132,5142.4,0.0,False,238.04,-25.344,190.43
4cafcc,SAS94Y,,,1778155135,58.936798,17.9132,5117.1,0.0,False,237.68,-25.308,190.43
4cafcc,SAS94Y,,,1778155136,58.938932,17.9132,5091.8,0.0,False,237.33,-25.273,190.43
4cafcc,SAS94Y,,,1778155137,58.941063,17.9132,5066.6,0.0,False,236.97,-25.237,190.43
4cafcc,SAS94Y,,,1778155138,58.943191,17.9132,5041.4,0.0,False,236.62,-25.201,190.43
4cafcc,SAS94Y,,,1778155139,58.945316,17.9132,5016.2,0.0,False,236.27,-25.166,190.43
4cafcc,SAS94Y,,,1778155140,58.947438,17.9132,4991.1,0.0,False,235.92,-25.131,190.43
4cafcc,SAS94Y,,,1778155141,58.949556,17.9132,4966.0,0.0,False,235.57,-25.095,190.43
4cafcc,SAS94Y,,,1778155142,58.951672,17.9132,4941.0,0.0,False,235.22,-25.06,190.43
4cafcc,SAS94Y,,,1778155143,58.953788,17.9132,4915.8,0.0,False,235.38,-25.175,190.86
4cafcc,SAS94Y,,,1778155144,58.955897,17.9132,4890.8,0.0,False,234.43,-24.961,190.34
4cafcc,SAS94Y,,,1778155145,58.957997,17.9132,4866.1,0.0,False,233.48,-24.748,189.83
4cafcc,SAS94Y,,,1778155146,58.960088,17.9132,4841.5,0.0,False,232.54,-24.537,189.32
4cafcc,SAS94Y,,,1778155147,58.962171,17.9132,4817.2,0.0,False,231.6,-24.328,188.8
4cafcc,SAS94Y,,,1778155148,58.964245,17.9132,4793.1,0.0,False,230.67,-24.12,188.29
4cafcc,SAS94Y,,,1778155149,58.966311,17.9132,4769.2,0.0,False,229.75,-23.913,187.77
4cafcc,SAS94Y,,,1778155150,58.968369,17.9132,4745.5,0.0,False,228.82,-23.708,187.26
4cafcc,SAS94Y,,,1778155151,58.970419,17.9132,4722.0,0.0,False,227.9,-23.505,186.74
4cafcc,SAS94Y,,,1778155152,58.97246,17.9132,4698.7,0.0,False,226.99,-23.302,186.23
4cafcc,SAS94Y,,,1778155153,58.974493,17.9132,4675.6,0.0,False,226.08,-23.101,185.71
4cafcc,SAS94Y,,,1778155154,58.976518,17.9132,4652.7,0.0,False,225.18,-22.902,185.2
4cafcc,SAS94Y,,,1778155155,58.978535,17.9132,4629.9,0.0,False,224.27,-22.704,184.69
4cafcc,SAS94Y,,,1778155156,58.980544,17.9132,4607.4,0.0,False,223.38,-22.507,184.17
4cafcc,SAS94Y,,,1778155157,58.982545,17.9132,4585.1,0.0,False,222.48,-22.312,183.66
4cafcc,SAS94Y,,,1778155158,58.984538,17.9132,4563.0,0.0,False,221.6,-22.118,183.14
4cafcc,SAS94Y,,,1778155159,58.986523,17.9132,4541.1,0.0,False,220.71,-21.926,182.63
4cafcc,SAS94Y,,,1778155160,58.988522,17.9132,4519.3,0.0,False,222.27,-21.788,182.11
4cafcc,SAS94Y,,,1778155161,58.990513,17.9132,4497.7,0.0,False,221.39,-21.598,181.6
4cafcc,SAS94Y,,,1778155162,58.992496,17.9132,4476.3,0.0,False,220.51,-21.41,181.08
4cafcc,SAS94Y,,,1778155163,58.994471,17.9132,4455.1,0.0,False,219.63,-21.223,180.57
4cafcc,SAS94Y,,,1778155164,58.996438,17.9132,4434.0,0.0,False,218.76,-21.037,180.06
4cafcc,SAS94Y,,,1778155165,58.998398,17.9132,4413.2,0.0,False,217.89,-20.852,179.54
4cafcc,SAS94Y,,,1778155166,59.00035,17.9132,4392.5,0.0,False,217.02,-20.669,179.03
4cafcc,SAS94Y,,,1778155167,59.002294,17.9132,4372.0,0.0,False,216.16,-20.488,178.51
4cafcc,SAS94Y,,,1778155168,59.00423,17.9132,4351.7,0.0,False,215.3,-20.307,178.0
4cafcc,SAS94Y,,,1778155169,59.006158,17.9132,4331.6,0.0,False,214.45,-20.128,177.48
4cafcc,SAS94Y,,,1778155170,59.008079,17.9132,4311.6,0.0,False,213.6,-19.951,176.97
4cafcc,SAS94Y,,,1778155171,59.009993,17.9132,4291.9,0.0,False,212.75,-19.775,176.45
4cafcc,SAS94Y,,,1778155172,59.011898,17.9132,4272.3,0.0,False,211.91,-19.6,175.94
4cafcc,SAS94Y,,,1778155173,59.013797,17.9132,4252.8,0.0,False,211.07,-19.426,175.43
4cafcc,SAS94Y,,,1778155174,59.015687,17.9132,4233.6,0.0,False,210.23,-19.254,174.91
4cafcc,SAS94Y,,,1778155175,59.01757,17.9132,4214.5,0.0,False,209.39,-19.084,174.4
4cafcc,SAS94Y,,,1778155176,59.019446,17.9132,4195.6,0.0,False,208.56,-18.914,173.88
4cafcc,SAS94Y,,,1778155177,59.021314,17.9132,4176.8,0.0,False,207.74,-18.746,173.37
4cafcc,SAS94Y,,,1778155178,59.023175,17.9132,4158.3,0.0,False,206.91,-18.58,172.85
4cafcc,SAS94Y,,,1778155179,59.025029,17.9132,4139.8,0.0,False,206.09,-18.415,172.34
4cafcc,SAS94Y,,,1778155180,59.026875,17.9132,4121.6,0.0,False,205.28,-18.251,171.82
4cafcc,SAS94Y,,,1778155181,59.028713,17.9132,4103.5,0.0,False,204.46,-18.088,171.31
4cafcc,SAS94Y,,,1778155182,59.030545,17.9132,4085.6,0.0,False,203.65,-17.927,170.8
4cafcc,SAS94Y,,,1778155183,59.032369,17.9132,4067.8,0.0,False,202.84,-17.767,170.28
4cafcc,SAS94Y,,,1778155184,59.034186,17.9132,4050.2,0.0,False,202.04,-17.609,169.77
4cafcc,SAS94Y,,,1778155185,59.035996,17.9132,4032.7,0.0,False,201.24,-17.451,169.25
4cafcc,SAS94Y,,,1778155186,59.037798,17.9132,4015.4,0.0,False,200.44,-17.296,168.74
