icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
89630e,UAE4T,,,1778156640,58.6751,17.908367,12967.4,0.0,False,279.41,-17.534,145.87
89630e,UAE4T,,,1778156641,58.6751,17.903534,12949.9,270.0,False,279.41,-17.537,146.06
89630e,UAE4T,,,1778156642,58.6751,17.8987,12932.4,270.0,False,279.41,-17.541,146.25
89630e,UAE4T,,,1778156643,58.6751,17.893867,12914.8,270.0,False,279.41,-17.546,146.45
89630e,UAE4T,,,1778156644,58.6751,17.889034,12897.3,270.0,False,279.41,-17.55,146.64
89630e,UAE4T,,,1778156645,58.6751,17.884201,12879.7,270.0,False,279.41,-17.555,146.83
89630e,UAE4T,,,1778156646,58.6751,17.879367,12862.2,270.0,False,279.41,-17.56,147.03
89630e,UAE4T,,,1778156647,58.6751,17.874532,12844.6,270.0,False,279.55,-17.565,147.23
89630e,UAE4T,,,1778156648,58.6751,17.869696,12827.0,270.0,False,279.55,-17.571,147.42
89630e,UAE4T,,,1778156649,58.6751,17.86486,12809.4,270.0,False,279.55,-17.577,147.62
89630e,UAE4T,,,1778156650,58.6751,17.860024,12791.9,270.0,False,279.55,-17.584,147.81
89630e,UAE4T,,,1778156651,58.6751,17.855189,12774.3,270.0,False,279.55,-17.59,148.01
89630e,UAE4T,,,1778156652,58.6751,17.850353,12756.7,270.0,False,279.55,-17.597,148.21
89630e,UAE4T,,,1778156653,58.6751,17.845517,12739.1,270.0,False,279.55,-17.604,148.4
89630e,UAE4T,,,1778156654,58.6751,17.840682,12721.5,270.0,False,279.55,-17.612,148.6
89630e,UAE4T,,,1778156655,58.6751,17.835846,12703.8,270.0,False,279.55,-17.62,148.8
89630e,UAE4T,,,1778156656,58.6751,17.83101,12686.2,270.0,False,279.55,-17.628,149.0
89630e,UAE4T,,,1778156657,58.6751,17.826175,12668.6,270.0,False,279.55,-17.637,149.19
89630e,UAE4T,,,1778156658,58.6751,17.821339,12650.9,270.0,False,279.55,-17.645,149.39
89630e,UAE4T,,,1778156659,58.6751,17.816503,12633.3,270.0,False,279.55,-17.654,149.59
89630e,UAE4T,,,1778156660,58.6751,17.811667,12615.6,270.0,False,279.55,-17.664,149.79
89630e,UAE4T,,,1778156661,58.6751,17.806832,12597.9,270.0,False,279.55,-17.673,149.99
89630e,UAE4T,,,1778156662,58.6751,17.801996,12580.2,270.0,False,279.55,-17.683,150.19
89630e,UAE4T,,,1778156663,58.6751,17.79716,12562.6,270.0,False,279.55,-17.693,150.39
89630e,UAE4T,,,1778156664,58.6751,17.792325,12544.8,270.0,False,279.55,-17.704,150.59
89630e,UAE4T,,,1778156665,58.6751,17.787489,12527.1,270.0,False,279.55,-17.714,150.79
89630e,UAE4T,,,1778156666,58.6751,17.782653,12509.4,270.0,False,279.55,-17.725,150.99
