icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
502d0f,BTI1X9,,,1778259960,59.61473,19.123155,7488.5,0.0,False,217.8,-16.236,152.56
502d0f,BTI1X9,,,1778259961,59.613461,19.120211,7472.2,229.6,False,217.8,-16.27,152.73
502d0f,BTI1X9,,,1778259962,59.612191,19.117266,7455.9,229.6,False,217.8,-16.304,152.9
502d0f,BTI1X9,,,1778259963,59.610922,19.114322,7439.6,229.6,False,217.8,-16.337,153.07
502d0f,BTI1X9,,,1778259964,59.609652,19.111377,7423.2,229.6,False,217.8,-16.372,153.24
502d0f,BTI1X9,,,1778259965,59.608383,19.108433,7406.8,229.6,False,217.8,-16.406,153.41
502d0f,BTI1X9,,,1778259966,59.607113,19.105488,7390.4,229.6,False,217.8,-16.44,153.58
502d0f,BTI1X9,,,1778259967,59.605843,19.102544,7373.9,229.6,False,217.8,-16.475,153.75
502d0f,BTI1X9,,,1778259968,59.604574,19.099599,7357.4,229.6,False,217.8,-16.51,153.93
502d0f,BTI1X9,,,1778259969,59.603304,19.096655,7340.8,229.6,False,217.8,-16.545,154.1
502d0f,BTI1X9,,,1778259970,59.602035,19.09371,7324.3,229.6,False,217.8,-16.58,154.27
502d0f,BTI1X9,,,1778259971,59.600765,19.090766,7307.7,229.6,False,217.8,-16.615,154.44
502d0f,BTI1X9,,,1778259972,59.599496,19.087821,7291.0,229.6,False,217.8,-16.651,154.62
502d0f,BTI1X9,,,1778259973,59.598226,19.084877,7274.3,229.6,False,217.8,-16.686,154.79
502d0f,BTI1X9,,,1778259974,59.596957,19.081932,7257.6,229.6,False,217.8,-16.722,154.97
502d0f,BTI1X9,,,1778259975,59.595687,19.078988,7240.8,229.6,False,217.8,-16.758,155.14
502d0f,BTI1X9,,,1778259976,59.594417,19.076043,7224.0,229.6,False,217.8,-16.794,155.32
502d0f,BTI1X9,,,1778259977,59.593148,19.073099,7207.2,229.6,False,217.8,-16.831,155.49
502d0f,BTI1X9,,,1778259978,59.591878,19.070154,7190.3,229.6,False,217.8,-16.867,155.67
502d0f,BTI1X9,,,1778259979,59.590609,19.06721,7173.4,229.6,False,217.8,-16.904,155.85
502d0f,BTI1X9,,,1778259980,59.589339,19.064265,7156.5,229.6,False,217.8,-16.941,156.03
502d0f,BTI1X9,,,1778259981,59.58807,19.061321,7139.5,229.6,False,217.8,-16.978,156.2
502d0f,BTI1X9,,,1778259982,59.5868,19.058376,7122.5,229.6,False,217.8,-17.016,156.38
502d0f,BTI1X9,,,1778259983,59.58553,19.055432,7105.5,229.6,False,217.8,-17.053,156.56
502d0f,BTI1X9,,,1778259984,59.584261,19.052487,7088.4,229.6,False,217.8,-17.091,156.74
502d0f,BTI1X9,,,1778259985,59.582991,19.049542,7071.2,229.6,False,217.8,-17.129,156.92
502d0f,BTI1X9,,,1778259986,59.581722,19.046598,7054.1,229.6,False,217.8,-17.167,157.1
502d0f,BTI1X9,,,1778259987,59.580452,19.043653,7036.9,229.6,False,217.8,-17.205,157.28
502d0f,BTI1X9,,,1778259988,59.579183,19.040709,7019.6,229.6,False,217.8,-17.244,157.46
502d0f,BTI1X9,,,1778259989,59.577913,19.037764,7002.3,229.6,False,217.8,-17.283,157.65
502d0f,BTI1X9,,,1778259990,59.576643,19.03482,6985.0,229.6,False,217.8,-17.322,157.83
502d0f,BTI1X9,,,1778259991,59.575374,19.031875,6967.6,229.6,False,217.8,-17.361,158.01
502d0f,BTI1X9,,,1778259992,59.574104,19.028931,6950.2,229.6,False,217.8,-17.4,158.2
502d0f,BTI1X9,,,1778259993,59.572835,19.025986,6932.8,229.6,False,217.8,-17.44,158.38
502d0f,BTI1X9,,,1778259994,59.571565,19.023042,6915.3,229.6,False,217.8,-17.48,158.56
502d0f,BTI1X9,,,1778259995,59.570296,19.020097,6897.8,229.6,False,217.8,-17.52,158.75
502d0f,BTI1X9,,,1778259996,59.569026,19.017153,6880.2,229.6,False,217.8,-17.56,158.94
502d0f,BTI1X9,,,1778259997,59.567756,19.014208,6862.6,229.6,False,217.8,-17.6,159.12
502d0f,BTI1X9,,,1778259998,59.566487,19.011264,6845.0,229.6,False,217.8,-17.641,159.31
502d0f,BTI1X9,,,1778259999,59.565217,19.008319,6827.3,229.6,False,217.8,-17.682,159.5
502d0f,BTI1X9,,,1778260000,59.563948,19.005375,6809.6,229.6,False,217.8,-17.723,159.68
502d0f,BTI1X9,,,1778260001,59.562678,19.00243,6791.8,229.6,False,217.8,-17.764,159.87
502d0f,BTI1X9,,,1778260002,59.561409,18.999486,6774.0,229.6,False,217.8,-17.805,160.06
502d0f,BTI1X9,,,1778260003,59.560139,18.996541,6756.2,229.6,False,217.8,-17.847,160.25
502d0f,BTI1X9,,,1778260004,59.558855,18.993562,6738.6,229.6,False,220.34,-17.586,159.38
502d0f,BTI1X9,,,1778260005,59.55757,18.990584,6721.0,229.6,False,220.34,-17.626,159.56
502d0f,BTI1X9,,,1778260006,59.556286,18.987605,6703.3,229.6,False,220.34,-17.666,159.75
502d0f,BTI1X9,,,1778260007,59.555002,18.984626,6685.6,229.6,False,220.34,-17.707,159.94
502d0f,BTI1X9,,,1778260008,59.553717,18.981647,6667.9,229.6,False,220.34,-17.748,160.13
502d0f,BTI1X9,,,1778260009,59.552433,18.978668,6650.1,229.6,False,220.34,-17.789,160.31
502d0f,BTI1X9,,,1778260010,59.551149,18.97569,6632.2,229.6,False,220.34,-17.83,160.5
502d0f,BTI1X9,,,1778260011,59.549864,18.972711,6614.4,229.6,False,220.34,-17.872,160.69
502d0f,BTI1X9,,,1778260012,59.54858,18.969732,6596.4,229.6,False,220.34,-17.914,160.88
502d0f,BTI1X9,,,1778260013,59.547296,18.966753,6578.5,229.6,False,220.34,-17.956,161.07
502d0f,BTI1X9,,,1778260014,59.546011,18.963774,6560.5,229.6,False,220.34,-17.998,161.26
502d0f,BTI1X9,,,1778260015,59.544727,18.960796,6542.5,229.6,False,220.34,-18.041,161.46
502d0f,BTI1X9,,,1778260016,59.543443,18.957817,6524.4,229.6,False,220.34,-18.083,161.65
502d0f,BTI1X9,,,1778260017,59.542158,18.954838,6506.2,229.6,False,220.34,-18.126,161.84
502d0f,BTI1X9,,,1778260018,59.540874,18.951859,6488.1,229.6,False,220.34,-18.17,162.04
