icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4d22b9,RYR6TR,,,1778486700,59.844341,16.7003,13213.5,0.0,False,228.9,-13.566,113.87
4d22b9,RYR6TR,,,1778486701,59.842283,16.7003,13199.9,180.0,False,228.9,-13.553,113.99
4d22b9,RYR6TR,,,1778486702,59.840224,16.7003,13186.4,180.0,False,228.9,-13.541,114.11
4d22b9,RYR6TR,,,1778486703,59.838166,16.7003,13172.9,180.0,False,228.9,-13.529,114.23
4d22b9,RYR6TR,,,1778486704,59.836107,16.7003,13159.3,180.0,False,228.9,-13.518,114.35
4d22b9,RYR6TR,,,1778486705,59.834049,16.7003,13145.8,180.0,False,228.9,-13.507,114.47
4d22b9,RYR6TR,,,1778486706,59.83199,16.7003,13132.3,180.0,False,228.9,-13.496,114.58
4d22b9,RYR6TR,,,1778486707,59.829932,16.7003,13118.9,180.0,False,228.9,-13.485,114.7
4d22b9,RYR6TR,,,1778486708,59.827873,16.7003,13105.4,180.0,False,228.9,-13.475,114.82
4d22b9,RYR6TR,,,1778486709,59.825815,16.7003,13091.9,180.0,False,228.9,-13.465,114.94
4d22b9,RYR6TR,,,1778486710,59.823756,16.7003,13078.5,180.0,False,228.9,-13.456,115.06
4d22b9,RYR6TR,,,1778486711,59.821698,16.7003,13065.0,180.0,False,228.9,-13.446,115.18
4d22b9,RYR6TR,,,1778486712,59.819639,16.7003,13051.6,180.0,False,228.9,-13.437,115.3
4d22b9,RYR6TR,,,1778486713,59.817581,16.7003,13038.2,180.0,False,228.9,-13.428,115.41
4d22b9,RYR6TR,,,1778486714,59.815522,16.7003,13024.7,180.0,False,228.9,-13.42,115.53
4d22b9,RYR6TR,,,1778486715,59.813464,16.7003,13011.3,180.0,False,228.9,-13.411,115.65
4d22b9,RYR6TR,,,1778486716,59.811405,16.7003,12997.9,180.0,False,228.9,-13.403,115.77
4d22b9,RYR6TR,,,1778486717,59.809346,16.7003,12984.5,180.0,False,228.9,-13.396,115.89
4d22b9,RYR6TR,,,1778486718,59.807288,16.7003,12971.1,180.0,False,228.9,-13.388,116.01
4d22b9,RYR6TR,,,1778486719,59.805229,16.7003,12957.8,180.0,False,228.9,-13.381,116.13
4d22b9,RYR6TR,,,1778486720,59.803171,16.7003,12944.4,180.0,False,228.9,-13.374,116.25
4d22b9,RYR6TR,,,1778486721,59.801112,16.7003,12931.0,180.0,False,228.9,-13.367,116.37
4d22b9,RYR6TR,,,1778486722,59.799054,16.7003,12917.6,180.0,False,228.9,-13.361,116.48
4d22b9,RYR6TR,,,1778486723,59.796995,16.7003,12904.3,180.0,False,228.9,-13.355,116.6
4d22b9,RYR6TR,,,1778486724,59.794937,16.7003,12890.9,180.0,False,228.9,-13.349,116.72
4d22b9,RYR6TR,,,1778486725,59.792878,16.7003,12877.6,180.0,False,228.9,-13.343,116.84
4d22b9,RYR6TR,,,1778486726,59.79082,16.7003,12864.3,180.0,False,228.9,-13.337,116.96
4d22b9,RYR6TR,,,1778486727,59.788761,16.7003,12850.9,180.0,False,228.9,-13.332,117.08
4d22b9,RYR6TR,,,1778486728,59.786703,16.7003,12837.6,180.0,False,228.9,-13.327,117.2
4d22b9,RYR6TR,,,1778486729,59.784644,16.7003,12824.3,180.0,False,228.9,-13.322,117.32
4d22b9,RYR6TR,,,1778486730,59.782586,16.7003,12811.0,180.0,False,228.9,-13.318,117.44
4d22b9,RYR6TR,,,1778486731,59.780527,16.7003,12797.7,180.0,False,228.9,-13.314,117.56
4d22b9,RYR6TR,,,1778486732,59.778469,16.7003,12784.3,180.0,False,228.9,-13.31,117.68
4d22b9,RYR6TR,,,1778486733,59.77641,16.7003,12771.0,180.0,False,228.9,-13.306,117.8
4d22b9,RYR6TR,,,1778486734,59.774351,16.7003,12757.7,180.0,False,228.9,-13.302,117.92
4d22b9,RYR6TR,,,1778486735,59.772293,16.7003,12744.4,180.0,False,228.9,-13.299,118.04
4d22b9,RYR6TR,,,1778486736,59.770234,16.7003,12731.1,180.0,False,228.9,-13.296,118.16
4d22b9,RYR6TR,,,1778486737,59.768176,16.7003,12717.8,180.0,False,228.9,-13.293,118.28
4d22b9,RYR6TR,,,1778486738,59.766117,16.7003,12704.6,180.0,False,228.9,-13.29,118.4
4d22b9,RYR6TR,,,1778486739,59.764059,16.7003,12691.3,180.0,False,228.9,-13.288,118.52
4d22b9,RYR6TR,,,1778486740,59.762,16.7003,12678.0,180.0,False,228.9,-13.286,118.64
4d22b9,RYR6TR,,,1778486741,59.759942,16.7003,12664.7,180.0,False,228.9,-13.284,118.76
4d22b9,RYR6TR,,,1778486742,59.757883,16.7003,12651.4,180.0,False,228.9,-13.282,118.88
4d22b9,RYR6TR,,,1778486743,59.755825,16.7003,12638.1,180.0,False,228.9,-13.28,119.0
4d22b9,RYR6TR,,,1778486744,59.753766,16.7003,12624.9,180.0,False,228.9,-13.279,119.13
4d22b9,RYR6TR,,,1778486745,59.751708,16.7003,12611.6,180.0,False,228.9,-13.278,119.25
4d22b9,RYR6TR,,,1778486746,59.749649,16.7003,12598.3,180.0,False,228.9,-13.277,119.37
4d22b9,RYR6TR,,,1778486747,59.747591,16.7003,12585.0,180.0,False,228.9,-13.276,119.49
4d22b9,RYR6TR,,,1778486748,59.745532,16.7003,12571.8,180.0,False,228.9,-13.276,119.61
4d22b9,RYR6TR,,,1778486749,59.743474,16.7003,12558.5,180.0,False,228.9,-13.275,119.73
4d22b9,RYR6TR,,,1778486750,59.741415,16.7003,12545.2,180.0,False,228.9,-13.275,119.85
4d22b9,RYR6TR,,,1778486751,59.739356,16.7003,12531.9,180.0,False,228.9,-13.275,119.98
4d22b9,RYR6TR,,,1778486752,59.737298,16.7003,12518.6,180.0,False,228.9,-13.276,120.1
4d22b9,RYR6TR,,,1778486753,59.735239,16.7003,12505.4,180.0,False,228.9,-13.276,120.22
4d22b9,RYR6TR,,,1778486754,59.733181,16.7003,12492.1,180.0,False,228.9,-13.277,120.34
4d22b9,RYR6TR,,,1778486755,59.731122,16.7003,12478.8,180.0,False,228.9,-13.278,120.46
4d22b9,RYR6TR,,,1778486756,59.729064,16.7003,12465.5,180.0,False,228.9,-13.279,120.59
4d22b9,RYR6TR,,,1778486757,59.727005,16.7003,12452.3,180.0,False,228.9,-13.28,120.71
4d22b9,RYR6TR,,,1778486758,59.724947,16.7003,12439.0,180.0,False,228.9,-13.281,120.83
4d22b9,RYR6TR,,,1778486759,59.722888,16.7003,12425.7,180.0,False,228.9,-13.283,120.95
4d22b9,RYR6TR,,,1778486760,59.72083,16.7003,12412.4,180.0,False,228.9,-13.285,121.08
4d22b9,RYR6TR,,,1778486761,59.718771,16.7003,12399.1,180.0,False,228.9,-13.287,121.2
4d22b9,RYR6TR,,,1778486762,59.716713,16.7003,12385.8,180.0,False,228.9,-13.289,121.32
4d22b9,RYR6TR,,,1778486763,59.714654,16.7003,12372.5,180.0,False,228.9,-13.292,121.45
4d22b9,RYR6TR,,,1778486764,59.712596,16.7003,12359.2,180.0,False,228.9,-13.294,121.57
4d22b9,RYR6TR,,,1778486765,59.710537,16.7003,12346.0,180.0,False,228.9,-13.297,121.69
4d22b9,RYR6TR,,,1778486766,59.708478,16.7003,12332.7,180.0,False,228.9,-13.3,121.82
4d22b9,RYR6TR,,,1778486767,59.70642,16.7003,12319.3,180.0,False,228.9,-13.303,121.94
4d22b9,RYR6TR,,,1778486768,59.704361,16.7003,12306.0,180.0,False,228.9,-13.307,122.07
4d22b9,RYR6TR,,,1778486769,59.702303,16.7003,12292.7,180.0,False,228.9,-13.31,122.19
4d22b9,RYR6TR,,,1778486770,59.700244,16.7003,12279.4,180.0,False,228.9,-13.314,122.31
4d22b9,RYR6TR,,,1778486771,59.698186,16.7003,12266.1,180.0,False,228.9,-13.318,122.44
4d22b9,RYR6TR,,,1778486772,59.696127,16.7003,12252.8,180.0,False,228.9,-13.322,122.56
4d22b9,RYR6TR,,,1778486773,59.694069,16.7003,12239.5,180.0,False,228.9,-13.326,122.69
4d22b9,RYR6TR,,,1778486774,59.69201,16.7003,12226.1,180.0,False,228.9,-13.331,122.81
4d22b9,RYR6TR,,,1778486775,59.689952,16.7003,12212.8,180.0,False,228.9,-13.335,122.94
4d22b9,RYR6TR,,,1778486776,59.687893,16.7003,12199.4,180.0,False,228.9,-13.34,123.06
4d22b9,RYR6TR,,,1778486777,59.685835,16.7003,12186.1,180.0,False,228.9,-13.345,123.19
4d22b9,RYR6TR,,,1778486778,59.683776,16.7003,12172.8,180.0,False,228.9,-13.35,123.31
4d22b9,RYR6TR,,,1778486779,59.681718,16.7003,12159.4,180.0,False,228.9,-13.355,123.44
4d22b9,RYR6TR,,,1778486780,59.679659,16.7003,12146.0,180.0,False,228.9,-13.361,123.57
4d22b9,RYR6TR,,,1778486781,59.677601,16.7003,12132.7,180.0,False,228.9,-13.367,123.69
4d22b9,RYR6TR,,,1778486782,59.675542,16.7003,12119.3,180.0,False,228.9,-13.372,123.82
4d22b9,RYR6TR,,,1778486783,59.673483,16.7003,12105.9,180.0,False,228.9,-13.378,123.94
4d22b9,RYR6TR,,,1778486784,59.671425,16.7003,12092.5,180.0,False,228.9,-13.385,124.07
4d22b9,RYR6TR,,,1778486785,59.669366,16.7003,12079.1,180.0,False,228.9,-13.391,124.2
4d22b9,RYR6TR,,,1778486786,59.667308,16.7003,12065.7,180.0,False,228.9,-13.398,124.33
4d22b9,RYR6TR,,,1778486787,59.665249,16.7003,12052.3,180.0,False,228.9,-13.404,124.45
4d22b9,RYR6TR,,,1778486788,59.663191,16.7003,12038.9,180.0,False,228.9,-13.411,124.58
4d22b9,RYR6TR,,,1778486789,59.661132,16.7003,12025.5,180.0,False,228.9,-13.418,124.71
4d22b9,RYR6TR,,,1778486790,59.659074,16.7003,12012.1,180.0,False,228.9,-13.425,124.84
4d22b9,RYR6TR,,,1778486791,59.657015,16.7003,11998.7,180.0,False,228.9,-13.433,124.96
4d22b9,RYR6TR,,,1778486792,59.654957,16.7003,11985.2,180.0,False,228.9,-13.44,125.09
4d22b9,RYR6TR,,,1778486793,59.652898,16.7003,11971.8,180.0,False,228.9,-13.448,125.22
4d22b9,RYR6TR,,,1778486794,59.65084,16.7003,11958.3,180.0,False,228.9,-13.456,125.35
4d22b9,RYR6TR,,,1778486795,59.648781,16.7003,11944.8,180.0,False,228.9,-13.464,125.48
4d22b9,RYR6TR,,,1778486796,59.646723,16.7003,11931.4,180.0,False,228.9,-13.472,125.61
4d22b9,RYR6TR,,,1778486797,59.644664,16.7003,11917.9,180.0,False,228.9,-13.48,125.74
4d22b9,RYR6TR,,,1778486798,59.642606,16.7003,11904.4,180.0,False,228.9,-13.489,125.87
4d22b9,RYR6TR,,,1778486799,59.640547,16.7003,11890.9,180.0,False,228.9,-13.498,125.99
4d22b9,RYR6TR,,,1778486800,59.638488,16.7003,11877.4,180.0,False,228.9,-13.507,126.12
4d22b9,RYR6TR,,,1778486801,59.63643,16.7003,11863.9,180.0,False,228.9,-13.516,126.25
4d22b9,RYR6TR,,,1778486802,59.634371,16.7003,11850.4,180.0,False,228.9,-13.525,126.38
4d22b9,RYR6TR,,,1778486803,59.632313,16.7003,11836.8,180.0,False,228.9,-13.534,126.52
4d22b9,RYR6TR,,,1778486804,59.630254,16.7003,11823.3,180.0,False,228.9,-13.544,126.65
4d22b9,RYR6TR,,,1778486805,59.628196,16.7003,11809.7,180.0,False,228.9,-13.553,126.78
4d22b9,RYR6TR,,,1778486806,59.62614,16.7003,11796.2,180.0,False,228.59,-13.564,126.94
4d22b9,RYR6TR,,,1778486807,59.624084,16.7003,11782.6,180.0,False,228.59,-13.574,127.07
4d22b9,RYR6TR,,,1778486808,59.622029,16.7003,11769.0,180.0,False,228.59,-13.584,127.2
4d22b9,RYR6TR,,,1778486809,59.619973,16.7003,11755.4,180.0,False,228.59,-13.595,127.33
4d22b9,RYR6TR,,,1778486810,59.617917,16.7003,11741.8,180.0,False,228.59,-13.605,127.46
4d22b9,RYR6TR,,,1778486811,59.615861,16.7003,11728.2,180.0,False,228.59,-13.616,127.6
4d22b9,RYR6TR,,,1778486812,59.613806,16.7003,11714.6,180.0,False,228.59,-13.627,127.73
4d22b9,RYR6TR,,,1778486813,59.61175,16.7003,11700.9,180.0,False,228.59,-13.638,127.86
4d22b9,RYR6TR,,,1778486814,59.609694,16.7003,11687.3,180.0,False,228.59,-13.649,127.99
4d22b9,RYR6TR,,,1778486815,59.607639,16.7003,11673.6,180.0,False,228.59,-13.66,128.13
4d22b9,RYR6TR,,,1778486816,59.605583,16.7003,11659.9,180.0,False,228.59,-13.672,128.26
4d22b9,RYR6TR,,,1778486817,59.603527,16.7003,11646.3,180.0,False,228.59,-13.683,128.39
4d22b9,RYR6TR,,,1778486818,59.601471,16.7003,11632.6,180.0,False,228.59,-13.695,128.53
4d22b9,RYR6TR,,,1778486819,59.599416,16.7003,11618.9,180.0,False,228.59,-13.707,128.66
4d22b9,RYR6TR,,,1778486820,59.59736,16.7003,11605.1,180.0,False,228.59,-13.719,128.8
4d22b9,RYR6TR,,,1778486821,59.595304,16.7003,11591.4,180.0,False,228.59,-13.732,128.93
4d22b9,RYR6TR,,,1778486822,59.593248,16.7003,11577.7,180.0,False,228.59,-13.744,129.07
4d22b9,RYR6TR,,,1778486823,59.591193,16.7003,11563.9,180.0,False,228.59,-13.757,129.2
4d22b9,RYR6TR,,,1778486824,59.589137,16.7003,11550.1,180.0,False,228.59,-13.77,129.34
4d22b9,RYR6TR,,,1778486825,59.587081,16.7003,11536.4,180.0,False,228.59,-13.782,129.47
4d22b9,RYR6TR,,,1778486826,59.585026,16.7003,11522.6,180.0,False,228.59,-13.796,129.61
4d22b9,RYR6TR,,,1778486827,59.58297,16.7003,11508.7,180.0,False,228.59,-13.809,129.75
4d22b9,RYR6TR,,,1778486828,59.580914,16.7003,11494.9,180.0,False,228.59,-13.822,129.88
4d22b9,RYR6TR,,,1778486829,59.578858,16.7003,11481.1,180.0,False,228.59,-13.836,130.02
4d22b9,RYR6TR,,,1778486830,59.576803,16.7003,11467.2,180.0,False,228.59,-13.849,130.16
4d22b9,RYR6TR,,,1778486831,59.574747,16.7003,11453.4,180.0,False,228.59,-13.863,130.29
4d22b9,RYR6TR,,,1778486832,59.572691,16.7003,11439.5,180.0,False,228.59,-13.877,130.43
4d22b9,RYR6TR,,,1778486833,59.570635,16.7003,11425.6,180.0,False,228.59,-13.891,130.57
4d22b9,RYR6TR,,,1778486834,59.56858,16.7003,11411.7,180.0,False,228.59,-13.906,130.71
4d22b9,RYR6TR,,,1778486835,59.566524,16.7003,11397.8,180.0,False,228.59,-13.92,130.85
4d22b9,RYR6TR,,,1778486836,59.564468,16.7003,11383.8,180.0,False,228.59,-13.935,130.98
4d22b9,RYR6TR,,,1778486837,59.562413,16.7003,11369.9,180.0,False,228.59,-13.95,131.12
4d22b9,RYR6TR,,,1778486838,59.560357,16.7003,11355.9,180.0,False,228.59,-13.965,131.26
4d22b9,RYR6TR,,,1778486839,59.558301,16.7003,11342.0,180.0,False,228.59,-13.98,131.4
4d22b9,RYR6TR,,,1778486840,59.556245,16.7003,11328.0,180.0,False,228.59,-13.995,131.54
4d22b9,RYR6TR,,,1778486841,59.55419,16.7003,11313.9,180.0,False,228.59,-14.011,131.68
4d22b9,RYR6TR,,,1778486842,59.552134,16.7003,11299.9,180.0,False,228.59,-14.026,131.82
4d22b9,RYR6TR,,,1778486843,59.550078,16.7003,11285.9,180.0,False,228.59,-14.042,131.96
4d22b9,RYR6TR,,,1778486844,59.548022,16.7003,11271.8,180.0,False,228.59,-14.058,132.1
4d22b9,RYR6TR,,,1778486845,59.545967,16.7003,11257.7,180.0,False,228.59,-14.074,132.25
4d22b9,RYR6TR,,,1778486846,59.543911,16.7003,11243.7,180.0,False,228.59,-14.09,132.39
4d22b9,RYR6TR,,,1778486847,59.541855,16.7003,11229.5,180.0,False,228.59,-14.107,132.53
4d22b9,RYR6TR,,,1778486848,59.5398,16.7003,11215.4,180.0,False,228.59,-14.123,132.67
4d22b9,RYR6TR,,,1778486849,59.537744,16.7003,11201.3,180.0,False,228.59,-14.14,132.81
4d22b9,RYR6TR,,,1778486850,59.535688,16.7003,11187.1,180.0,False,228.59,-14.157,132.96
