icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4075fe,BAW770,,,1778572440,59.845275,16.702912,9966.2,0.0,False,192.35,-12.617,128.78
4075fe,BAW770,,,1778572441,59.84415,16.705524,9953.6,130.6,False,192.35,-12.626,128.9
4075fe,BAW770,,,1778572442,59.843025,16.708135,9941.0,130.6,False,192.35,-12.635,129.03
4075fe,BAW770,,,1778572443,59.8419,16.710747,9928.3,130.6,False,192.35,-12.644,129.15
4075fe,BAW770,,,1778572444,59.840775,16.713359,9915.7,130.6,False,192.35,-12.654,129.27
4075fe,BAW770,,,1778572445,59.83965,16.715971,9903.0,130.6,False,192.35,-12.663,129.39
4075fe,BAW770,,,1778572446,59.838525,16.718582,9890.3,130.6,False,192.35,-12.672,129.51
4075fe,BAW770,,,1778572447,59.8374,16.721194,9877.7,130.6,False,192.35,-12.682,129.63
4075fe,BAW770,,,1778572448,59.836275,16.723806,9865.0,130.6,False,192.35,-12.691,129.75
4075fe,BAW770,,,1778572449,59.83515,16.726418,9852.3,130.6,False,192.35,-12.701,129.87
4075fe,BAW770,,,1778572450,59.834025,16.72903,9839.6,130.6,False,192.35,-12.71,129.99
4075fe,BAW770,,,1778572451,59.8329,16.731641,9826.8,130.6,False,192.35,-12.72,130.11
4075fe,BAW770,,,1778572452,59.831775,16.734253,9814.1,130.6,False,192.35,-12.73,130.24
4075fe,BAW770,,,1778572453,59.83065,16.736865,9801.4,130.6,False,192.35,-12.74,130.36
4075fe,BAW770,,,1778572454,59.829525,16.739477,9788.6,130.6,False,192.35,-12.75,130.48
4075fe,BAW770,,,1778572455,59.8284,16.742088,9775.9,130.6,False,192.35,-12.76,130.6
4075fe,BAW770,,,1778572456,59.827275,16.7447,9763.1,130.6,False,192.35,-12.77,130.72
4075fe,BAW770,,,1778572457,59.82615,16.747312,9750.3,130.6,False,192.35,-12.78,130.85
