icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
45b534,GAV553,,,1778572998,58.807068,17.596263,4559.7,339.7,False,209.86,-23.844,179.03,0.6119,0.12377,0.124,0.113
45b534,GAV553,,,1778572999,58.808836,17.595036,4536.1,340.2,False,208.94,-23.618,178.51,0.6093,0.12394,0.248,0.226
45b534,GAV553,,,1778573000,58.810618,17.593785,4512.6,340.0,False,210.79,-23.455,178.0,0.6095,0.12287,0.371,0.34
45b534,GAV553,,,1778573001,58.812385,17.592504,4489.4,339.4,False,209.88,-23.233,177.48,0.607,0.12304,0.494,0.453
45b534,GAV553,,,1778573002,58.814148,17.591248,4466.4,339.7,False,208.97,-23.013,176.97,0.6045,0.1232,0.617,0.566
45b534,GAV553,,,1778573003,58.815901,17.589987,4443.6,339.6,False,208.07,-22.795,176.45,0.602,0.12336,0.74,0.678
45b534,GAV553,,,1778573004,58.817653,17.588765,4421.0,340.1,False,207.17,-22.579,175.94,0.5995,0.12352,0.864,0.79
45b534,GAV553,,,1778573005,58.819391,17.58751,4398.6,339.5,False,206.27,-22.365,175.43,0.597,0.12368,0.987,0.902
45b534,GAV553,,,1778573006,58.821136,17.586344,4376.5,340.9,False,205.38,-22.153,174.91,0.5945,0.12383,1.111,1.013
45b534,GAV553,,,1778573007,58.822859,17.5851,4354.5,339.5,False,204.49,-21.943,174.4,0.5921,0.12398,1.235,1.123
45b534,GAV553,,,1778573008,58.824572,17.583848,4332.8,339.3,False,203.61,-21.735,173.88,0.5896,0.12413,1.359,1.233
45b534,GAV553,,,1778573009,58.826286,17.582647,4311.3,340.1,False,202.73,-21.528,173.37,0.5872,0.12428,1.484,1.342
45b534,GAV553,,,1778573010,58.827993,17.581454,4289.9,340.1,False,201.85,-21.324,172.85,0.5848,0.12442,1.608,1.451
45b534,GAV553,,,1778573011,58.829687,17.580236,4268.8,339.6,False,200.98,-21.121,172.34,0.5824,0.12457,1.733,1.56
45b534,GAV553,,,1778573012,58.831375,17.579035,4247.9,339.8,False,200.12,-20.92,171.82,0.58,0.1247,1.857,1.668
45b534,GAV553,,,1778573013,58.833061,17.577862,4227.2,340.2,False,199.25,-20.721,171.31,0.5776,0.12484,1.982,1.776
45b534,GAV553,,,1778573014,58.834731,17.576647,4206.6,339.4,False,198.39,-20.524,170.8,0.5752,0.12498,2.107,1.883
45b534,GAV553,,,1778573015,58.836402,17.575483,4186.3,340.2,False,197.54,-20.329,170.28,0.5728,0.12511,2.232,1.989
45b534,GAV553,,,1778573016,58.838067,17.574327,4166.2,340.2,False,196.69,-20.135,169.77,0.5705,0.12524,2.357,2.096
45b534,GAV553,,,1778573017,58.839716,17.573134,4146.2,339.5,False,195.84,-19.943,169.25,0.5681,0.12537,2.483,2.201
45b534,GAV553,,,1778573018,58.841354,17.571923,4126.5,339.1,False,195.0,-19.753,168.74,0.5658,0.12549,2.608,2.307
45b534,GAV553,,,1778573019,58.843,17.570794,4106.9,340.5,False,194.16,-19.565,168.22,0.5635,0.12561,2.734,2.411
45b534,GAV553,,,1778573020,58.844625,17.5696,4087.5,339.2,False,193.32,-19.378,167.71,0.5611,0.12573,2.86,2.516
45b534,GAV553,,,1778573021,58.846257,17.568486,4068.3,340.5,False,192.49,-19.193,167.19,0.5588,0.12585,2.986,2.62
45b534,GAV553,,,1778573022,58.847885,17.567393,4049.3,340.9,False,191.66,-19.01,166.68,0.5565,0.12597,3.112,2.723
45b534,GAV553,,,1778573023,58.849516,17.566363,4030.5,341.9,False,190.83,-18.828,166.17,0.5543,0.12608,3.238,2.826
45b534,GAV553,,,1778573024,58.851147,17.565376,4011.9,342.6,False,190.01,-18.649,165.65,0.552,0.12619,3.364,2.929
45b534,GAV553,,,1778573025,58.852774,17.564416,3993.4,343.0,False,189.19,-18.471,165.14,0.5497,0.1263,3.49,3.031
45b534,GAV553,,,1778573026,58.85441,17.563565,3975.1,344.9,False,188.37,-18.294,164.62,0.5475,0.12641,3.616,3.133
45b534,GAV553,,,1778573027,58.856045,17.562762,3957.0,345.8,False,187.56,-18.119,164.11,0.5452,0.12652,3.743,3.234
45b534,GAV553,,,1778573028,58.857695,17.562163,3939.0,349.4,False,186.75,-17.946,163.59,0.543,0.12662,3.87,3.335
45b534,GAV553,,,1778573029,58.859338,17.561565,3921.3,349.3,False,185.94,-17.775,163.08,0.5407,0.12672,3.996,3.435
45b534,GAV553,,,1778573030,58.860983,17.561073,3903.7,351.2,False,185.14,-17.605,162.56,0.5385,0.12682,4.123,3.535
45b534,GAV553,,,1778573031,58.862645,17.560659,3886.2,352.7,False,186.29,-17.473,162.05,0.5381,0.126,4.249,3.636
45b534,GAV553,,,1778573032,58.864304,17.560345,3868.9,354.4,False,185.49,-17.306,161.54,0.5359,0.12609,4.375,3.736
45b534,GAV553,,,1778573033,58.865961,17.560114,3851.7,355.9,False,184.69,-17.141,161.02,0.5337,0.12619,4.501,3.836
45b534,GAV553,,,1778573034,58.867613,17.559972,3834.8,357.5,False,183.9,-16.977,160.51,0.5315,0.12628,4.628,3.935
45b534,GAV553,,,1778573035,58.869259,17.559931,3817.9,359.3,False,183.1,-16.815,159.99,0.5293,0.12637,4.754,4.034
45b534,GAV553,,,1778573036,58.870897,17.560037,3801.3,1.9,False,182.31,-16.654,159.48,0.5271,0.12646,4.881,4.132
