icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
4aca09,NSZ3LZ,,,1778572057,58.807445,17.473148,5283.2,8.4,False,241.01,-28.301,201.15,0.7098,0.13031,0.13,0.13
4aca09,NSZ3LZ,,,1778572058,58.809582,17.473737,5255.2,8.1,False,239.99,-28.024,200.63,0.7069,0.13073,0.261,0.26
4aca09,NSZ3LZ,,,1778572059,58.811707,17.474351,5227.4,8.5,False,238.97,-27.751,200.12,0.7041,0.13114,0.392,0.389
4aca09,NSZ3LZ,,,1778572060,58.813851,17.47495,5199.9,8.2,False,240.89,-27.561,199.6,0.7048,0.1298,0.522,0.519
4aca09,NSZ3LZ,,,1778572061,58.815985,17.475566,5172.6,8.5,False,239.87,-27.294,199.09,0.702,0.1302,0.652,0.648
4aca09,NSZ3LZ,,,1778572062,58.818111,17.476154,5145.6,8.2,False,238.85,-27.031,198.58,0.6992,0.1306,0.783,0.777
4aca09,NSZ3LZ,,,1778572063,58.820226,17.476772,5118.8,8.6,False,237.85,-26.771,198.06,0.6963,0.13099,0.914,0.906
4aca09,NSZ3LZ,,,1778572064,58.822335,17.477341,5092.3,7.9,False,236.84,-26.516,197.55,0.6936,0.13138,1.045,1.034
4aca09,NSZ3LZ,,,1778572065,58.824435,17.477921,5066.0,8.1,False,235.85,-26.263,197.03,0.6908,0.13176,1.177,1.161
4aca09,NSZ3LZ,,,1778572066,58.826525,17.478514,5040.0,8.4,False,234.86,-26.015,196.52,0.688,0.13214,1.309,1.288
4aca09,NSZ3LZ,,,1778572067,58.828606,17.4791,5014.2,8.3,False,233.87,-25.769,196.0,0.6853,0.13251,1.442,1.414
4aca09,NSZ3LZ,,,1778572068,58.830681,17.479639,4988.7,7.7,False,232.89,-25.526,195.49,0.6826,0.13287,1.574,1.54
4aca09,NSZ3LZ,,,1778572069,58.832743,17.480249,4963.4,8.7,False,231.92,-25.287,194.97,0.6799,0.13324,1.708,1.665
4aca09,NSZ3LZ,,,1778572070,58.834797,17.480838,4938.4,8.4,False,230.95,-25.05,194.46,0.6772,0.1336,1.841,1.79
4aca09,NSZ3LZ,,,1778572071,58.836847,17.481375,4913.5,7.7,False,229.98,-24.816,193.95,0.6745,0.13395,1.975,1.914
4aca09,NSZ3LZ,,,1778572072,58.838888,17.481908,4889.0,7.7,False,229.02,-24.585,193.43,0.6718,0.1343,2.109,2.038
