icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
4aca83,NSZ8GH,,,1778574336,60.468472,18.510141,5985.2,197.1,False,227.56,-15.257,158.82,0.5883,0.12878,0.129,0.123
4aca83,NSZ8GH,,,1778574337,60.466513,18.50895,5970.0,196.7,False,227.37,-15.242,158.82,0.5878,0.12893,0.258,0.246
4aca83,NSZ8GH,,,1778574338,60.46457,18.507672,5954.7,198.0,False,227.17,-15.227,158.82,0.5872,0.12908,0.387,0.368
4aca83,NSZ8GH,,,1778574339,60.462605,18.5065,5939.5,196.4,False,227.79,-15.277,158.82,0.59,0.12766,0.514,0.491
4aca83,NSZ8GH,,,1778574340,60.460654,18.505248,5924.2,197.6,False,227.59,-15.262,158.82,0.5894,0.12781,0.642,0.614
4aca83,NSZ8GH,,,1778574341,60.458699,18.504029,5909.0,197.1,False,227.39,-15.248,158.82,0.5889,0.12795,0.77,0.737
4aca83,NSZ8GH,,,1778574342,60.456742,18.502841,5893.7,196.7,False,227.2,-15.233,158.82,0.5883,0.1281,0.898,0.86
4aca83,NSZ8GH,,,1778574343,60.454792,18.501617,5878.5,197.2,False,227.0,-15.218,158.82,0.5878,0.12825,1.027,0.982
4aca83,NSZ8GH,,,1778574344,60.452844,18.500395,5863.3,197.2,False,226.8,-15.203,158.82,0.5872,0.12839,1.155,1.105
4aca83,NSZ8GH,,,1778574345,60.450893,18.499203,5848.1,196.8,False,226.6,-15.189,158.82,0.5867,0.12854,1.284,1.227
4aca83,NSZ8GH,,,1778574346,60.448951,18.49796,5832.9,197.5,False,226.41,-15.174,158.82,0.5861,0.12869,1.412,1.349
4aca83,NSZ8GH,,,1778574347,60.446999,18.4968,5817.8,196.3,False,226.21,-15.159,158.82,0.5856,0.12884,1.541,1.471
4aca83,NSZ8GH,,,1778574348,60.445056,18.495587,5802.6,197.1,False,226.02,-15.145,158.82,0.585,0.12898,1.67,1.593
4aca83,NSZ8GH,,,1778574349,60.443114,18.494387,5787.5,196.9,False,225.82,-15.13,158.82,0.5845,0.12913,1.799,1.715
4aca83,NSZ8GH,,,1778574350,60.441174,18.493181,5772.4,197.1,False,225.63,-15.115,158.82,0.5839,0.12928,1.928,1.837
4aca83,NSZ8GH,,,1778574351,60.439234,18.49199,5757.3,196.9,False,225.43,-15.101,158.82,0.5834,0.12943,2.058,1.959
4aca83,NSZ8GH,,,1778574352,60.437303,18.490753,5742.2,197.5,False,225.24,-15.086,158.82,0.5829,0.12958,2.187,2.081
4aca83,NSZ8GH,,,1778574353,60.435363,18.489582,5727.1,196.6,False,225.04,-15.072,158.82,0.5823,0.12972,2.317,2.202
4aca83,NSZ8GH,,,1778574354,60.433432,18.488366,5712.1,197.3,False,224.85,-15.057,158.82,0.5818,0.12987,2.447,2.323
4aca83,NSZ8GH,,,1778574355,60.431501,18.487167,5697.0,197.0,False,224.66,-15.043,158.82,0.5812,0.13002,2.577,2.445
4aca83,NSZ8GH,,,1778574356,60.429573,18.485951,5682.0,197.3,False,224.46,-15.028,158.82,0.5807,0.13017,2.707,2.566
4aca83,NSZ8GH,,,1778574357,60.427649,18.484728,5667.0,197.4,False,224.27,-15.014,158.82,0.5802,0.13032,2.838,2.687
4aca83,NSZ8GH,,,1778574358,60.425723,18.483526,5652.0,197.1,False,224.08,-14.999,158.82,0.5796,0.13046,2.968,2.808
4aca83,NSZ8GH,,,1778574359,60.423797,18.482342,5637.0,196.9,False,223.89,-14.985,158.82,0.5791,0.13061,3.099,2.929
4aca83,NSZ8GH,,,1778574360,60.421872,18.481155,5622.0,196.9,False,223.7,-14.971,158.82,0.5786,0.13076,3.229,3.05
4aca83,NSZ8GH,,,1778574361,60.419958,18.479914,5607.1,197.7,False,223.51,-14.956,158.82,0.578,0.13091,3.36,3.17
4aca83,NSZ8GH,,,1778574362,60.418042,18.478697,5592.1,197.4,False,223.32,-14.942,158.82,0.5775,0.13106,3.491,3.291
4aca83,NSZ8GH,,,1778574363,60.416122,18.477516,5577.2,196.9,False,223.13,-14.928,158.82,0.577,0.13121,3.623,3.412
4aca83,NSZ8GH,,,1778574364,60.414207,18.476307,5562.3,197.3,False,222.94,-14.913,158.82,0.5764,0.13136,3.754,3.532
4aca83,NSZ8GH,,,1778574365,60.412298,18.475079,5547.4,197.6,False,222.75,-14.899,158.82,0.5759,0.13151,3.885,3.652
4aca83,NSZ8GH,,,1778574366,60.410386,18.47388,5532.5,197.2,False,222.56,-14.885,158.82,0.5754,0.13165,4.017,3.772
4aca83,NSZ8GH,,,1778574367,60.408478,18.472671,5517.6,197.4,False,222.38,-14.87,158.82,0.5749,0.1318,4.149,3.892
4aca83,NSZ8GH,,,1778574368,60.406571,18.471457,5502.8,197.5,False,222.19,-14.856,158.82,0.5743,0.13195,4.281,4.012
4aca83,NSZ8GH,,,1778574369,60.404665,18.470255,5487.9,197.3,False,222.0,-14.842,158.82,0.5738,0.1321,4.413,4.132
