icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
4ab823,NSZ8KC,,,1778573576,59.41932,16.270661,4943.5,77.5,False,192.19,-14.346,158.64,0.5573,0.13611,0.136,0.104
4ab823,NSZ8KC,,,1778573577,59.419673,16.273984,4929.2,78.2,False,192.01,-14.332,158.64,0.5568,0.13626,0.272,0.207
4ab823,NSZ8KC,,,1778573578,59.420003,16.277312,4914.8,79.0,False,191.84,-14.319,158.64,0.5563,0.13641,0.409,0.311
4ab823,NSZ8KC,,,1778573579,59.42037,16.280622,4900.5,77.7,False,191.66,-14.306,158.64,0.5559,0.13656,0.545,0.415
4ab823,NSZ8KC,,,1778573580,59.420728,16.283933,4886.2,78.0,False,191.49,-14.292,158.64,0.5554,0.13671,0.682,0.518
4ab823,NSZ8KC,,,1778573581,59.421076,16.287244,4872.0,78.3,False,191.31,-14.279,158.64,0.5549,0.13686,0.819,0.621
4ab823,NSZ8KC,,,1778573582,59.421453,16.29054,4857.7,77.3,False,191.14,-14.266,158.64,0.5544,0.13701,0.956,0.724
4ab823,NSZ8KC,,,1778573583,59.421789,16.293851,4843.5,78.7,False,190.97,-14.252,158.64,0.5539,0.13716,1.093,0.828
4ab823,NSZ8KC,,,1778573584,59.422152,16.297147,4829.2,77.8,False,190.8,-14.239,158.64,0.5534,0.13731,1.23,0.931
4ab823,NSZ8KC,,,1778573585,59.422523,16.300438,4815.0,77.5,False,190.62,-14.226,158.64,0.553,0.13746,1.368,1.033
4ab823,NSZ8KC,,,1778573586,59.422907,16.303718,4800.8,77.0,False,190.45,-14.213,158.64,0.5525,0.13761,1.505,1.136
4ab823,NSZ8KC,,,1778573587,59.42327,16.307005,4786.6,77.7,False,190.28,-14.199,158.64,0.552,0.13776,1.643,1.239
