icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
4cae8e,SAS51N,,,1778571634,59.435896,16.269139,6187.2,51.7,False,239.21,-28.596,195.24,0.7234,0.09911,0.099,0.129
4cae8e,SAS51N,,,1778571635,59.437221,16.272463,6158.7,51.9,False,238.78,-28.55,195.24,0.7221,0.09934,0.198,0.258
4cae8e,SAS51N,,,1778571636,59.438544,16.27578,6130.2,51.9,False,238.34,-28.504,195.24,0.7209,0.09958,0.298,0.387
4cae8e,SAS51N,,,1778571637,59.439864,16.279092,6101.7,51.9,False,237.91,-28.458,195.24,0.7197,0.09982,0.398,0.515
4cae8e,SAS51N,,,1778571638,59.441217,16.282341,6073.3,50.7,False,237.48,-28.413,195.24,0.7185,0.10005,0.498,0.643
4cae8e,SAS51N,,,1778571639,59.442525,16.285653,6044.9,52.2,False,237.05,-28.368,195.24,0.7173,0.10029,0.598,0.771
4cae8e,SAS51N,,,1778571640,59.443824,16.288968,6016.6,52.4,False,236.62,-28.323,195.24,0.7161,0.10053,0.699,0.899
4cae8e,SAS51N,,,1778571641,59.445148,16.292234,5988.3,51.4,False,236.2,-28.278,195.24,0.7149,0.10076,0.799,1.027
4cae8e,SAS51N,,,1778571642,59.446461,16.29551,5960.1,51.8,False,235.77,-28.233,195.24,0.7137,0.101,0.9,1.154
4cae8e,SAS51N,,,1778571643,59.447824,16.298833,5931.8,51.1,False,241.38,-28.283,195.24,0.7166,0.09991,1.0,1.284
4cae8e,SAS51N,,,1778571644,59.44915,16.302205,5903.6,52.3,False,240.95,-28.238,195.24,0.7154,0.10014,1.101,1.415
4cae8e,SAS51N,,,1778571645,59.45047,16.305575,5875.4,52.4,False,240.52,-28.194,195.24,0.7142,0.10037,1.201,1.544
4cae8e,SAS51N,,,1778571646,59.45182,16.308891,5847.2,51.3,False,240.1,-28.149,195.24,0.713,0.10061,1.302,1.674
4cae8e,SAS51N,,,1778571647,59.453136,16.31225,5819.1,52.4,False,239.67,-28.105,195.24,0.7118,0.10084,1.402,1.803
4cae8e,SAS51N,,,1778571648,59.454466,16.315578,5791.1,51.8,False,239.25,-28.061,195.24,0.7107,0.10107,1.503,1.933
4cae8e,SAS51N,,,1778571649,59.455789,16.318907,5763.0,52.0,False,238.83,-28.017,195.24,0.7095,0.10131,1.605,2.062
