icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
4cad91,SAS58E,,,1778571623,58.807619,17.292032,5813.3,39.9,False,255.43,-32.838,206.81,0.7514,0.09975,0.1,0.138
4cad91,SAS58E,,,1778571624,58.809376,17.294857,5780.8,39.8,False,254.3,-32.543,206.29,0.7482,0.1001,0.2,0.275
4cad91,SAS58E,,,1778571625,58.811126,17.297671,5748.5,39.8,False,253.17,-32.253,205.78,0.7451,0.10044,0.3,0.412
4cad91,SAS58E,,,1778571626,58.812862,17.300486,5716.5,40.0,False,252.06,-31.969,205.26,0.7419,0.10078,0.401,0.548
4cad91,SAS58E,,,1778571627,58.814593,17.303281,5684.9,39.9,False,250.95,-31.69,204.75,0.7388,0.10111,0.502,0.684
4cad91,SAS58E,,,1778571628,58.816321,17.306055,5653.4,39.7,False,249.84,-31.415,204.23,0.7357,0.10144,0.604,0.818
4cad91,SAS58E,,,1778571629,58.818038,17.308824,5622.3,39.9,False,248.74,-31.144,203.72,0.7327,0.10176,0.705,0.953
4cad91,SAS58E,,,1778571630,58.819758,17.311556,5591.4,39.4,False,247.65,-30.877,203.21,0.7296,0.10208,0.807,1.086
4cad91,SAS58E,,,1778571631,58.821457,17.314309,5560.8,40.0,False,246.57,-30.613,202.69,0.7266,0.1024,0.91,1.22
4cad91,SAS58E,,,1778571632,58.823148,17.317052,5530.5,40.0,False,245.49,-30.353,202.18,0.7236,0.10271,1.013,1.352
4cad91,SAS58E,,,1778571633,58.824844,17.319752,5500.4,39.5,False,244.42,-30.096,201.66,0.7206,0.10302,1.116,1.484
4cad91,SAS58E,,,1778571634,58.82651,17.322494,5470.5,40.4,False,243.35,-29.842,201.15,0.7176,0.10332,1.219,1.616
4cad91,SAS58E,,,1778571635,58.828198,17.325155,5440.9,39.2,False,242.29,-29.59,200.63,0.7147,0.10362,1.323,1.746
4cad91,SAS58E,,,1778571636,58.829857,17.327855,5411.6,40.1,False,241.24,-29.341,200.12,0.7117,0.10391,1.426,1.877
4cad91,SAS58E,,,1778571637,58.83152,17.330519,5382.5,39.7,False,240.19,-29.095,199.6,0.7088,0.1042,1.531,2.006
4cad91,SAS58E,,,1778571638,58.833182,17.333156,5353.6,39.4,False,239.15,-28.85,199.09,0.7059,0.10449,1.635,2.135
4cad91,SAS58E,,,1778571639,58.834822,17.335815,5325.0,40.0,False,238.11,-28.609,198.58,0.703,0.10477,1.74,2.264
4cad91,SAS58E,,,1778571640,58.836449,17.338479,5296.7,40.3,False,237.08,-28.369,198.06,0.7001,0.10505,1.845,2.392
4cad91,SAS58E,,,1778571641,58.838093,17.341073,5268.5,39.2,False,236.06,-28.131,197.55,0.6972,0.10532,1.95,2.519
4cad91,SAS58E,,,1778571642,58.839718,17.343686,5240.6,39.8,False,235.04,-27.895,197.03,0.6944,0.10559,2.056,2.646
4cad91,SAS58E,,,1778571643,58.841357,17.346356,5212.9,40.1,False,238.36,-27.738,196.52,0.695,0.10457,2.16,2.775
4cad91,SAS58E,,,1778571644,58.843009,17.348969,5185.4,39.3,False,237.34,-27.505,196.0,0.6922,0.10483,2.265,2.903
4cad91,SAS58E,,,1778571645,58.844641,17.351599,5158.1,39.8,False,236.33,-27.274,195.49,0.6894,0.10508,2.37,3.031
4cad91,SAS58E,,,1778571646,58.846267,17.354218,5131.1,39.8,False,235.32,-27.045,194.97,0.6866,0.10534,2.476,3.158
4cad91,SAS58E,,,1778571647,58.847892,17.356811,5104.3,39.5,False,234.31,-26.818,194.46,0.6838,0.10559,2.581,3.284
4cad91,SAS58E,,,1778571648,58.849498,17.359421,5077.7,40.0,False,233.31,-26.592,193.95,0.681,0.10583,2.687,3.41
4cad91,SAS58E,,,1778571649,58.851114,17.361981,5051.3,39.3,False,232.32,-26.368,193.43,0.6782,0.10607,2.793,3.536
4cad91,SAS58E,,,1778571650,58.852712,17.364555,5025.1,39.8,False,231.33,-26.146,192.92,0.6755,0.10631,2.899,3.661
4cad91,SAS58E,,,1778571651,58.854293,17.367143,4999.2,40.3,False,230.35,-25.925,192.4,0.6728,0.10654,3.006,3.785
4cad91,SAS58E,,,1778571652,58.855898,17.369646,4973.5,38.9,False,229.37,-25.706,191.89,0.67,0.10677,3.113,3.909
4cad91,SAS58E,,,1778571653,58.85747,17.372203,4948.0,40.1,False,228.4,-25.488,191.37,0.6673,0.107,3.22,4.032
4cad91,SAS58E,,,1778571654,58.859033,17.374755,4922.8,40.2,False,227.43,-25.272,190.86,0.6646,0.10722,3.327,4.155
4cad91,SAS58E,,,1778571655,58.860606,17.377256,4897.7,39.4,False,226.46,-25.058,190.34,0.662,0.10744,3.434,4.277
4cad91,SAS58E,,,1778571656,58.862166,17.379761,4872.9,39.7,False,225.5,-24.845,189.83,0.6593,0.10765,3.542,4.399
4cad91,SAS58E,,,1778571657,58.863705,17.382288,4848.2,40.3,False,224.55,-24.633,189.32,0.6566,0.10786,3.65,4.52
4cad91,SAS58E,,,1778571658,58.865238,17.384805,4823.8,40.3,False,223.6,-24.423,188.8,0.654,0.10806,3.758,4.641
4cad91,SAS58E,,,1778571659,58.866778,17.38728,4799.6,39.7,False,222.66,-24.214,188.29,0.6514,0.10827,3.866,4.761
4cad91,SAS58E,,,1778571660,58.868318,17.38973,4775.6,39.5,False,221.71,-24.007,187.77,0.6488,0.10846,3.975,4.881
4cad91,SAS58E,,,1778571661,58.869845,17.392185,4751.8,39.7,False,220.78,-23.802,187.26,0.6462,0.10866,4.083,5.0
4cad91,SAS58E,,,1778571662,58.871362,17.394638,4728.2,39.9,False,219.85,-23.597,186.74,0.6436,0.10885,4.192,5.119
4cad91,SAS58E,,,1778571663,58.872876,17.397073,4704.8,39.8,False,218.92,-23.394,186.23,0.641,0.10903,4.301,5.237
4cad91,SAS58E,,,1778571664,58.874377,17.399512,4681.6,40.0,False,218.0,-23.193,185.71,0.6384,0.10922,4.411,5.355
4cad91,SAS58E,,,1778571665,58.875877,17.40193,4658.6,39.8,False,217.08,-22.993,185.2,0.6359,0.1094,4.52,5.472
4cad91,SAS58E,,,1778571666,58.877367,17.40434,4635.8,39.9,False,215.96,-22.792,184.69,0.6332,0.10961,4.63,5.589
4cad91,SAS58E,,,1778571667,58.878859,17.406721,4613.2,39.5,False,215.05,-22.595,184.17,0.6307,0.10978,4.739,5.705
4cad91,SAS58E,,,1778571668,58.880331,17.409123,4590.8,40.1,False,214.14,-22.399,183.66,0.6282,0.10995,4.849,5.82
4cad91,SAS58E,,,1778571669,58.881802,17.411503,4568.6,39.9,False,213.24,-22.205,183.14,0.6257,0.11012,4.959,5.936
4cad91,SAS58E,,,1778571670,58.883266,17.413876,4546.6,40.0,False,212.34,-22.012,182.63,0.6232,0.11028,5.07,6.05
4cad91,SAS58E,,,1778571671,58.884756,17.41626,4524.7,39.6,False,214.98,-21.878,182.11,0.6235,0.10936,5.179,6.166
4cad91,SAS58E,,,1778571672,58.88623,17.418656,4503.0,40.0,False,214.08,-21.688,181.6,0.621,0.10952,5.289,6.282
4cad91,SAS58E,,,1778571673,58.887685,17.421071,4481.5,40.6,False,213.19,-21.499,181.08,0.6185,0.10968,5.398,6.397
4cad91,SAS58E,,,1778571674,58.889155,17.423431,4460.2,39.7,False,212.3,-21.311,180.57,0.616,0.10983,5.508,6.512
4cad91,SAS58E,,,1778571675,58.890613,17.42579,4439.1,39.9,False,211.41,-21.125,180.06,0.6136,0.10997,5.618,6.626
4cad91,SAS58E,,,1778571676,58.892064,17.428145,4418.2,40.0,False,210.53,-20.94,179.54,0.6111,0.11012,5.728,6.74
4cad91,SAS58E,,,1778571677,58.893514,17.430478,4397.4,39.7,False,209.65,-20.756,179.03,0.6087,0.11026,5.838,6.853
4cad91,SAS58E,,,1778571678,58.894963,17.432789,4376.8,39.5,False,208.78,-20.574,178.51,0.6063,0.11039,5.949,6.965
4cad91,SAS58E,,,1778571679,58.896405,17.435092,4356.4,39.5,False,207.91,-20.393,178.0,0.6039,0.11053,6.059,7.078
4cad91,SAS58E,,,1778571680,58.897828,17.437418,4336.2,40.2,False,207.04,-20.214,177.48,0.6015,0.11066,6.17,7.19
4cad91,SAS58E,,,1778571681,58.899239,17.439745,4316.2,40.4,False,206.18,-20.036,176.97,0.5991,0.11079,6.281,7.301
4cad91,SAS58E,,,1778571682,58.90066,17.442029,4296.3,39.7,False,205.32,-19.859,176.45,0.5967,0.11091,6.392,7.412
4cad91,SAS58E,,,1778571683,58.902079,17.444293,4276.6,39.5,False,204.46,-19.684,175.94,0.5944,0.11103,6.503,7.522
4cad91,SAS58E,,,1778571684,58.903471,17.446596,4257.1,40.5,False,203.61,-19.51,175.43,0.592,0.11115,6.614,7.632
4cad91,SAS58E,,,1778571685,58.904861,17.448882,4237.8,40.3,False,202.76,-19.337,174.91,0.5896,0.11127,6.725,7.742
4cad91,SAS58E,,,1778571686,58.906267,17.451107,4218.6,39.3,False,201.92,-19.166,174.4,0.5873,0.11138,6.837,7.851
4cad91,SAS58E,,,1778571687,58.907657,17.453346,4199.6,39.7,False,201.08,-18.996,173.88,0.585,0.11149,6.948,7.959
4cad91,SAS58E,,,1778571688,58.909033,17.455594,4180.8,40.1,False,200.24,-18.828,173.37,0.5827,0.1116,7.06,8.067
4cad91,SAS58E,,,1778571689,58.910405,17.457831,4162.1,40.1,False,199.4,-18.661,172.85,0.5803,0.1117,7.171,8.175
4cad91,SAS58E,,,1778571690,58.91176,17.460083,4143.6,40.6,False,198.57,-18.495,172.34,0.578,0.1118,7.283,8.282
4cad91,SAS58E,,,1778571691,58.913128,17.462284,4125.3,39.7,False,197.74,-18.331,171.82,0.5757,0.1119,7.395,8.389
4cad91,SAS58E,,,1778571692,58.914492,17.46447,4107.1,39.6,False,196.91,-18.168,171.31,0.5735,0.112,7.507,8.495
4cad91,SAS58E,,,1778571693,58.915845,17.466662,4089.1,39.9,False,196.09,-18.006,170.8,0.5712,0.11209,7.619,8.601
4cad91,SAS58E,,,1778571694,58.917186,17.468859,4071.3,40.2,False,195.27,-17.846,170.28,0.5689,0.11218,7.731,8.707
4cad91,SAS58E,,,1778571695,58.918529,17.471026,4053.6,39.8,False,194.46,-17.687,169.77,0.5667,0.11227,7.844,8.812
4cad91,SAS58E,,,1778571696,58.919867,17.473187,4036.1,39.8,False,193.64,-17.529,169.25,0.5644,0.11236,7.956,8.916
4cad91,SAS58E,,,1778571697,58.921198,17.475339,4018.7,39.8,False,192.83,-17.373,168.74,0.5622,0.11244,8.068,9.02
4cad91,SAS58E,,,1778571698,58.922519,17.477494,4001.5,40.1,False,192.03,-17.218,168.22,0.5599,0.11252,8.181,9.124
4cad91,SAS58E,,,1778571699,58.923843,17.479621,3984.4,39.7,False,191.22,-17.064,167.71,0.5577,0.1126,8.293,9.227
4cad91,SAS58E,,,1778571700,58.925163,17.481734,3967.5,39.6,False,190.42,-16.912,167.19,0.5555,0.11268,8.406,9.33
4cad91,SAS58E,,,1778571701,58.926483,17.483826,3950.7,39.3,False,189.62,-16.761,166.68,0.5533,0.11275,8.519,9.432
4cad91,SAS58E,,,1778571702,58.92781,17.485879,3934.1,38.6,False,188.83,-16.612,166.17,0.5511,0.11282,8.632,9.534
4cad91,SAS58E,,,1778571703,58.929131,17.487924,3917.7,38.6,False,188.04,-16.463,165.65,0.5489,0.11289,8.745,9.636
4cad91,SAS58E,,,1778571704,58.930479,17.489879,3901.4,36.8,False,187.25,-16.316,165.14,0.5467,0.11296,8.858,9.737
4cad91,SAS58E,,,1778571705,58.931834,17.491866,3885.1,37.1,False,188.9,-16.209,164.62,0.5464,0.1123,8.97,9.839
4cad91,SAS58E,,,1778571706,58.933188,17.493832,3869.1,36.8,False,188.11,-16.065,164.11,0.5442,0.11237,9.082,9.941
4cad91,SAS58E,,,1778571707,58.934539,17.495781,3853.2,36.7,False,187.33,-15.921,163.59,0.542,0.11243,9.195,10.042
4cad91,SAS58E,,,1778571708,58.935883,17.497726,3837.4,36.7,False,186.54,-15.779,163.08,0.5399,0.11249,9.307,10.142
4cad91,SAS58E,,,1778571709,58.937244,17.499604,3821.7,35.5,False,185.76,-15.639,162.56,0.5377,0.11255,9.42,10.243
4cad91,SAS58E,,,1778571710,58.938603,17.501465,3806.2,35.2,False,184.98,-15.499,162.05,0.5355,0.11261,9.532,10.343
4cad91,SAS58E,,,1778571711,58.939961,17.503301,3790.9,34.9,False,184.21,-15.361,161.54,0.5334,0.11266,9.645,10.442
4cad91,SAS58E,,,1778571712,58.941329,17.505088,3775.7,34.0,False,183.43,-15.224,161.02,0.5313,0.11271,9.758,10.541
4cad91,SAS58E,,,1778571713,58.942704,17.50683,3760.6,33.2,False,182.66,-15.088,160.51,0.5291,0.11276,9.87,10.64
4cad91,SAS58E,,,1778571714,58.944071,17.508572,3745.6,33.3,False,181.89,-14.954,159.99,0.527,0.11281,9.983,10.738
4cad91,SAS58E,,,1778571715,58.945434,17.510302,3730.8,33.2,False,181.12,-14.821,159.48,0.5249,0.11286,10.096,10.836
4cad91,SAS58E,,,1778571716,58.946802,17.511992,3716.1,32.5,False,180.36,-14.689,158.96,0.5228,0.1129,10.209,10.933
4cad91,SAS58E,,,1778571717,58.948175,17.51364,3701.5,31.7,False,179.6,-14.558,158.45,0.5207,0.11295,10.322,11.03
4cad91,SAS58E,,,1778571718,58.949533,17.515311,3687.1,32.4,False,178.84,-14.429,157.93,0.5186,0.11299,10.435,11.127
4cad91,SAS58E,,,1778571719,58.950898,17.516934,3672.8,31.5,False,178.08,-14.301,157.42,0.5165,0.11303,10.548,11.223
4cad91,SAS58E,,,1778571720,58.952263,17.518534,3658.6,31.2,False,177.33,-14.174,156.91,0.5144,0.11307,10.661,11.319
4cad91,SAS58E,,,1778571721,58.953622,17.520127,3644.6,31.2,False,176.58,-14.048,156.39,0.5124,0.1131,10.774,11.414
4cad91,SAS58E,,,1778571722,58.95497,17.521727,3630.7,31.5,False,175.83,-13.924,155.88,0.5103,0.11314,10.887,11.509
4cad91,SAS58E,,,1778571723,58.956313,17.523323,3616.9,31.5,False,175.08,-13.8,155.36,0.5082,0.11317,11.0,11.603
4cad91,SAS58E,,,1778571724,58.957659,17.524881,3603.2,30.8,False,174.33,-13.678,154.85,0.5062,0.1132,11.114,11.698
4cad91,SAS58E,,,1778571725,58.959007,17.526408,3589.6,30.3,False,173.59,-13.557,154.33,0.5041,0.11323,11.227,11.791
4cad91,SAS58E,,,1778571726,58.960337,17.527968,3576.2,31.2,False,172.85,-13.438,153.82,0.5021,0.11326,11.34,11.885
4cad91,SAS58E,,,1778571727,58.961661,17.529523,3562.9,31.2,False,172.11,-13.319,153.3,0.5,0.11329,11.453,11.978
4cad91,SAS58E,,,1778571728,58.962976,17.531083,3549.7,31.5,False,171.37,-13.202,152.79,0.498,0.11331,11.567,12.07
4cad91,SAS58E,,,1778571729,58.964302,17.532581,3536.6,30.2,False,170.64,-13.086,152.28,0.496,0.11333,11.68,12.162
4cad91,SAS58E,,,1778571730,58.965609,17.534116,3523.6,31.2,False,169.9,-12.971,151.76,0.494,0.11336,11.793,12.254
4cad91,SAS58E,,,1778571731,58.966915,17.535627,3510.8,30.8,False,169.17,-12.857,151.25,0.4919,0.11338,11.907,12.345
4cad91,SAS58E,,,1778571732,58.968223,17.537109,3498.0,30.3,False,168.44,-12.744,150.73,0.4899,0.1134,12.02,12.436
4cad91,SAS58E,,,1778571733,58.969514,17.538621,3485.4,31.1,False,167.72,-12.633,150.22,0.4879,0.11342,12.134,12.527
4cad91,SAS58E,,,1778571734,58.9708,17.540127,3472.9,31.1,False,166.99,-12.522,149.7,0.4859,0.11343,12.247,12.617
4cad91,SAS58E,,,1778571735,58.972073,17.541648,3460.5,31.6,False,166.27,-12.413,149.19,0.4839,0.11345,12.361,12.707
4cad91,SAS58E,,,1778571736,58.973354,17.543122,3448.1,30.7,False,165.55,-12.305,148.67,0.4819,0.11346,12.474,12.796
4cad91,SAS58E,,,1778571737,58.974632,17.544578,3435.9,30.4,False,164.83,-12.198,148.16,0.48,0.11348,12.587,12.885
4cad91,SAS58E,,,1778571738,58.975903,17.546033,3423.9,30.5,False,164.11,-12.092,147.65,0.478,0.11349,12.701,12.974
4cad91,SAS58E,,,1778571739,58.977166,17.547491,3411.9,30.8,False,163.4,-11.988,147.13,0.476,0.1135,12.814,13.062
4cad91,SAS58E,,,1778571740,58.978408,17.54899,3400.0,31.9,False,162.68,-11.884,146.62,0.474,0.11351,12.928,13.15
4cad91,SAS58E,,,1778571741,58.979657,17.550444,3388.2,31.0,False,161.97,-11.782,146.1,0.4721,0.11352,13.041,13.237
4cad91,SAS58E,,,1778571742,58.980901,17.551893,3376.5,31.0,False,161.26,-11.68,145.59,0.4701,0.11353,13.155,13.324
4cad91,SAS58E,,,1778571743,58.982139,17.553333,3364.9,30.9,False,160.55,-11.58,145.07,0.4682,0.11353,13.269,13.411
4cad91,SAS58E,,,1778571744,58.983374,17.554763,3353.5,30.8,False,159.85,-11.481,144.56,0.4662,0.11354,13.382,13.497
4cad91,SAS58E,,,1778571745,58.984593,17.556216,3342.1,31.6,False,159.14,-11.383,144.04,0.4643,0.11354,13.496,13.583
4cad91,SAS58E,,,1778571746,58.985809,17.557657,3330.8,31.4,False,158.44,-11.286,143.53,0.4623,0.11355,13.609,13.669
4cad91,SAS58E,,,1778571747,58.987026,17.559073,3319.6,30.9,False,157.74,-11.19,143.02,0.4604,0.11355,13.723,13.754
4cad91,SAS58E,,,1778571748,58.988247,17.560451,3308.5,30.2,False,157.04,-11.095,142.5,0.4585,0.11355,13.836,13.839
4cad91,SAS58E,,,1778571749,58.989437,17.561903,3297.5,32.1,False,156.34,-11.001,141.99,0.4565,0.11355,13.95,13.923
4cad91,SAS58E,,,1778571750,58.990673,17.563302,3286.6,30.3,False,159.11,-10.937,141.47,0.4558,0.11309,14.063,14.009
4cad91,SAS58E,,,1778571751,58.991899,17.564709,3275.7,30.6,False,158.41,-10.845,140.96,0.4539,0.11309,14.176,14.095
4cad91,SAS58E,,,1778571752,58.993114,17.566129,3265.0,31.1,False,157.71,-10.754,140.44,0.4519,0.11309,14.289,14.18
4cad91,SAS58E,,,1778571753,58.994333,17.567514,3254.3,30.4,False,157.02,-10.665,139.93,0.45,0.11308,14.402,14.265
