icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
4bb28e,THY4CK,,,1778571480,59.427343,17.87902,1374.3,10.4,False,105.23,-6.253,99.39,0.3,0.18193,0.182,0.057
4bb28e,THY4CK,,,1778571481,59.428275,17.87934,1368.0,9.9,False,105.19,-6.248,99.39,0.3,0.18204,0.364,0.114
4bb28e,THY4CK,,,1778571482,59.429206,17.879658,1361.8,9.9,False,105.15,-6.244,99.39,0.3,0.18215,0.546,0.17
4bb28e,THY4CK,,,1778571483,59.430137,17.879972,1355.5,9.7,False,105.11,-6.24,99.39,0.3,0.18227,0.728,0.227
4bb28e,THY4CK,,,1778571484,59.431065,17.880323,1349.3,10.9,False,105.08,-6.235,99.39,0.3,0.18238,0.911,0.284
4bb28e,THY4CK,,,1778571485,59.431991,17.880681,1343.1,11.1,False,105.04,-6.231,99.39,0.3,0.18249,1.093,0.341
4bb28e,THY4CK,,,1778571486,59.432921,17.881005,1336.8,10.1,False,105.0,-6.227,99.39,0.3,0.1826,1.276,0.397
4bb28e,THY4CK,,,1778571487,59.433851,17.881326,1330.6,10.0,False,104.96,-6.222,99.39,0.3,0.18272,1.459,0.454
4bb28e,THY4CK,,,1778571488,59.434775,17.881694,1324.4,11.4,False,104.92,-6.218,99.39,0.3,0.18283,1.641,0.511
4bb28e,THY4CK,,,1778571489,59.435702,17.882038,1318.2,10.7,False,104.88,-6.213,99.39,0.3,0.18294,1.824,0.567
4bb28e,THY4CK,,,1778571490,59.43663,17.882369,1312.0,10.3,False,104.84,-6.209,99.39,0.3,0.18306,2.007,0.624
4bb28e,THY4CK,,,1778571491,59.43756,17.882668,1305.8,9.3,False,104.8,-6.205,99.39,0.3,0.18317,2.191,0.68
4bb28e,THY4CK,,,1778571492,59.438486,17.883011,1299.6,10.7,False,104.76,-6.2,99.39,0.3,0.18328,2.374,0.737
4bb28e,THY4CK,,,1778571493,59.439409,17.883374,1293.4,11.3,False,104.73,-6.196,99.39,0.3,0.1834,2.557,0.794
4bb28e,THY4CK,,,1778571494,59.440333,17.883726,1287.2,11.0,False,104.69,-6.192,99.39,0.3,0.18351,2.741,0.85
4bb28e,THY4CK,,,1778571495,59.441262,17.884025,1281.0,9.3,False,104.65,-6.187,99.39,0.3,0.18362,2.924,0.907
4bb28e,THY4CK,,,1778571496,59.442182,17.884409,1274.8,12.0,False,104.61,-6.183,99.39,0.3,0.18374,3.108,0.963
4bb28e,THY4CK,,,1778571497,59.443106,17.884756,1268.6,10.8,False,104.57,-6.179,99.39,0.3,0.18385,3.292,1.02
4bb28e,THY4CK,,,1778571498,59.444035,17.885045,1262.5,9.0,False,104.53,-6.174,99.39,0.3,0.18397,3.476,1.076
4bb28e,THY4CK,,,1778571499,59.444959,17.885377,1256.3,10.3,False,104.49,-6.17,99.39,0.3,0.18408,3.66,1.132
4bb28e,THY4CK,,,1778571500,59.44588,17.885742,1250.1,11.4,False,104.46,-6.166,99.39,0.3,0.1842,3.844,1.189
4bb28e,THY4CK,,,1778571501,59.446803,17.886079,1244.0,10.5,False,104.42,-6.161,99.39,0.3,0.18431,4.029,1.245
4bb28e,THY4CK,,,1778571502,59.447729,17.88638,1237.8,9.4,False,104.38,-6.157,99.39,0.3,0.18442,4.213,1.302
4bb28e,THY4CK,,,1778571503,59.448653,17.886701,1231.7,10.0,False,104.34,-6.153,99.39,0.3,0.18454,4.397,1.358
4bb28e,THY4CK,,,1778571504,59.449577,17.887019,1225.5,9.9,False,104.3,-6.148,99.39,0.3,0.18465,4.582,1.414
4bb28e,THY4CK,,,1778571505,59.450557,17.887427,1219.3,12.0,False,111.4,-6.169,99.39,0.3,0.18412,4.766,1.474
4bb28e,THY4CK,,,1778571506,59.451544,17.887762,1213.2,9.8,False,111.36,-6.165,99.39,0.3,0.18423,4.95,1.534
4bb28e,THY4CK,,,1778571507,59.452531,17.888082,1207.0,9.4,False,111.32,-6.16,99.39,0.3,0.18434,5.135,1.595
4bb28e,THY4CK,,,1778571508,59.453512,17.888472,1200.9,11.4,False,111.28,-6.156,99.39,0.3,0.18446,5.319,1.655
4bb28e,THY4CK,,,1778571509,59.454498,17.8888,1194.7,9.6,False,111.24,-6.152,99.39,0.3,0.18457,5.504,1.715
4bb28e,THY4CK,,,1778571510,59.455479,17.889183,1188.6,11.2,False,111.2,-6.147,99.39,0.3,0.18469,5.689,1.775
4bb28e,THY4CK,,,1778571511,59.456461,17.889552,1182.4,10.8,False,111.17,-6.143,99.39,0.3,0.1848,5.873,1.835
4bb28e,THY4CK,,,1778571512,59.457447,17.889879,1176.3,9.6,False,111.13,-6.139,99.39,0.3,0.18492,6.058,1.895
4bb28e,THY4CK,,,1778571513,59.458433,17.890196,1170.1,9.3,False,111.09,-6.135,99.39,0.3,0.18504,6.243,1.955
4bb28e,THY4CK,,,1778571514,59.459414,17.89056,1164.0,10.7,False,111.05,-6.13,99.39,0.3,0.18515,6.428,2.015
4bb28e,THY4CK,,,1778571515,59.460395,17.890921,1157.9,10.6,False,111.01,-6.126,99.39,0.3,0.18527,6.614,2.075
4bb28e,THY4CK,,,1778571516,59.461375,17.89129,1151.8,10.8,False,110.98,-6.122,99.39,0.3,0.18538,6.799,2.135
4bb28e,THY4CK,,,1778571517,59.462356,17.891645,1145.6,10.4,False,110.94,-6.117,99.39,0.3,0.1855,6.985,2.195
4bb28e,THY4CK,,,1778571518,59.463338,17.89199,1139.5,10.1,False,110.9,-6.113,99.39,0.3,0.18561,7.17,2.254
4bb28e,THY4CK,,,1778571519,59.464318,17.892347,1133.4,10.5,False,110.86,-6.109,99.39,0.3,0.18573,7.356,2.314
4bb28e,THY4CK,,,1778571520,59.465298,17.892705,1127.3,10.5,False,110.82,-6.105,99.39,0.3,0.18585,7.542,2.374
4bb28e,THY4CK,,,1778571521,59.466277,17.893076,1121.2,10.9,False,110.79,-6.1,99.39,0.3,0.18596,7.728,2.434
4bb28e,THY4CK,,,1778571522,59.467259,17.893399,1115.1,9.5,False,110.75,-6.096,99.39,0.3,0.18608,7.914,2.494
4bb28e,THY4CK,,,1778571523,59.468238,17.893755,1109.0,10.5,False,110.71,-6.092,99.39,0.3,0.1862,8.1,2.554
4bb28e,THY4CK,,,1778571524,59.469219,17.894085,1102.9,9.7,False,110.67,-6.088,99.39,0.3,0.18631,8.286,2.613
4bb28e,THY4CK,,,1778571525,59.4702,17.8944,1096.9,9.3,False,110.64,-6.083,99.39,0.3,0.18643,8.473,2.673
4bb28e,THY4CK,,,1778571526,59.471174,17.8948,1090.8,11.8,False,110.6,-6.079,99.39,0.3,0.18655,8.659,2.733
4bb28e,THY4CK,,,1778571527,59.472155,17.895123,1084.7,9.5,False,110.56,-6.075,99.39,0.3,0.18666,8.846,2.792
4bb28e,THY4CK,,,1778571528,59.473134,17.895455,1078.6,9.8,False,110.52,-6.071,99.39,0.3,0.18678,9.033,2.852
4bb28e,THY4CK,,,1778571529,59.474113,17.895794,1072.6,10.0,False,110.49,-6.066,99.39,0.3,0.1869,9.22,2.912
4bb28e,THY4CK,,,1778571530,59.475095,17.896078,1066.5,8.3,False,110.45,-6.062,99.39,0.3,0.18702,9.407,2.971
