icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
45d969,VKG4999,,,1778574318,58.805665,17.277396,4634.9,41.3,False,220.49,-18.919,188.45,0.6456,0.25435,0.254,0.119
45d969,VKG4999,,,1778574319,58.807164,17.279894,4616.0,40.8,False,220.23,-18.897,188.45,0.6449,0.25487,0.509,0.238
45d969,VKG4999,,,1778574320,58.808646,17.282424,4597.1,41.5,False,219.98,-18.875,188.45,0.6442,0.25539,0.765,0.357
45d969,VKG4999,,,1778574321,58.81014,17.28492,4578.3,40.9,False,219.72,-18.853,188.45,0.6435,0.25592,1.021,0.475
45d969,VKG4999,,,1778574322,58.811633,17.287413,4559.4,40.8,False,219.46,-18.831,188.45,0.6428,0.25645,1.277,0.594
45d969,VKG4999,,,1778574323,58.813113,17.289928,4540.6,41.4,False,219.21,-18.809,188.45,0.6421,0.25698,1.534,0.712
45d969,VKG4999,,,1778574324,58.814603,17.292519,4521.8,42.0,False,222.93,-18.842,188.45,0.6442,0.25361,1.788,0.833
45d969,VKG4999,,,1778574325,58.816117,17.295049,4503.0,40.9,False,222.67,-18.82,188.45,0.6435,0.25413,2.042,0.953
45d969,VKG4999,,,1778574326,58.817618,17.297601,4484.2,41.3,False,222.41,-18.798,188.45,0.6427,0.25464,2.296,1.073
45d969,VKG4999,,,1778574327,58.819116,17.300155,4465.4,41.4,False,222.16,-18.776,188.45,0.642,0.25516,2.552,1.193
45d969,VKG4999,,,1778574328,58.820615,17.30271,4446.5,41.4,False,222.32,-18.849,188.8,0.6425,0.2558,2.807,1.313
45d969,VKG4999,,,1778574329,58.822109,17.305255,4427.8,41.4,False,221.46,-18.688,188.29,0.6401,0.25615,3.063,1.433
45d969,VKG4999,,,1778574330,58.823596,17.307791,4409.3,41.4,False,220.6,-18.529,187.77,0.6377,0.2565,3.32,1.552
45d969,VKG4999,,,1778574331,58.825072,17.31033,4390.9,41.7,False,219.75,-18.371,187.26,0.6354,0.25685,3.577,1.67
45d969,VKG4999,,,1778574332,58.82655,17.312842,4372.7,41.3,False,218.9,-18.214,186.74,0.633,0.2572,3.834,1.788
45d969,VKG4999,,,1778574333,58.828041,17.315303,4354.7,40.5,False,218.05,-18.058,186.23,0.6307,0.25755,4.092,1.906
45d969,VKG4999,,,1778574334,58.829497,17.317818,4336.8,41.8,False,217.21,-17.904,185.71,0.6283,0.25789,4.349,2.024
45d969,VKG4999,,,1778574335,58.830958,17.320301,4319.0,41.3,False,216.4,-17.752,185.2,0.6261,0.25818,4.608,2.14
45d969,VKG4999,,,1778574336,58.832423,17.322755,4301.4,40.9,False,215.56,-17.601,184.69,0.6237,0.25852,4.866,2.257
45d969,VKG4999,,,1778574337,58.833871,17.325224,4284.0,41.4,False,214.73,-17.45,184.17,0.6214,0.25885,5.125,2.373
45d969,VKG4999,,,1778574338,58.835305,17.3277,4266.7,41.8,False,213.9,-17.302,183.66,0.6191,0.25918,5.384,2.488
45d969,VKG4999,,,1778574339,58.836741,17.330152,4249.5,41.5,False,213.07,-17.154,183.14,0.6168,0.25951,5.644,2.603
45d969,VKG4999,,,1778574340,58.838185,17.332565,4232.5,40.9,False,212.25,-17.008,182.63,0.6146,0.25983,5.904,2.718
45d969,VKG4999,,,1778574341,58.839609,17.335001,4215.6,41.5,False,211.43,-16.863,182.11,0.6123,0.26015,6.164,2.832
45d969,VKG4999,,,1778574342,58.841042,17.337393,4198.9,40.8,False,210.61,-16.719,181.6,0.61,0.26047,6.424,2.946
45d969,VKG4999,,,1778574343,58.842458,17.339804,4182.3,41.4,False,209.79,-16.576,181.08,0.6078,0.26078,6.685,3.059
45d969,VKG4999,,,1778574344,58.843868,17.342205,4165.9,41.4,False,208.98,-16.435,180.57,0.6055,0.26109,6.946,3.172
45d969,VKG4999,,,1778574345,58.845264,17.344616,4149.6,41.8,False,208.17,-16.295,180.06,0.6033,0.2614,7.207,3.284
45d969,VKG4999,,,1778574346,58.846673,17.346977,4133.5,40.9,False,207.36,-16.156,179.54,0.601,0.2617,7.469,3.396
45d969,VKG4999,,,1778574347,58.848068,17.349348,4117.4,41.3,False,206.56,-16.018,179.03,0.5988,0.262,7.731,3.508
45d969,VKG4999,,,1778574348,58.849453,17.351721,4101.6,41.6,False,205.76,-15.881,178.51,0.5966,0.2623,7.993,3.619
45d969,VKG4999,,,1778574349,58.850844,17.354059,4085.8,41.0,False,204.96,-15.746,178.0,0.5944,0.26259,8.256,3.73
45d969,VKG4999,,,1778574350,58.852218,17.356413,4070.2,41.6,False,204.16,-15.612,177.48,0.5922,0.26289,8.519,3.84
45d969,VKG4999,,,1778574351,58.853586,17.358759,4054.7,41.6,False,203.37,-15.479,176.97,0.59,0.26317,8.782,3.95
45d969,VKG4999,,,1778574352,58.854947,17.361099,4039.4,41.6,False,202.58,-15.347,176.45,0.5878,0.26346,9.046,4.059
45d969,VKG4999,,,1778574353,58.856327,17.363378,4024.2,40.5,False,201.79,-15.216,175.94,0.5856,0.26373,9.309,4.168
45d969,VKG4999,,,1778574354,58.85768,17.365694,4009.1,41.5,False,201.01,-15.087,175.43,0.5835,0.26401,9.573,4.276
45d969,VKG4999,,,1778574355,58.859038,17.367982,3994.1,41.1,False,200.22,-14.958,174.91,0.5813,0.26428,9.838,4.385
45d969,VKG4999,,,1778574356,58.860377,17.370288,3979.3,41.7,False,199.44,-14.831,174.4,0.5791,0.26455,10.102,4.492
45d969,VKG4999,,,1778574357,58.861718,17.372571,3964.6,41.3,False,198.66,-14.705,173.88,0.577,0.26482,10.367,4.6
45d969,VKG4999,,,1778574358,58.863053,17.374846,3950.0,41.4,False,197.89,-14.58,173.37,0.5748,0.26508,10.632,4.706
45d969,VKG4999,,,1778574359,58.864402,17.37707,3935.5,40.4,False,197.11,-14.456,172.85,0.5727,0.26534,10.897,4.813
45d969,VKG4999,,,1778574360,58.865711,17.379361,3921.2,42.2,False,196.34,-14.333,172.34,0.5705,0.26559,11.163,4.919
45d969,VKG4999,,,1778574361,58.867039,17.381592,3907.0,41.0,False,195.57,-14.211,171.82,0.5684,0.26584,11.429,5.024
45d969,VKG4999,,,1778574362,58.868373,17.383847,3892.9,41.1,False,197.07,-14.132,171.31,0.5683,0.26256,11.691,5.131
