callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
SAS106,4cad96,A20N,A320-271N,121.83,504.0,44.3,98.0,504
FIN3EJ,461fa8,A321,A321-131,97.66,513.0,44.2,95.0,513
NSZ3LZ,4aca09,B738,B738W26,90.02,462.0,36.5,81.0,462
KLM59U,485a33,B738,B738W26,93.92,470.0,38.2,83.0,470
VKG4999,45d969,A333,A330-341,183.46,492.0,38.1,76.0,492
RYR24NN,4d2220,B738,B738W26,87.55,453.0,36.0,79.0,453
SAS864,4cafcc,A20N,A320-271N,77.84,443.0,37.1,82.0,443
NSZ8KC,4ab823,B38M,B738W26,95.17,473.0,38.0,82.0,473
NSZ8GH,4aca83,B38M,B738W26,133.65,543.0,47.4,95.0,543
BAW770,4075fe,A21N,A321-131,91.46,438.0,35.4,81.0,438
GAV553,45b534,CRJ9,EMB-190LR,53.84,345.0,26.1,78.0,345
SAS2182,4caf16,B738,B738W26,94.1,467.0,37.8,82.0,467
THY4CK,4bb28e,A21N,A321-131,23.12,101.0,6.0,35.0,101
SAS58E,4cad91,A20N,A320-271N,72.55,455.0,37.3,85.0,455
SAS51N,4cae8e,A20N,A320-271N,79.34,470.0,39.3,88.0,470
NSZ96Y,4aca81,B38M,B738W26,70.46,362.0,26.0,65.0,362
