callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SAS106,A20N,A320-271N,57.42,104.73,47.31,45.2,505,44.4
FIN3EJ,A321,A321-131,81.81,271.75,189.94,69.9,514,44.3
NSZ3LZ,B738,B738W26,72.89,177.52,104.63,58.9,463,36.6
KLM59U,B738,B738W26,73.92,157.85,83.93,53.2,471,38.3
VKG4999,A333,A330-341,143.12,397.11,253.99,64.0,493,38.2
RYR24NN,B738,B738W26,71.71,189.22,117.51,62.1,454,36.1
SAS864,A20N,A320-271N,51.68,229.22,177.54,77.5,444,37.2
NSZ8KC,B38M,B738W26,74.66,243.97,169.31,69.4,474,38.1
NSZ8GH,B38M,B738W26,83.89,270.44,186.55,69.0,544,47.5
BAW770,A21N,A321-131,72.03,329.23,257.2,78.1,439,35.5
GAV553,CRJ9,EMB-190LR,46.94,159.91,112.97,70.6,346,26.2
SAS2182,B738,B738W26,73.57,147.68,74.11,50.2,468,37.9
THY4CK,A21N,A321-131,19.1,42.77,23.67,55.3,102,6.0
SAS58E,A20N,A320-271N,52.87,106.31,53.44,50.3,456,37.4
SAS51N,A20N,A320-271N,54.41,217.74,163.33,75.0,471,39.4
NSZ96Y,B38M,B738W26,58.75,135.41,76.66,56.6,363,26.1
