icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4d2220,RYR71ZY,,,1778602320,59.718948,16.703902,10300.2,0.0,False,265.85,-27.615,175.56
4d2220,RYR71ZY,,,1778602321,59.717397,16.707504,10272.5,130.5,False,265.85,-27.719,175.92
4d2220,RYR71ZY,,,1778602322,59.715845,16.711106,10244.7,130.5,False,265.85,-27.824,176.27
4d2220,RYR71ZY,,,1778602323,59.714294,16.714708,10216.8,130.5,False,265.85,-27.93,176.63
4d2220,RYR71ZY,,,1778602324,59.712742,16.71831,10188.7,130.5,False,265.85,-28.037,176.99
4d2220,RYR71ZY,,,1778602325,59.711191,16.721911,10160.6,130.5,False,265.85,-28.145,177.35
4d2220,RYR71ZY,,,1778602326,59.709639,16.725513,10132.3,130.5,False,265.85,-28.254,177.71
4d2220,RYR71ZY,,,1778602327,59.708088,16.729115,10104.0,130.5,False,265.85,-28.364,178.07
4d2220,RYR71ZY,,,1778602328,59.706536,16.732717,10075.5,130.5,False,265.85,-28.475,178.43
4d2220,RYR71ZY,,,1778602329,59.704985,16.736319,10046.9,130.5,False,265.85,-28.587,178.8
4d2220,RYR71ZY,,,1778602330,59.703433,16.739921,10018.2,130.5,False,265.85,-28.699,179.17
4d2220,RYR71ZY,,,1778602331,59.701882,16.743523,9989.4,130.5,False,265.85,-28.813,179.54
4d2220,RYR71ZY,,,1778602332,59.70033,16.747125,9960.5,130.5,False,265.85,-28.928,179.91
4d2220,RYR71ZY,,,1778602333,59.698779,16.750727,9931.4,130.5,False,265.85,-29.045,180.29
4d2220,RYR71ZY,,,1778602334,59.697227,16.754329,9902.3,130.5,False,265.85,-29.162,180.66
4d2220,RYR71ZY,,,1778602335,59.695676,16.757931,9873.0,130.5,False,265.85,-29.28,181.04
4d2220,RYR71ZY,,,1778602336,59.694124,16.761533,9843.6,130.5,False,265.85,-29.399,181.42
4d2220,RYR71ZY,,,1778602337,59.692573,16.765134,9814.1,130.5,False,265.85,-29.52,181.8
4d2220,RYR71ZY,,,1778602338,59.691021,16.768736,9784.4,130.5,False,265.85,-29.642,182.18
4d2220,RYR71ZY,,,1778602339,59.689469,16.772338,9754.6,130.5,False,265.85,-29.764,182.57
4d2220,RYR71ZY,,,1778602340,59.68794,16.775889,9725.2,130.5,False,262.08,-29.461,181.83
4d2220,RYR71ZY,,,1778602341,59.68641,16.77944,9695.6,130.5,False,262.08,-29.582,182.21
