icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
781e4d,CCA911,,,1778858460,59.740788,19.123522,6301.4,0.0,False,190.29,-12.148,151.47
781e4d,CCA911,,,1778858461,59.739677,19.120944,6289.2,229.5,False,190.29,-12.16,151.59
781e4d,CCA911,,,1778858462,59.738565,19.118366,6277.0,229.5,False,190.29,-12.173,151.72
781e4d,CCA911,,,1778858463,59.737454,19.115788,6264.9,229.5,False,190.29,-12.186,151.84
781e4d,CCA911,,,1778858464,59.736342,19.113209,6252.7,229.5,False,190.29,-12.199,151.96
781e4d,CCA911,,,1778858465,59.735231,19.110631,6240.5,229.5,False,190.29,-12.211,152.08
781e4d,CCA911,,,1778858466,59.734119,19.108053,6228.2,229.5,False,190.29,-12.224,152.2
781e4d,CCA911,,,1778858467,59.733007,19.105475,6216.0,229.5,False,190.29,-12.237,152.33
781e4d,CCA911,,,1778858468,59.731896,19.102897,6203.7,229.5,False,190.29,-12.25,152.45
781e4d,CCA911,,,1778858469,59.730784,19.100319,6191.5,229.5,False,190.29,-12.263,152.57
781e4d,CCA911,,,1778858470,59.729673,19.097741,6179.2,229.5,False,190.29,-12.276,152.69
781e4d,CCA911,,,1778858471,59.728561,19.095163,6166.9,229.5,False,190.29,-12.29,152.82
781e4d,CCA911,,,1778858472,59.727449,19.092585,6154.6,229.5,False,190.29,-12.303,152.94
781e4d,CCA911,,,1778858473,59.726338,19.090007,6142.3,229.5,False,190.29,-12.316,153.06
781e4d,CCA911,,,1778858474,59.725226,19.087428,6130.0,229.5,False,190.29,-12.33,153.19
781e4d,CCA911,,,1778858475,59.724115,19.08485,6117.6,229.5,False,190.29,-12.343,153.31
781e4d,CCA911,,,1778858476,59.723003,19.082272,6105.3,229.5,False,190.29,-12.356,153.44
781e4d,CCA911,,,1778858477,59.721892,19.079694,6092.9,229.5,False,190.29,-12.37,153.56
781e4d,CCA911,,,1778858478,59.72078,19.077116,6080.5,229.5,False,190.29,-12.384,153.69
781e4d,CCA911,,,1778858479,59.719668,19.074538,6068.1,229.5,False,190.29,-12.397,153.81
781e4d,CCA911,,,1778858480,59.718557,19.07196,6055.7,229.5,False,190.29,-12.411,153.93
781e4d,CCA911,,,1778858481,59.717445,19.069382,6043.3,229.5,False,190.29,-12.425,154.06
781e4d,CCA911,,,1778858482,59.716334,19.066804,6030.8,229.5,False,190.29,-12.439,154.18
781e4d,CCA911,,,1778858483,59.715222,19.064225,6018.4,229.5,False,190.29,-12.453,154.31
781e4d,CCA911,,,1778858484,59.71411,19.061647,6005.9,229.5,False,190.29,-12.467,154.44
781e4d,CCA911,,,1778858485,59.712999,19.059069,5993.4,229.5,False,190.29,-12.481,154.56
781e4d,CCA911,,,1778858486,59.711887,19.056491,5980.9,229.5,False,190.29,-12.495,154.69
781e4d,CCA911,,,1778858487,59.710776,19.053913,5968.4,229.5,False,190.29,-12.509,154.81
781e4d,CCA911,,,1778858488,59.709664,19.051335,5955.9,229.5,False,190.29,-12.523,154.94
781e4d,CCA911,,,1778858489,59.708543,19.048734,5943.5,229.5,False,191.98,-12.416,154.09
781e4d,CCA911,,,1778858490,59.707421,19.046133,5931.1,229.5,False,191.98,-12.43,154.22
781e4d,CCA911,,,1778858491,59.7063,19.043532,5918.6,229.5,False,191.98,-12.444,154.34
781e4d,CCA911,,,1778858492,59.705178,19.040931,5906.2,229.5,False,191.98,-12.457,154.47
781e4d,CCA911,,,1778858493,59.704057,19.03833,5893.7,229.5,False,191.98,-12.471,154.59
781e4d,CCA911,,,1778858494,59.702935,19.035729,5881.2,229.5,False,191.98,-12.485,154.72
781e4d,CCA911,,,1778858495,59.701814,19.033128,5868.7,229.5,False,191.98,-12.499,154.84
781e4d,CCA911,,,1778858496,59.700693,19.030527,5856.2,229.5,False,191.98,-12.513,154.97
781e4d,CCA911,,,1778858497,59.699571,19.027926,5843.7,229.5,False,191.98,-12.527,155.1
781e4d,CCA911,,,1778858498,59.69845,19.025325,5831.1,229.5,False,191.98,-12.541,155.22
781e4d,CCA911,,,1778858499,59.697328,19.022724,5818.6,229.5,False,191.98,-12.555,155.35
781e4d,CCA911,,,1778858500,59.696207,19.020123,5806.0,229.5,False,191.98,-12.569,155.47
781e4d,CCA911,,,1778858501,59.695085,19.017522,5793.4,229.5,False,191.98,-12.584,155.6
781e4d,CCA911,,,1778858502,59.693964,19.014921,5780.8,229.5,False,191.98,-12.598,155.73
781e4d,CCA911,,,1778858503,59.692842,19.01232,5768.2,229.5,False,191.98,-12.612,155.86
781e4d,CCA911,,,1778858504,59.691721,19.009719,5755.6,229.5,False,191.98,-12.627,155.98
781e4d,CCA911,,,1778858505,59.6906,19.007118,5742.9,229.5,False,191.98,-12.642,156.11
781e4d,CCA911,,,1778858506,59.689478,19.004517,5730.3,229.5,False,191.98,-12.656,156.24
781e4d,CCA911,,,1778858507,59.688357,19.001916,5717.6,229.5,False,191.98,-12.671,156.37
781e4d,CCA911,,,1778858508,59.687235,18.999315,5704.9,229.5,False,191.98,-12.686,156.5
781e4d,CCA911,,,1778858509,59.686114,18.996714,5692.2,229.5,False,191.98,-12.701,156.62
781e4d,CCA911,,,1778858510,59.684992,18.994113,5679.5,229.5,False,191.98,-12.715,156.75
781e4d,CCA911,,,1778858511,59.683871,18.991512,5666.8,229.5,False,191.98,-12.73,156.88
781e4d,CCA911,,,1778858512,59.682749,18.988911,5654.0,229.5,False,191.98,-12.746,157.01
781e4d,CCA911,,,1778858513,59.681628,18.98631,5641.3,229.5,False,191.98,-12.761,157.14
781e4d,CCA911,,,1778858514,59.680507,18.983709,5628.5,229.5,False,191.98,-12.776,157.27
781e4d,CCA911,,,1778858515,59.679385,18.981109,5615.7,229.5,False,191.98,-12.791,157.4
781e4d,CCA911,,,1778858516,59.678264,18.978508,5602.9,229.5,False,191.98,-12.807,157.53
781e4d,CCA911,,,1778858517,59.677142,18.975907,5590.1,229.5,False,191.98,-12.822,157.66
781e4d,CCA911,,,1778858518,59.676021,18.973306,5577.2,229.5,False,191.98,-12.837,157.79
781e4d,CCA911,,,1778858519,59.674899,18.970705,5564.4,229.5,False,191.98,-12.853,157.92
781e4d,CCA911,,,1778858520,59.673778,18.968104,5551.5,229.5,False,191.98,-12.869,158.05
