icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms
4d2410,EWG7JF,,,1778855880,59.844157,16.7003,10342.8,0.0,False,249.38,-23.231,163.49
4d2410,EWG7JF,,,1778855881,59.841915,16.7003,10319.5,180.0,False,249.38,-23.319,163.77
4d2410,EWG7JF,,,1778855882,59.839672,16.7003,10296.1,180.0,False,249.38,-23.408,164.05
4d2410,EWG7JF,,,1778855883,59.837429,16.7003,10272.6,180.0,False,249.38,-23.497,164.33
4d2410,EWG7JF,,,1778855884,59.835187,16.7003,10249.0,180.0,False,249.38,-23.587,164.61
4d2410,EWG7JF,,,1778855885,59.832944,16.7003,10225.3,180.0,False,249.38,-23.678,164.9
4d2410,EWG7JF,,,1778855886,59.830701,16.7003,10201.6,180.0,False,249.38,-23.77,165.18
4d2410,EWG7JF,,,1778855887,59.828458,16.7003,10177.7,180.0,False,249.38,-23.863,165.47
4d2410,EWG7JF,,,1778855888,59.826216,16.7003,10153.7,180.0,False,249.38,-23.956,165.76
4d2410,EWG7JF,,,1778855889,59.823973,16.7003,10129.7,180.0,False,249.38,-24.05,166.05
4d2410,EWG7JF,,,1778855890,59.82173,16.7003,10105.6,180.0,False,249.38,-24.145,166.34
4d2410,EWG7JF,,,1778855891,59.819488,16.7003,10081.3,180.0,False,249.38,-24.241,166.63
4d2410,EWG7JF,,,1778855892,59.817245,16.7003,10057.0,180.0,False,249.38,-24.338,166.93
4d2410,EWG7JF,,,1778855893,59.815002,16.7003,10032.5,180.0,False,249.38,-24.435,167.22
4d2410,EWG7JF,,,1778855894,59.81276,16.7003,10008.0,180.0,False,249.38,-24.534,167.52
4d2410,EWG7JF,,,1778855895,59.810517,16.7003,9983.4,180.0,False,249.38,-24.633,167.82
4d2410,EWG7JF,,,1778855896,59.808274,16.7003,9958.6,180.0,False,249.38,-24.733,168.12
4d2410,EWG7JF,,,1778855897,59.806032,16.7003,9933.8,180.0,False,249.38,-24.835,168.42
4d2410,EWG7JF,,,1778855898,59.803789,16.7003,9908.9,180.0,False,249.38,-24.937,168.72
4d2410,EWG7JF,,,1778855899,59.801546,16.7003,9883.8,180.0,False,249.38,-25.039,169.02
4d2410,EWG7JF,,,1778855900,59.799303,16.7003,9858.7,180.0,False,249.38,-25.143,169.33
4d2410,EWG7JF,,,1778855901,59.797061,16.7003,9833.4,180.0,False,249.38,-25.248,169.64
4d2410,EWG7JF,,,1778855902,59.794818,16.7003,9808.1,180.0,False,249.38,-25.354,169.95
4d2410,EWG7JF,,,1778855903,59.792575,16.7003,9782.6,180.0,False,249.38,-25.461,170.26
4d2410,EWG7JF,,,1778855904,59.790333,16.7003,9757.1,180.0,False,249.38,-25.568,170.57
4d2410,EWG7JF,,,1778855905,59.788125,16.7003,9731.8,180.0,False,245.52,-25.216,169.84
4d2410,EWG7JF,,,1778855906,59.785917,16.7003,9706.5,180.0,False,245.52,-25.321,170.15
4d2410,EWG7JF,,,1778855907,59.783709,16.7003,9681.1,180.0,False,245.52,-25.426,170.46
4d2410,EWG7JF,,,1778855908,59.781501,16.7003,9655.6,180.0,False,245.52,-25.533,170.77
4d2410,EWG7JF,,,1778855909,59.779292,16.7003,9629.9,180.0,False,245.52,-25.641,171.08
4d2410,EWG7JF,,,1778855910,59.777084,16.7003,9604.2,180.0,False,245.52,-25.75,171.39
4d2410,EWG7JF,,,1778855911,59.774876,16.7003,9578.3,180.0,False,245.52,-25.86,171.71
4d2410,EWG7JF,,,1778855912,59.772668,16.7003,9552.3,180.0,False,245.52,-25.97,172.03
4d2410,EWG7JF,,,1778855913,59.77046,16.7003,9526.3,180.0,False,245.52,-26.082,172.35
4d2410,EWG7JF,,,1778855914,59.768252,16.7003,9500.1,180.0,False,245.52,-26.195,172.67
4d2410,EWG7JF,,,1778855915,59.766044,16.7003,9473.7,180.0,False,245.52,-26.309,172.99
4d2410,EWG7JF,,,1778855916,59.763836,16.7003,9447.3,180.0,False,245.52,-26.424,173.31
4d2410,EWG7JF,,,1778855917,59.761628,16.7003,9420.8,180.0,False,245.52,-26.54,173.64
4d2410,EWG7JF,,,1778855918,59.75942,16.7003,9394.1,180.0,False,245.52,-26.657,173.97
4d2410,EWG7JF,,,1778855919,59.757212,16.7003,9367.4,180.0,False,245.52,-26.775,174.3
4d2410,EWG7JF,,,1778855920,59.755004,16.7003,9340.5,180.0,False,245.52,-26.895,174.63
4d2410,EWG7JF,,,1778855921,59.752796,16.7003,9313.4,180.0,False,245.52,-27.015,174.96
4d2410,EWG7JF,,,1778855922,59.750588,16.7003,9286.3,180.0,False,245.52,-27.137,175.29
4d2410,EWG7JF,,,1778855923,59.74838,16.7003,9259.0,180.0,False,245.52,-27.259,175.63
4d2410,EWG7JF,,,1778855924,59.746172,16.7003,9231.7,180.0,False,245.52,-27.383,175.97
4d2410,EWG7JF,,,1778855925,59.743964,16.7003,9204.2,180.0,False,245.52,-27.508,176.31
4d2410,EWG7JF,,,1778855926,59.741806,16.700517,9176.5,177.1,False,245.52,-27.634,176.65
4d2410,EWG7JF,,,1778855927,59.740372,16.703844,9148.8,130.6,False,245.52,-27.762,177.0
4d2410,EWG7JF,,,1778855928,59.738938,16.70717,9120.9,130.5,False,245.52,-27.891,177.34
4d2410,EWG7JF,,,1778855929,59.737503,16.710497,9092.8,130.5,False,245.52,-28.021,177.69
4d2410,EWG7JF,,,1778855930,59.736069,16.713823,9064.7,130.5,False,245.52,-28.152,178.04
4d2410,EWG7JF,,,1778855931,59.734635,16.71715,9036.4,130.5,False,245.52,-28.284,178.39
4d2410,EWG7JF,,,1778855932,59.733201,16.720476,9008.0,130.5,False,245.52,-28.418,178.74
4d2410,EWG7JF,,,1778855933,59.731766,16.723803,8979.4,130.5,False,245.52,-28.553,179.1
4d2410,EWG7JF,,,1778855934,59.730332,16.727129,8950.8,130.5,False,245.52,-28.69,179.46
4d2410,EWG7JF,,,1778855935,59.728898,16.730456,8921.9,130.5,False,245.52,-28.827,179.82
4d2410,EWG7JF,,,1778855936,59.727464,16.733782,8893.0,130.5,False,245.52,-28.967,180.18
4d2410,EWG7JF,,,1778855937,59.726029,16.737109,8863.9,130.5,False,245.52,-29.107,180.54
4d2410,EWG7JF,,,1778855938,59.724595,16.740435,8834.6,130.5,False,245.52,-29.249,180.91
4d2410,EWG7JF,,,1778855939,59.723161,16.743762,8805.2,130.5,False,245.52,-29.392,181.28
4d2410,EWG7JF,,,1778855940,59.721727,16.747088,8775.7,130.5,False,245.52,-29.537,181.65
4d2410,EWG7JF,,,1778855941,59.720293,16.750415,8746.0,130.5,False,245.52,-29.683,182.02
4d2410,EWG7JF,,,1778855942,59.718858,16.753741,8716.2,130.5,False,245.52,-29.831,182.4
4d2410,EWG7JF,,,1778855943,59.717424,16.757067,8686.2,130.5,False,245.52,-29.98,182.77
4d2410,EWG7JF,,,1778855944,59.71599,16.760394,8656.0,130.5,False,245.52,-30.131,183.15
4d2410,EWG7JF,,,1778855945,59.714556,16.76372,8625.8,130.5,False,245.52,-30.283,183.53
4d2410,EWG7JF,,,1778855946,59.713102,16.767091,8596.3,130.5,False,248.76,-29.42,181.95
